Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
白带,0.046,医生,0.070,医生,0.018,检查,0.023,姨妈,0.021
感觉,0.040,医院,0.043,霉菌,0.016,宫颈,0.020,姐妹,0.019
阴道炎,0.019,复查,0.020,细菌,0.016,出血,0.018,真的,0.017
阴道,0.015,活检,0.019,感染,0.015,息肉,0.014,内裤,0.017
医生,0.015,阴道镜,0.016,清洁度,0.013,姐妹,0.014,没用,0.009
霉菌,0.014,检查,0.013,检查,0.012,医生,0.014,塞药,0.008
症状,0.013,手术,0.013,影响,0.012,害怕,0.012,复发,0.007
月经,0.012,建议,0.012,姐妹,0.010,情况,0.012,益生菌,0.007
外阴,0.011,治疗,0.012,培养,0.009,感染,0.012,晚上,0.007
乳酸菌,0.010,姐妹,0.009,怀孕,0.009,支原体,0.012,每次,0.007
炎症,0.010,转阴,0.009,医院,0.008,性生活,0.011,好了吗,0.007
分泌物,0.009,半年,0.008,白细胞,0.008,复发,0.010,干净,0.007
一点,0.009,三个,0.007,有没有,0.008,活检,0.009,反复,0.007
舒服,0.008,内膜,0.007,担心,0.007,运动,0.009,好多,0.006
常规,0.008,炎症,0.007,转阴,0.006,没事,0.008,几天,0.006
检查,0.008,多久,0.006,不好,0.006,糜烂,0.008,克霉唑,0.006
有时候,0.008,妇科,0.006,阳性,0.006,治疗,0.008,昨天,0.006
宫颈炎,0.007,楼主,0.006,假性,0.006,炎症,0.007,霉菌,0.006
几天,0.007,病变,0.006,不用,0.005,免疫力,0.007,疗程,0.006
那种,0.007,三甲,0.006,真的,0.005,楼主,0.007,效果,0.005
