Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
感染,0.017,硼酸,0.017,医生,0.052,感觉,0.017,出血,0.017
真的,0.014,复发,0.016,医院,0.038,效果,0.015,月经,0.015
身体,0.014,霉菌,0.016,检查,0.031,中药,0.012,宫颈,0.013
不适,0.011,内膜,0.015,白带,0.024,益生菌,0.010,感觉,0.012
转阴,0.010,姐妹,0.014,复查,0.015,硼酸,0.009,炎症,0.011
请问,0.008,内裤,0.014,活检,0.013,阴道,0.008,医生,0.011
楼主,0.008,乳酸菌,0.013,治疗,0.012,霉菌,0.008,阴道炎,0.009
医生,0.006,息肉,0.011,阴道镜,0.010,症状,0.008,白带,0.009
时期,0.006,子宫,0.009,楼主,0.008,盆腔炎,0.008,几天,0.008
感觉,0.006,外阴,0.008,建议,0.008,调理,0.007,排卵期,0.008
病变,0.006,多久,0.008,支原体,0.008,中医,0.007,干净,0.008
疫苗,0.006,医生,0.007,炎症,0.008,感染,0.006,每次,0.007
活检,0.006,楼主,0.007,妇科,0.007,真的,0.006,治疗,0.007
清水,0.005,手术,0.007,症状,0.007,医生,0.006,真的,0.007
病毒,0.005,阴道炎,0.007,没事,0.006,身体,0.006,一年,0.007
做好,0.005,难受,0.007,月经,0.006,没用,0.006,糜烂,0.007
建议,0.005,感觉,0.007,病变,0.006,姐妹,0.006,担心,0.006
性生活,0.005,月经,0.007,阴道炎,0.006,那种,0.006,检查,0.006
官方,0.005,请问,0.006,手术,0.006,白带,0.006,免疫力,0.006
体质,0.005,反复,0.006,不用,0.006,一点,0.006,同房,0.006
