Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
治疗,0.015,医生,0.023,姐妹,0.025,医生,0.035,出血,0.015
医生,0.015,姐妹,0.022,白带,0.021,医院,0.025,情况,0.013
复查,0.011,白带,0.014,检查,0.016,检查,0.013,感觉,0.013
免疫力,0.010,检查,0.012,真的,0.011,感觉,0.010,炎症,0.013
感觉,0.009,感觉,0.011,医生,0.008,霉菌,0.008,医生,0.011
内裤,0.009,医院,0.010,阴道炎,0.008,有没有,0.007,医院,0.011
转阴,0.009,没事,0.007,医院,0.008,症状,0.006,检查,0.010
宫颈,0.007,阴道,0.007,阴道,0.007,妇科,0.006,息肉,0.009
乳酸菌,0.007,月经,0.006,假性,0.006,建议,0.006,内膜,0.009
复发,0.007,霉菌,0.006,感染,0.005,真的,0.005,感染,0.009
用药,0.007,影响,0.006,不用,0.005,复发,0.005,月经,0.009
炎症,0.006,运动,0.006,外阴,0.005,担心,0.005,姨妈,0.009
舒服,0.006,发现,0.006,治好,0.004,没什么,0.005,不用,0.008
好像,0.006,性生活,0.006,妇科,0.004,焦虑,0.005,干净,0.007
提高,0.006,请问,0.005,皮肤科,0.004,身体,0.005,子宫,0.007
反复,0.005,出血,0.005,治疗,0.004,味道,0.005,一点,0.007
检查,0.005,推迟,0.005,一点,0.004,中医,0.004,姐妹,0.006
月经,0.005,放心,0.005,支原体,0.004,姐妹,0.004,排卵期,0.006
只能,0.005,姨妈,0.005,感觉,0.004,毛囊炎,0.004,有没有,0.006
导致,0.005,每次,0.005,细菌,0.004,一点,0.004,手术,0.005
