Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
hpv,0.161,阴道炎,0.288,霉菌,0.206,hpv,0.165,性生活,0.196
支原体,0.070,TCT,0.071,白带常规,0.095,活检,0.145,排卵期,0.101
假性湿疣,0.063,活检,0.065,盆腔炎,0.084,tct,0.130,中药,0.081
同房,0.057,男朋友,0.052,xsh,0.079,阴道镜,0.101,第一次,0.057
抗生素,0.050,老公,0.047,yd,0.070,妇科,0.056,支原体,0.051
男朋友,0.042,尖锐湿疣,0.031,益生菌,0.056,身体,0.045,衣原体,0.040
输卵管,0.036,尿路感染,0.028,中医,0.034,高危,0.027,中医,0.033
妇科,0.036,hpv,0.022,告诉,0.033,性生活,0.025,身体,0.032
霉菌,0.034,关系,0.022,处女,0.029,疫苗,0.022,疫苗,0.027
分手,0.029,妇科,0.021,白细胞,0.020,第一次,0.017,霉菌,0.027
妇科病,0.026,霉菌,0.020,宫颈息肉,0.019,告诉,0.015,例假结束,0.025
tct,0.024,阴道镜,0.020,处女膜,0.017,专家,0.015,男朋友,0.023
阴唇,0.023,啪啪,0.017,阴道炎,0.016,百度,0.014,副作用,0.022
盆腔炎,0.023,性生活,0.015,中药,0.014,宫颈糜烂,0.013,九价,0.020
第一次,0.021,第一次,0.013,do,0.012,老公,0.012,白细胞,0.020
阴道炎,0.018,感冒,0.013,阴唇,0.012,白带常规,0.011,白带常规,0.017
三甲医院,0.018,乱搞,0.012,专家,0.011,尖锐湿疣,0.010,卫生巾,0.017
身体,0.017,身体是自己的,0.011,黄体酮,0.011,TCT,0.010,妇科,0.015
结婚,0.015,百度,0.011,月经结束,0.010,三甲医院,0.010,阴道炎,0.013
高危,0.014,对象,0.010,妇科,0.010,低危,0.008,百度,0.013
