所属主题,文章数量,特征词,主题强度
Topic0,2813,heart、paris、breaking、hurt、architecture、break、beautiful、history、gothic、broken、person、visit、piece、beauty、literally、amazing、art、painful、love、quasimodo,0.096554
Topic1,1145,church、week、catholic、holy、devastating、fire、cathedral、france、french、accident、friday、easter、dame、notre、amp、christian、pretty、stupid、gonna、burning,0.039301
Topic2,3261,history、building、loss、beautiful、art、heartbroken、french、lost、amp、war、piece、flame、people、devastating、france、survived、true、iconic、paris、culture,0.11193
Topic3,1021,terrible、france、burning、people、happening、memory、paris、cathedral、loss、car、cultural、civilization、dame、notre、nation、jihadi、summer、hold、prayer、news,0.035045
Topic4,1381,water、news、firefighter、fire、trump、notredame、paris、blaze、flying、cathedral、tanker、bad、real、shit、bbc、heritage、tackle、president、damage、advice,0.047402
Topic5,1301,burn、horrible、watching、fuck、fire、praying、eye、don、history、tower、macron、bell、bombing、burning、stand、faith、imagine、completely、shame、president,0.044656
Topic6,2213,sad、day、hope、ago、history、safe、beautiful、rebuild、hour、save、tweet、hear、happened、building、structure、incredibly、month、burned、devastated、amp,0.075959
Topic7,1530,time、cry、awful、tragic、pray、tonight、visited、city、paris、europe、left、rebuilt、picture、shock、trip、people、honestly、site、notredame、awe,0.052516
Topic8,1672,heartbreaking、notredame、paris、de、history、fucking、wow、tear、damn、built、minute、cath、losing、ash、twitter、burn、drale、build、hell、list,0.05739
Topic9,915,watch、dame、cathedral、live、notre、moment、ground、fire、thinking、top、burning、chance、story、lucky、rise、upset、paris、roof、view、front,0.031407
Topic10,966,tragedy、saved、image、treasure、window、cathedral、photo、paris、fire、artwork、coming、glass、inside、rose、news、jesus、interior、beautiful、priceless、relic,0.033157
Topic11,1951,cathedral、flame、paris、dame、notre、fire、notredame、engulfed、spire、prayer、historic、iconic、burn、collapsed、french、caught、roof、people、fall、sadness,0.066966
Topic12,6995,cathedral、notre、dame、fire、paris、notredame、spire、collapse、burning、news、video、breaking、massive、live、iconic、france、huge、photo、started、historic,0.2401
Topic13,1106,god、absolutely、omg、love、feel、happen、sending、people、humanity、event、friend、lord、hunchback、blessed、sick、devastating、prayer、shocked、noo、st,0.037963
Topic14,864,parisian、fire、forever、muslim、destruction、attack、life、landmark、cathedral、lot、heard、thread、singing、notredame、horrific、stopped、idea、upsetting、christianity、french,0.029656
