所属主题,文章数量,特征词,主题强度
Topic0,150,内容、物流、包装、有用、工具书、实践、实用、京东、介绍、东西、通俗易懂、初学者、好好、实战、挺不错、学习、本书、希望、客服、时间、打开、买来、很快、散热、机器、缺陷、看着、完整、贴近、学学,0.067054
Topic1,193,京东、系统、好评、驱动、轻松、感觉、网卡、屏幕、支持、购买、自已、资料、物流、代码、信任、正好、图书、有用、太行、长期、五星、色差、了下、刺眼、一点点、包装、无线、安装、快递、质量,0.086276
Topic2,153,希望、第一版、作者、质量、价格、京东、物流、图书、谢谢、纸张、疫情、系统、基础、增加、速度、驱动、服务、喜欢、收到、操作、发货、信息、优惠、一如既往、有用、保证、购物、写出、足足、下单,0.068395
Topic3,95,学习、详细、学到、必备、代码、一本、经典、一倍、驱动、本书、肯定、支持、评价、新手、内容、好好、知识面、形象、保存、素质、纸质、领域、硬盘、屏幕、维护、不好、能力、麻烦、机器、内存,0.042468
Topic4,131,京东、印刷、通俗易懂、速度、发货、驱动、购物、信赖、值得、服务、便宜、麻烦、可惜、暂时、送货、商品、下单、收到、客户、基础、解答、一点儿、出门、习惯性、数码、浅显、平台、管理、客服、本来,0.058561
Topic5,153,入门、学习、编程、适合、基础、好好学习、机器、京东、好书、没看、加油、期间、系统、感觉、硬盘、收到、建议、偏重、键盘、本书、好久、新手、送货、购买、数据、购书、视频、网络、收获、很棒,0.068395
Topic6,185,京东、正版、系统、安装、驱动、物流、完好、计算机、希望、速度、学习、支持、提供、快递、感觉、服务、更好、一种、包装、实惠、购买、费力、首选、太棒了、开发、蓝色、思路、专业知识、对了、心情,0.0827
Topic7,143,实用、这本、内容、基础、系统、推荐、知识、水平、键盘、书籍、效果、入门、本书、质量、接触、希望、确实、印刷、人员、转型、全新、网工、文档、枯燥、小白、电子、那种、力量、导出、麻烦,0.063925
Topic8,179,网络、研究、工程师、案例、本书、适合、双十、还行、工作效率、自动化、时间、提高、散热、希望、驱动、机器、系统、速度、维护、知识、运行、印刷、京东、工作、光驱、服务、麻烦、想学、入门教程、看懂,0.080018
Topic9,206,系统、电池、一种、想买、分享、方式、感谢、急用、流行、水平、实际上、声音、驱动、小时、只能、采购、风扇、缺点、硬盘、预装、京东、内存、时间、屏幕、摄像头、光驱、自带、不好、发现、笔记本,0.092088
Topic10,151,本书、京东、入门、没看、快递、一本、推荐、喜欢、随便、统一、理解、东西、服务、书籍、系统、内存、机器、下单、满意、真的、商城、基础、没送、质量、服务态度、打算、到货、很好、自学、比较简单,0.067501
Topic11,189,学习、好评、机器、本书、一如既往、方便快捷、理论、买来、发现、内存、仔细、努力、描述、技能、符合、时代、驱动、质量、键盘、快递、系统、专业、感觉、通俗易懂、时间、屏幕、操作、预期、内容、喜欢,0.084488
Topic12,122,感觉、好书、推荐、专业、做工、时间、屏幕、购买、还好、简单、预想、好用、同学、进一步、追求、落后、教材、实验、希望、结束、系统、键盘、模块、内存、能力、摄像头、指纹、习惯、电池、光驱,0.054537
Topic13,187,不错、物流、京东、本书、好好、自营、速度、系统、提升、感觉、还好、笔记本、没什么、屏幕、惠普、包装、简单、时间、好书、昨天、易懂、正版书、浅显易懂、享受、慢慢、难度、记住、下降、有趣、麻烦,0.083594
