label,review,fenci
1,很快，好吃，味道足，量大,好吃 味道
1,没有送水,送水
1,非常快，态度好。,态度
1,方便，快捷，味道可口，快递给力,快捷 味道 可口 递给
1,菜味道很棒！送餐很及时！,味道 很棒 送餐
1,今天师傅是不是手抖了，微辣格外辣！,师傅 微辣
1,"送餐快,态度也特别好,辛苦啦谢",送餐 态度 辛苦
1,超级快就送到了，这么冷的天气骑士们辛苦了。谢你们。麻辣香锅依然很好吃。,送到 天气 骑士 辛苦 香锅 好吃
1,经过上次晚了2小时，这次超级快，20分钟就送到了…,小时 送到
1,最后五分钟订的，卖家特别好接单了，谢。,卖家
1,量大，好吃，每次点的都够吃两次,好吃 够吃
1,挺辣的，吃着还可以吧,挺辣
1,味道好，送餐快，分量足,味道 送餐 分量
1,量足，好吃，送餐也快,好吃 送餐
1,特别好吃，量特大，而且送餐特别快，特别棒,好吃 特大 送餐
1,口感好的很，速度快！,口感 速度
1,相当好吃的香锅，分量够足，味道也没的说。,好吃 香锅 分量 味道
1,好吃！速度！包装也有品质，不出家门就能吃到餐厅的味道！,好吃 速度 包装 品质 家门 餐厅 味道
1,味道好极啦，送餐很快师傅辛苦啦,味道 好极 送餐 师傅 辛苦
1,量大味道好，送餐师傅都很好,味道 送餐 师傅
1,送餐师傅很好，味道好极啦,送餐 师傅 味道 好极
1,送货速度很快，一直定这家，赞,送货 速度
1,很方便，很快就送到了。棒,送到
1,好吃，总点，这么多够五个人吃。送的很快。,好吃 总点
1,"很香很美味,下次还会光顾",美味 光顾
1,"送餐特别快,态度也好,辛苦啦",送餐 态度 辛苦
1,服务很不错，送到的很快，半小时不到就送来了,不错 送到 不到 送来
1,速度很快，大雾霾天外卖骑士态度都很好，赞！,速度 大雾 外卖 骑士 态度
1,味道正宗，量大内容多,味道 正宗 内容
1,"送餐非常快,态度特别好,谢",送餐 态度
1,好大一盆点了7个小份量足,份量
1,配送人员态度好，速度快！,配送 人员 态度 速度
