original_content,processed_content
Title: ホンダの本命、三菱自動車だったとの見方…「三菱金曜会」でも統合会見が話題に,ホンダ 本命 三菱 自動車 見方 三菱 金曜 統合 会見 話題
旧三菱財閥にルーツを持つ企業社長らが集まる親睦組織「三菱金曜会」。１月の懇親会で、社長たちの輪の中心にいたのは三菱自動車の社長、加藤隆雄だった。,三菱 財閥 ルーツ 持つ 企業 社長 集まる 親睦 組織 三菱 金曜 懇親 社長 中心 三菱自動車 社長 加藤 隆雄
　「あの記者会見どうだった」。社長たちの関心の矛先は、昨年１２月２３日にホンダと日産自動車が経営統合の協議入りを表明した会見だ。加藤はホンダ社長の三部敏宏、日産社長の内田誠とともに登壇。三菱自も統合への合流可否を検討すると表明した。,記者 会見 どう 社長 関心 矛先 昨年 ホンダ 日産自動車 経営 統合 協議 入り 表明 会見 加藤 ホンダ 社長 敏宏 日産 社長 内田 登壇 三菱自 統合 合流 可否 検討 表明
　１時間を超える会見で、発言はわずか４分弱。「本当は出たくなかった」。加藤は周囲にこぼしていた。,時間 超える 会見 発言 わずか 本当は たく 加藤 周囲 こぼし
　今年に入ってホンダと日産の協議が行き詰まるのを尻目に三菱自は早くから合流見送りの方向に傾いていた。日産のリストラ策が一向に見通せない中、経営を束縛されるのは得策ではない。三菱自の株主である三菱重工業など三菱グループの意向も踏まえた判断だ。,今年 入っ ホンダ 日産 協議 行き詰まる 尻目 三菱自 早くから 合流 見送り 方向 傾い 日産 リストラ 一向に 見通せ 経営 束縛 得策 三菱自 株主 三菱重工業 三菱グループ 意向 踏まえ 判断
　気乗りしない加藤をよそに、ホンダの三菱自への期待は大きかった。ホンダは米国を主戦場としているのに対し、三菱自は東南アジアに強い。電気自動車（ＥＶ）が本格的に普及するまでの「つなぎ役」とされるプラグインハイブリッド車（ＰＨＶ）に関するノウハウも、ホンダより豊富だ。補完効果は大きい。,気乗り 加藤 よそ ホンダ 三菱自 期待 大きかっ ホンダ 米国 主戦 三菱自 東南アジア 強い 電気 自動車 本格 普及 つなぎ プラグインハイブリッド ノウハウ ホンダ 豊富 補完 効果 大きい
　ホンダは三菱自の背中を押すため、当初設立を検討した共同持ち株会社に、三菱グループ企業からの出資を模索したとされる。ホンダにとっての「本命」は三菱自との見方すら浮上した。,ホンダ 三菱自 背中 押す 当初 設立 検討 共同 持ち株 会社 三菱グループ 企業 出資 模索 ホンダ 本命 三菱自 見方 浮上
　今月３日、三菱自の決算記者会見。協議の見通しを聞かれた加藤は、「難しい判断が含まれるのだろう」と述べた。それは１０日後に正式決定される破談を見透かすようだった。,今月 三菱自 決算 記者 会見 協議 見通し 聞か 加藤 難しい 判断 含ま だろ 述べ 正式 決定 破談 見透かす
ホンダと日産自動車が経営統合協議の撤回を発表した１３日夜。三菱自動車社長の加藤隆雄は東京都内で取材に応じ、「協業の効果を早期に得られるよう進めていく」と語った。,ホンダ 日産自動車 経営 統合 協議 撤回 発表 日夜 三菱自動車 社長 加藤 隆雄 東京 都内 取材 応じ 協業 効果 早期 進め いく 語っ
　３社は今後、昨年８月に発表した電気自動車（ＥＶ）などでの協業を進める方針だ。しかし、実効性には疑問符が付く。ホンダ社長の三部敏宏は「統合よりも相乗効果は少ない」と認める。三菱自にとっても、ホンダとの補完効果を最大化できなくなったのは痛手だ。,今後 昨年 発表 電気 自動車 協業 進める 方針 実効 疑問符 付く ホンダ 社長 敏宏 統合 相乗 効果 少ない 認める 三菱自 ホンダ 補完 効果 最大 痛手
　三菱自は今月、２０２５年３月期の最終利益予想を従来から１０９０億円引き下げ、前期比７７％減の３５０億円に下方修正した。主因はタイやインドネシアの景気回復の遅れだが、中国勢が安価なＥＶを引っさげ、日本勢の「牙城」である東南アジアで勢力拡大していることも影響している。,三菱自 今月 最終 利益 予想 従来 引き下げ 前期 下方 修正 主因 タイ インドネシア 景気 回復 遅れ 中国 安価 引っさげ 日本 牙城 東南アジア 勢力 拡大 影響
　中国勢は、欧米では関税という壁に阻まれつつあり、「南進」の姿勢を強めている。日本貿易振興機構（ジェトロ）によると、２３年に中国が輸出したＥＶは、前年比６割増の１５４万台だった。三菱自の主要市場のタイでは、約１５万台と倍増。フィリピンも約７割増の１１万台となった。タイではかつて日本勢が９割のシェアを誇ったが、足元では８割未満に落ち込む。,中国 欧米 関税 阻ま 南進 姿勢 強め 日本 貿易 振興 機構 ジェトロ よる 中国 輸出 前年 割増 三菱自 主要 市場 タイ 倍増 フィリピン 割増 タイ 日本 シェア 誇っ 足元 未満 落ち込む
　中国勢は現地の生産拠点の整備も加速させている。攻勢をしのぐのは容易ではない。加藤は「厳しく、先を見通すことが困難な状況が続く」と話す。,中国 現地 生産 拠点 整備 加速 攻勢 しのぐ 容易 加藤 厳しく 見通す 困難 状況 続く 話す
ホンダと日産、三菱自の統合が実現すれば、トヨタ自動車、独フォルクスワーゲンに次ぐ世界３位の自動車メーカーが誕生し、国内勢はトヨタグループと二分されるはずだった。国内再編がもたつく中、業界を巡る情勢は刻一刻と変化する。,ホンダ 日産 三菱自 統合 実現 すれ トヨタ自動車 フォルクスワーゲン 次ぐ 世界 自動車 メーカー 誕生 国内 トヨタ グループ 二分 はず 国内 再編 もたつく 業界 巡る 情勢 変化
　今月、中国の国有大手・重慶長安汽車と東風汽車の再編計画が伝わった。統合が実現すれば、年間販売台数は５００万台を超える一大勢力が誕生する。２４年の世界販売が４２７万台に上り、ホンダや日産を初めて抜いた中国ＢＹＤも超える。,今月 中国 国有 大手 重慶 長安 汽車 東風 汽車 再編 計画 伝わっ 統合 実現 すれ 年間 販売 台数 超える 一大 勢力 誕生 世界 販売 上り ホンダ 日産 初めて 抜い 中国 超える
　中国勢は日本国内にも迫る。ＢＹＤは１月、年内に日本でプラグインハイブリッド車（ＰＨＶ）を初めて投入すると発表。価格や車種は明らかにしていないが、中国では２００万円台の車種を販売している。日本で三菱自が展開する車種より、１００万円以上安い。自動車大手幹部は「品質は遜色ないレベルで、ＥＶよりはるかに脅威だ。中国製が安かろう悪かろうの時代は終わった」と話す。,中国 日本 国内 迫る 年内 日本 プラグインハイブリッド 初めて 投入 発表 価格 車種 明らか 中国 車種 販売 日本 三菱自 展開 車種 以上 安い 自動車 大手 幹部 品質 遜色 レベル はるか 脅威 中国 安かろ 悪かろ 時代 終わっ 話す
「地殻変動　顕在化」,地殻 変動 顕在
　米大統領のトランプは１４日、米国に輸入される自動車に関税を課す方針を表明した。対象に日本が含まれれば打撃は避けられない。,大統領 トランプ 米国 輸入 自動車 関税 課す 方針 表明 対象 日本 含ま れれ 打撃 避け
　「地殻変動が顕在化しつつある」。三部は年初の社員向けメッセージに記した。業界の構図が急速に塗り替えられていることに強い焦りを示す。,地殻 変動 顕在 年初 社員 向け メッセージ 記し 業界 構図 急速 塗り替え 強い 焦り 示す
　加藤は「（ＥＶ化などへの対応は）１社では難しい」と危機感を隠さない。日産自動車社長、内田誠も「パートナーは自動車メーカーとは限らない。様々な方からの提案は前向きに議論したい」と話す。,加藤 対応 難しい 危機 隠さ 日産自動車 社長 内田 パートナー 自動車 メーカー 限ら 様々 提案 前向き 議論 たい 話す
　日本経済の屋台骨である自動車業界が今後も世界と 伍ご していくには、再編が不可欠との認識は共通している。３社の選択の重みは、これまでとは比べられないほど増している。（敬称略）（坂本幸信、向山拓、奈良橋大輔、高村真登、中部支社・杉本要が担当しました）,日本 経済 屋台骨 自動車 業界 今後 世界 いく 再編 不可欠 認識 共通 選択 重み 比べ 増し 敬称 坂本 幸信 向山 奈良橋 大輔 高村 中部 支社 杉本 担当 まし
Title: ホンダ日産破談　大変革期に挑む覚悟足りない,ホンダ 日産 破談 変革期 挑む 覚悟 足り
世界をリードすることが期待された自動車業界の大型再編が、わずか１か月半で破談とは。１００年に１度と言われる変革期に挑んでいく覚悟はあるのだろうか。,世界 リード 期待 自動車 業界 大型 再編 わずか 破談 言わ 変革期 挑ん いく 覚悟 だろ
　ホンダと日産自動車が、経営統合に向けた協議の打ち切りを決めた。昨年１２月下旬に交渉入りし、新たに設立する持ち株会社の傘下に両社を置く計画だったが、業績不振の日産のリストラ計画を巡って、溝が埋まらなかった。,ホンダ 日産自動車 経営 統合 向け 協議 打ち切り 決め 昨年 月下 交渉 入り 新た 設立 持ち株 会社 傘下 両社 置く 計画 業績 不振 日産 リストラ 計画 巡っ 埋まら
　実現すれば、世界での販売台数が７００万台を超え、有数の自動車メーカーの連合となっていただけに、極めて残念だ。,実現 すれ 世界 販売 台数 超え 有数 自動車 メーカー 連合 極めて 残念
