Unnamed: 0,Unnamed: 1,Unnamed: 2,评论内容,fenci,情感得分,情感类别,主题概率,主题类型
于2023年11月入住,朋友出游,5.0,卫生：打扫很到位，看着很舒服，就像小家一样，很温馨。 服务：密码发送很及时，有问必答。 位置：楼下夜宵摊能开到凌晨两点钟，很晚饿了都能下楼找东西吃，很便捷。 装修：装修的细节能看出房东花了很多心思，很细节了。 设施：智能马桶，戴森吹风机，4投影,卫生 打扫 到位 看着 舒服 小家 温馨 服务 密码发送 有问必答 位置 楼下 夜宵 摊能 开到 凌晨 两点钟 很晚 下楼 东西 便捷 装修 装修 细节 房东 心思 细节 设施 智能 马桶 戴森 吹风机 投影,0.9953198375442442,正面,"[(12, 0.9724246)]",12
于2023年11月入住,情侣出游,5.0,跟对象来长沙旅游，很高兴入住那么舒适的民宿，服务特别的亲切周到，真真切切是我想象中民宿的体验感了，所有东西都安排妥当了，设施也很齐全，入住过程也是非常的顺利，尊的很不差！,对象 长沙 旅游 入住 舒适 民宿 服务 特别 亲切 周到 真真切切 想象 民宿 体验 东西 安排 妥当 设施 齐全 入住 过程 顺利,0.9999456872881708,正面,"[(15, 0.95923716)]",15
于2023年11月入住,朋友出游,5.0,设施：复古的英式风格，一楼是咖啡厅，二楼和三楼是住宿房间，房间是密码的，电动马桶，戴森吹风机，洗漱用品齐全卫生：房间很干净，床品也舒服，就是床板有些硬,设施 复古 英式 风格 一楼 咖啡厅 二楼 和三楼 住宿 房间 房间 密码 电动 马桶 戴森 吹风机 洗漱 用品 齐全 卫生 房间 干净 床品 舒服 床板,-0.7484196974298829,负面,"[(5, 0.9639393)]",5
于2023年11月入住,其他,5.0,很开心最近淡季来长沙旅游，不仅仅住到这么高性价比的房间，也有很好的体验，各个方面的设施很好。不知道是不是最近客人比较少，民宿管家的服务质量也特别高，回复消息也很快，入住当天天气也很好，太惬意了！,开心 淡季 长沙 旅游 高性价比 房间 很好 体验 各个方面 设施 客人 民宿 管家 服务质量 特别 回复 消息 很快 入住 当天 天气 惬意,0.8210147050720773,正面,"[(4, 0.9592363)]",4
于2023年11月入住,朋友出游,5.0,很庆幸自己选择了这家民宿，性价比很高，不仅设施设备好，主要是服务态度非常好，包括打扫卫生的阿姨都会跟我们打招呼，环境也很好，很满意下次放假再来！,庆幸 选择 这家 民宿 性价比 设施 设备 服务态度 包括 打扫卫生 阿姨 打招呼 环境 满意 下次 放假,0.9609613274877556,正面,"[(12, 0.94485044)]",12
于2023年11月入住,情侣出游,5.0,这家民宿挺干净舒适的，也考虑的很周到细节，民宿装修也很有格调！房间的装修风格让人心旷神怡！最舒服的就是床，能躺一天！个人感觉还是性价比蛮高的！,这家 民宿 干净 舒适 周到 细节 民宿 装修 格调 房间 装修 风格 心旷神怡 最舒服 个人感觉 性价比 蛮高,0.9999997368585088,正面,"[(0, 0.94791365)]",0
于2023年11月入住,其他,5.0,楼下咖啡店楼上民宿别太爱，下午喝个下午茶阳光透过玻璃打进来超出片，二楼还有一个花窗，好多明星网红都打卡过！房间也特别温馨舒适！下次还来！,楼下 咖啡店 楼上 民宿 别太爱 下午 下午茶 阳光 透过 玻璃 超出 二楼 花窗 好多 明星网 打卡 房间 特别 温馨 舒适 下次,0.9850400126378198,正面,"[(9, 0.9573836)]",9
于2023年11月入住,朋友出游,5.0,干净整洁 风格也是我喜欢的类型 躺床上就不想起来了 位置也很好找 晚上还可以在附近逛逛 附近啥都有 也有很多好卡的地方 超出片！喜欢,干净 整洁 风格 喜欢 类型 床上 不想 位置 好找 晚上 逛逛 地方 超出 喜欢,0.9736581893267766,正面,"[(5, 0.93749434)]",5
于2023年11月入住,朋友出游,5.0,位置优越，交通便利，位置很好，出行方便。前台服务热情，效率高，周到。房间采光好，明亮，舒适，卫生很干净，周到。非常好，强力推荐！,位置 优越 交通 便利 位置 出行 前台 服务 热情 效率高 周到 房间 采光 明亮 舒适 卫生 干净 周到 强力 推荐,0.9999928382137496,正面,"[(6, 0.9553555)]",6
于2023年11月入住,情侣出游,5.0,非常满意这次的住宿环境 很爱这种欧式风格 位置也好找 附近都是好玩的好吃的 店内还有下午茶可以进行拍照打卡,满意 住宿 环境 欧式 风格 位置 好玩 好吃 下午茶 拍照 打卡,0.9937893750137416,正面,"[(5, 0.92187)]",5
