用户名,地理位置,是否认证,求和项:回复数量,求和项:转发数量,求和项:引用数量,求和项:浏览量,求和项:点赞数,用户影响力,平均值项:关注数量,平均值项:粉丝数量
Zhang Meifang,UK,False,24,73,6,27185,517,136,1533,156636
赫子MOyu的茶姬,China,True,48,28,1,153730,532,135,117,4097
China Daily,China,True,43,110,34,59637,360,124,156,4164246
poppy,Italy,False,1,50,0,15563,515,122,129,71
冉奇,Germany,False,23,38,4,40416,465,116,153,1309
Discover Jilin,China,False,2,13,3,21475,514,115,266,3151
CSCEC EGYPT,Egypt,False,10,66,1,522904,442,113,293,267479
健一郎,Japan,False,3,17,0,50697,488,110,172,646
China News 中国新闻网,China,False,26,126,29,44034,285,105,651,648477
Jackiee Elana Chan,USA,True,12,20,3,22190,441,104,98,2518
Discover Guangxi China,China,False,14,70,8,15433,384,104,319,10711
小瑷,China,False,36,60,21,23879,330,100,6713,15591
"Jiangsu, China",China,True,9,33,4,296651,414,100,1019,160380
Lixinzefans,China,False,22,162,2,28125,259,99,6,58
西關大少☯️,China,True,10,50,5,12482,385,98,499,521
奶糖不加冰（fo）,China,False,11,23,8,115970,387,94,2988,3975
Violet_Meraviglia,Canada,False,22,102,6,27135,263,87,87,1110
Chinese style,China,False,3,19,3,23790,358,83,245,73
愛姬 AI Cosplay,Vietnam,True,1,18,1,29405,359,82,47,5059
一盏,China,True,7,37,1,19781,282,71,98,130
Vv,Singapore,True,20,5,0,33930,288,69,1274,899
HMWISH,China,False,4,211,2,20342,88,67,1969,731
信女,China,True,32,1,0,123647,266,66,38,10964
星河清梦,USA,True,25,5,0,223684,241,60,6,1623
くりちゃんねる@量産型在宅系Youtuber,Japan,False,8,9,2,1241132,252,59,10496,14831
Vivid Vision,Canada,False,11,25,0,10093,234,59,2455,364732
Explore Haikou,China,False,0,17,0,26252,247,57,111,14238
高句麗文輸人,North Korea,False,1,12,3,13889,242,56,530,1153
LanXin2021,China,False,8,15,1,18426,202,49,2748,2798
白微,China,False,6,14,1,7472,194,47,6037,102094
柿子菌 Hong Wei,China,False,28,27,1,10477,141,44,57,2326
汤圆的汤圆儿,China,True,10,9,0,62363,181,44,11,5426
"Zaozhuang, China",China,False,7,10,3,101885,176,43,112,17233
陈玥玥,China,False,14,14,2,14245,165,43,10342,51679
Guymay,China,False,0,16,0,10134,173,40,1133,3297
Linyi of China,China,False,4,23,4,60790,153,40,326,5573
白li,China,False,6,2,1,26282,172,39,1193,1863
Michael Grönert,Germany,False,15,9,0,5577,148,38,48,2691
"kyatorin @ anime nyc 11/17-19, anime frontier",Japan,True,6,11,0,2360,157,38,674,6735
Friendly Shandong,China,False,0,6,0,18693,167,37,386,11940
Ambasciata Repubblica Popolare Cinese in Italia,Italy,False,17,17,2,4004,129,37,163,48558
沉默寡言,Singapore,False,10,23,3,11101,126,36,53,57
Colorful Xuchang,China,False,15,35,30,4750,74,36,1002,748
帝飒☯,China,False,6,17,0,10455,136,34,4756,854
Lucas Zhuang,Brazil,False,8,23,6,9629,115,33,1272,5235
青花nosean,Japan,False,0,13,0,6385,125,29,887,504
陈尘（互fo）,China,False,2,5,0,29014,121,27,5577,7382
彭苒苒✨ranran,China,False,4,14,0,4303,105,26,2229,2219
Vision MeiZhou,China,True,4,7,5,9965,97,25,2119,2250
CDT,China,False,4,12,4,19039,95,25,592,91619
ZhengguanMedia,China,False,2,26,0,3135,83,24,1137,15936
Elyse Ribbons 柳素英,China,False,11,4,0,9335,94,24,7396,11198
鷺洲集漢服工作室_LuzhoujiStudioOfficial,China,False,2,16,1,4377,83,22,13,60
Center Sichuan Style,China,False,3,11,2,3613,86,22,605,2893
Luwei Wang,Japan,True,8,7,0,6079,85,22,31,19
芭蕉,China,False,5,3,0,40172,94,22,910,2179
paopao,China,False,5,5,1,4955,74,18,132,81
iXiaoshan,China,False,0,9,0,23726,72,17,364,12658
寂庵,China,False,0,17,1,3488,64,17,52,306
BabyTiti,China,True,0,4,0,6714,76,17,599,3837
惟楚,Japan,True,1,0,0,8169,77,16,215,383
Hanya 支持2050净零排放,Philippines,False,15,1,0,16375,54,16,2113,5056
ナマサダ,Japan,True,0,11,0,3720,66,16,433,460
CGTN,China,False,1,11,4,10320,57,16,77,13002359
扫楼打胶接投稿,China,True,4,6,0,29378,62,15,134,4072
overthinkingX,USA,False,1,16,0,1144,53,15,38,10
meko,China,False,3,7,0,4170,61,15,128,677
中国驻卡拉奇总领馆,Pakistan,False,2,15,5,3275,42,14,92,1053
璃娃(レイアイ),Japan,True,7,1,0,1965,55,14,409,852
Visit Henan,China,False,3,11,2,3097,48,14,420,54852
JiangsuNow,China,False,2,7,2,3466,54,14,653,5074
Hangzhoufeel,China,False,0,25,5,5232,33,14,965,157446
CoCo.Lv,China,False,6,7,2,6329,49,14,1779,21391
Cloud,China,False,1,7,7,1499,51,14,3212,1719
yoly 莜莉,China,False,3,0,0,22144,57,13,90,1160
Roka,Japan,True,0,8,0,6148,55,13,141,4781
徐安阳,China,False,0,7,0,9989,53,13,339,1705
彩 まそほ/「死神と薔薇」〜11/5,Japan,True,0,17,1,2413,43,13,77,86
Shandong.channel (互fo100%),China,False,4,5,1,20506,46,12,1601,1410
Center.Sichuan,China,False,0,7,1,2077,50,12,1113,6096
Wuhan Plus,China,False,4,7,0,79067,40,11,385,44648
启鸣（欢迎互Fo）,China,False,3,6,0,1454,38,10,4411,8165
团子(随缘) 脾气不好性格古怪,China,True,5,1,0,10858,41,10,12,6026
やすみ,Japan,False,0,6,4,3060,37,10,256,227
美美哒娜娜,China,False,1,0,0,7970,41,9,8809,29938
China Embassy in Iraq,Iraq,False,1,9,1,2375,30,9,295,15836
iHebei_Tianjin,China,False,0,5,1,1325,37,9,1486,1042
艾莉,China,False,1,3,0,3274,38,9,1127,1966
Yuii鱿鱼 (´｡• ᵕ •｡`) ♡,Malaysia,False,1,4,0,4710,39,9,86,4642
威海经开区,China,False,2,4,4,29768,28,8,4978,5873
Risuma,China,True,0,1,0,1578,36,8,221,174
CGTN Europe,UK,False,1,10,1,13926,26,8,245,18772
Tangbohu.Suzhou,China,False,1,1,0,5524,39,8,11,3
中国传统文化,China,True,0,10,3,6386,25,8,296,28671
Paula Flight,Mexico,True,1,1,1,3737,36,8,30,1734
Convince people with virtue✨,China,True,4,3,2,3754,29,8,8,34
YouthinJiangsu,China,False,0,4,0,2753,32,7,836,686
中華風物,China,False,9,3,1,3186,20,7,49,39
Wonderful Henan,China,False,4,9,3,541,15,7,1432,4954
Haloviva,UK,False,0,2,0,1902,34,7,57,15
黄克强,China,False,3,4,0,1986,25,7,688,513
笙歌婉转，谁人续繁华（互fo）,South Korea,False,1,9,0,2778,25,7,237,161
华夏族族人,China,False,6,0,1,2242,27,7,385,502
枫林漫步,China,False,1,2,0,894,30,7,5144,4798
Global Times,China,False,3,8,0,9409,23,7,543,1890230
The Painting Mermaid,Germany,True,3,2,0,1020,30,7,599,425
采薇小仙女,China,False,0,4,0,2716,24,6,42,60
Mrs Li 李老师,UK,False,6,6,0,4968,18,6,62,97
DescubriendoChina,Chile,False,2,7,0,746,22,6,1178,1798
小漾,China,False,4,0,1,11531,22,6,135,123
Asia Information Collection BOT (C.O.P.A.I),USA,False,0,6,0,800,25,6,179,64
AIGirl-Elly,USA,False,1,5,0,3602,22,6,27,1274
BigMikeyLol,Japan,False,0,3,0,5247,29,6,15,6402
鶴橋,China,False,1,4,0,1735,26,6,37,51
Hanfu Costume20,China,False,4,0,0,2369,22,5,29,85
Abby,China,False,0,2,0,2133,24,5,1852,2537
曦月,China,False,1,3,0,1108,21,5,4189,8021
头上有犄角,China,True,1,1,0,6655,21,5,13,151
菡（现充版）,China,True,5,0,1,8886,18,5,319,7077
观察者网,China,False,1,2,2,2283,19,5,257,71622
"Drillimation Systems Co., Ltd. / 株式会社ドリリメーションシステム",Turkey,True,0,1,0,590,24,5,42,5961
CannabisUrlaub,Switzerland,False,1,9,0,875,16,5,774,749
عبدالنعيم الاعظم(207-36),Karta,False,0,12,0,207,11,5,1412,1066
Charming Changzhou,China,False,1,5,1,731,13,4,202,19080
龍 武 鯨,Singapore,True,0,5,0,687,15,4,1452,1059
Beijing Review,China,False,1,3,0,925,15,4,1117,94347
yangxixiah Vlog Vtuber 楊西西,Japan,True,0,1,0,458,19,4,4287,809
Amazing Henan,China,False,3,5,0,490,12,4,2080,4214
Hideroki,Japan,False,0,1,0,1960,22,4,379,4122
Hyeon,USA,True,0,6,0,1016,16,4,115,208
Diário do Povo,China,False,4,0,0,610,14,4,217,63287
Whitehumorous,China,False,0,4,0,766,15,4,103,65
Easyyyyyy,China,False,0,1,0,3824,22,4,220,56
GBA Watch,China,False,0,3,12,334,2,4,186,170
Peking University,China,True,1,0,1,11079,18,4,168,692125
tewfic el-sawy,USA,False,1,2,1,648,12,3,352,2564
Colorful Changchun,China,False,1,2,0,857,11,3,689,13284
Fuyangfeel,China,False,0,6,1,1274,9,3,540,11082
Galleta,Spain,False,2,2,0,956,10,3,10,13
古渡东津（互关100%）,China,False,0,5,3,1521,7,3,2774,3378
Hamiy,Thailand,False,0,2,0,2100,15,3,4072,2622
T-Time HK,China,False,0,2,0,1810,13,3,676,482
Amazing Yunnan,China,True,2,2,0,471,13,3,1549,12446
ないと@나이트,Japan,False,0,2,0,3214,13,3,93,108
VideoChina,China,True,0,7,0,651,7,3,470,3293
喵子嗷呜,China,True,0,0,0,3303,15,3,255,256
Tsinghua University,China,False,2,3,0,4104,10,3,394,790042
一只爱摸鱼的笙玖,China,False,3,0,0,1604,11,3,54,87
Sue Hui 苏蕙(互fo),China,False,1,0,2,342,11,3,1436,1585
Szeki,Australia,False,0,0,0,443,15,3,103,261
Alison Xinyi Guo,Australia,False,0,1,0,414,12,2,136,103
China.org.cn,China,True,1,4,0,2088,6,2,1988,1046274
旺德Wanderlust,China,True,1,0,0,330,9,2,108,148
Chinglican ☩ن ⚓ PhD in alchemy,North Macedonia,True,2,0,0,429,9,2,3007,3981
子姬,China,False,0,0,0,1280,10,2,29,926
China Focus,China,True,0,2,0,349,8,2,710,61192
田字格,China,False,0,1,0,661,9,2,6542,58462
CGTN Français,China,False,0,4,0,1032,9,2,257,977655
China Culture,China,False,0,5,0,495,6,2,150,24702
hualan hanyi,China,False,0,0,2,599,9,2,4,3
chuntianliu（互fo）,China,False,3,0,1,604,5,2,4999,4700
HiHenan,China,False,3,2,0,124,5,2,1119,1406
Hunan Times,China,False,0,1,2,689,7,2,686,1296
Henan Voice “欣”闻,China,True,0,1,0,238,9,2,260,1513
杨梅红了,China,False,0,0,0,1334,10,2,8200,8174
Han Zone,China,False,0,1,0,981,9,2,30,10054
Han Leyao,USA,False,0,0,0,1900,11,2,30383,29957
軒轅純 Chunyi,Japan,False,1,1,0,266,7,2,665,137
felis,China,True,1,0,0,4562,9,2,81,215
f1ora,Thailand,True,0,8,2,1976,3,2,17,12
CNPC,China,False,0,4,0,216,6,2,359,15361
彩 まそほ/個展「昔日」〜10/22,Japan,True,0,4,0,662,9,2,77,81
Ryukocos,Chile,False,0,1,0,669,9,2,107,101
zhangannie,China,False,0,0,0,37507,11,2,29,7
币圈老唐.BTC,Singapore,True,5,2,0,344,5,2,4491,5696
zombiebroom(recuperating from iatrogenic injury),China,False,2,1,0,363,6,2,429,207
海草,China,True,2,0,0,1334,10,2,29,1882
否糯,China,True,0,0,0,2506,10,2,98,1008
The Longest Day in Chang’an,China,False,1,1,1,1379,6,2,3,31
Visit Mingshan,China,False,0,2,0,743,10,2,340,580
Nuoyumi Accessories,Germany,False,0,0,0,1277,12,2,3,7
Licheng of Jinan,China,False,0,0,3,516,7,2,121,612
Shanghai Daily,China,False,0,2,0,2172,8,2,1058,390989
ran_daluna,Japan,True,0,0,0,650,10,2,796,341
Proud_Asian_Dad_With_Tourette☯️,USA,False,0,0,0,990,10,2,521,448
清风社（接反差母狗投稿 接包养伴游陪玩一日女友）,China,False,7,0,0,6675,4,2,31,25
Peking University HSBC Business School,China,False,1,9,0,3230,3,2,2,276
Panpaan || COMMISSION OPEN,Indonesia,False,1,1,2,940,7,2,89,64
Strait Herald,China,False,0,0,0,1771,11,2,283,128
The 19th Asian Games Hangzhou Official,China,False,1,1,0,2942,8,2,225,36243
孫文,China,True,1,2,0,1120,6,2,488,734
Cici Wang,China,True,0,0,0,333,5,1,14,7
Kevin James Ng,China,False,1,0,0,5830,4,1,1189,422
Beijing Daily,China,False,1,0,1,561,5,1,296,3113
AI Artist - Waifu Maker - AIの画家,China,False,0,0,0,1868,9,1,51,25
China Takeaway,China,False,0,0,2,416,3,1,303,2945
Nova,China,True,0,0,0,336,5,1,25,310
Maku マック,Japan,True,0,0,0,512,6,1,201,274
NEGI,China,False,1,1,0,607,6,1,56,1261
Ningbo Travel 宁波旅游,China,True,1,1,2,133,2,1,703,6462
NostalgicEcho 七字小满,China,False,1,1,0,233,3,1,3648,2939
清羽,China,True,0,1,0,2916,8,1,89,70
China Perspective,China,False,0,1,0,372,5,1,66,98470
KunaPhotographyGroup,Canada,True,0,0,1,2297,5,1,1315,1037
aliestela,China,False,0,0,0,382,6,1,19,2
十九序,China,False,2,0,0,696,2,1,8,2
Binjiangfeel,China,False,0,1,1,228,4,1,130,63875
CGTN Radio,China,True,0,0,0,1028,5,1,365,725075
Kojiro Koistar,Canada,False,0,0,0,390,9,1,505,80
わか2_02,China,True,0,1,0,668,7,1,150,32
紫 murasaki,Singapore,False,0,3,0,368,4,1,8,4
Aki,Japan,False,0,0,0,363,9,1,99,45
泰州市，S女王陛下,China,True,1,1,0,18285,5,1,6,4
我来也（互fo）,China,False,0,3,0,731,5,1,1050,1089
PingtanChina,China,True,0,0,0,146,6,1,806,3789
胡逸之,China,True,0,0,0,516,8,1,202,160
雪蝶,China,False,0,0,0,1667,7,1,1,84
薛来,China,False,0,0,0,897,5,1,914,3163
紅葉,Japan,True,0,1,0,2166,8,1,65,40
Yulin Today,China,False,1,0,0,329,4,1,33,1048
Xueting C. Ni 雪亭,UK,True,0,1,0,336,4,1,597,3347
Xindongfang,Spain,False,1,1,0,233,4,1,22,68
Tianna,USA,False,0,0,0,1387,6,1,1044,1533
Tamaki_Tomato,Japan,False,0,0,0,850,7,1,40,16
Insight Xiangshan,China,False,0,1,0,85,4,1,3713,19150
吴俊兰,USA,False,0,1,0,334,4,1,18,2
雪野無界,China,False,0,0,0,1009,7,1,58,20
李建炜 Li Jianwei,Canada,False,0,4,0,356,5,1,537,2875
中国侨网,China,True,0,1,0,253,5,1,526,1602
婧爺,Malaysia,False,0,1,0,168,5,1,308,244
尢妮ちゃん,China,True,2,0,0,974,6,1,2,452
一只酱酱,China,False,0,1,0,1027,8,1,2845,2879
JhaneEnCosplay,Bolivia,False,0,0,0,249,5,1,20,101
Pueblo En Línea,China,False,0,1,0,678,6,1,1603,143990
南栀,China,False,0,1,0,1355,7,1,204,32
Explore Gansu,China,False,0,1,0,771,6,1,121,23789
EmbajadaChinaenRD,Dominicana,False,0,1,0,496,6,1,428,8249
Embajada de China en España,Spain,False,0,1,0,682,8,1,2063,27407
Efecto China,Chile,False,0,2,0,370,5,1,230,176
Echo 七字小满,China,False,0,0,0,316,9,1,3427,3049
Sexy Doll（Update Daily）,USA,True,0,0,0,1835,6,1,162,4304
Seattle Cosplay,USA,False,1,0,0,323,5,1,138,520
Dragon Wong 黄龙,China,False,2,0,0,193,2,1,2365,1267
Ratnash DiMera,Netherlands,False,0,0,0,107,5,1,74,27
千凌,China,True,1,0,0,5374,6,1,18,2013
CRI Türkçe,China,False,0,1,0,559,4,1,4,85200
Sin ChenYeong (冼振揚 字 民德),Malaysia,False,3,0,0,462,3,1,1283,294
soyamilk,China,True,1,1,0,3708,6,1,69,332
Spotlight Beijing,China,False,0,0,0,335,7,1,205,61787
Jinan International Communication Center,China,False,0,4,2,100300,2,1,1859,20267
JOJO'S HANFU DAILY,North Korea,False,0,0,0,268,9,1,260,142
JoyYiChun（互fo）,China,False,0,1,0,1774,8,1,5242,5163
JSBCI江苏广电国际,China,False,0,1,0,287,6,1,1140,10915
State Grid,China,True,0,0,0,276,5,1,35,20739
濯茶,China,False,0,0,0,40,0,0,256,20
紫晴,China,False,0,0,0,140,0,0,3,3
紫虚,USA,True,0,0,0,262,1,0,1,6
自然疯鹤,China,True,1,0,0,2947,0,0,46,142
⟭⟬ OT⁷ jenii ⟬⟭,USA,True,0,0,0,22,0,0,2429,1012
中国驻加纳大使馆 Chinese Embassy in Ghana,Accra,False,1,1,0,195,1,0,167,5462
Justice4ever,Germany,False,0,0,0,127,2,0,1116,82
Jinfu 晋福,USA,False,0,0,0,219,4,0,265,829
Jennifer Jenkins,USA,True,0,0,0,19,0,0,287,189
Irin,China,False,0,0,0,49,3,0,67,19
Instytut Konfucjusza w Krakowie,Poland,False,0,0,0,84,2,0,201,233
Ilyssa,China,False,0,0,0,27,0,0,908,14
IdeallyaNews,USA,False,0,0,0,105,0,0,13,874
HUANG,China,False,0,0,0,2190,0,0,76,19
HuaHua,China,False,0,0,0,855,2,0,1,8
hiHainan,China,False,0,0,0,71,0,0,188,5158
HELLO HELLO (´u`）,China,False,1,0,0,811,2,0,24,6
Han's Symphony,USA,False,0,0,0,104,0,0,5,0
Hammersmith and Fulham Business Connects,UK,False,0,0,0,61,3,0,1373,1455
Hainan Today,China,False,0,0,0,144,0,0,112,14295
Grandblossom2023,China,False,0,0,0,108,1,0,543,467
Glamorous Shandong,China,False,0,0,0,328,0,0,3222,3312
Gilda Batista 吉尔达,Honduras,True,0,0,0,106,1,0,1888,1960
GardeniaX,China,True,0,0,0,1,0,0,1325,71
Gaia Paradiso,Djibouti,False,0,0,0,66,0,0,3877,730
Fairytale YunHe 童话云和,China,False,0,0,0,132,0,0,38,561
Fai | 輝,Malaysia,False,0,0,0,121,1,0,430,82
Explore Xinjiang,China,False,0,0,0,141,0,0,336,8834
JingYue,China,False,1,0,0,520,0,0,11,10
Justina,Japan,False,0,0,0,261,0,0,18,10
Egrets,China,False,0,0,1,97,1,0,0,8
Kenny_zhao,China,False,0,0,0,616,0,0,104,6
PengyuanKanghua,China,False,0,0,0,9,0,0,161,7
old甲,China,False,0,0,0,293,0,0,63,12
o0落懿0o,China,False,0,0,0,437,1,0,118,11
Nanshuer,USA,False,0,0,0,5,0,0,0,0
Naneko➡️20-8-23 IBOX,Australia,False,0,0,0,384,0,0,99,174
Nana,North Korea,False,0,0,1,55,1,0,48,12
Mr. Cat 风度猫³,China,False,0,0,0,209,4,0,7573,8975
Mount Longhu,China,False,0,0,0,25,0,0,108,157
MoekoDoll,China,False,1,0,0,130,3,0,23,6
Modern Express 现代快报,China,False,0,1,0,81,3,0,2434,2147
mitsu_zora 蜜佐菈,Japan,True,0,0,0,425,1,0,310,987
mist.sophia,China,False,0,0,0,627,0,0,105,45
Mee Yung Creations,France,False,0,1,0,405,1,0,208,194
Mecrob,China,False,0,0,2,460,0,0,25,57
Mac D,China,False,0,1,0,1363,3,0,800,508
Luna.Gao,China,False,0,0,0,422,1,0,76,0
Liu Shaona,France,True,0,0,0,46,1,0,18,2
Lion_Li,China,True,0,1,0,766,3,0,453,219
LI Annie,China,False,1,0,0,117,3,0,125,126
KUROBARA,France,False,0,0,0,39,0,0,61,24
Kristen wu,China,True,0,0,0,26,1,0,2271,1125
Envy Anromeda,UK,False,0,0,0,168,0,0,2,2
Dr. Yaacoub Hallak,USA,False,0,0,0,93,1,0,110340,118265
张翼德,Singapore,False,0,0,0,344,0,0,141,271
bulan,Indonesia,False,0,2,0,186,2,0,80,195
Bridging News,China,False,0,0,0,270,1,0,766,73177
BOOMBOOX,Spain,True,0,0,0,30,0,0,997,279
BlizzardTerrak@SFArea,USA,False,0,0,0,400,0,0,99,255
BJ Big Girl,China,False,0,0,0,835,1,0,312,133
bibiled screen Manufacturer —Estelle Liu,China,False,0,0,0,695,1,0,991,98
Benny,China,False,0,0,0,372,0,0,308,46
Bachmann Vanessa,Dubai,False,0,0,0,43,0,0,2765,418
arieldong,China,False,0,0,0,263,2,0,15,0
aramisdream,Italy,True,0,0,0,231,2,0,357,216
Angle and Andi's father,China,False,0,0,0,64,0,0,8,2
Amazing Nanning,China,False,0,0,0,140,1,0,117,2396
Amazing Chaoyang,China,False,0,1,0,146,0,0,112,56672
Alexis Sandoval,Mexico,False,0,0,0,47,0,0,354,113
Alexandria,India,False,0,0,0,138,0,0,1,36
Alexander子昕,China,False,0,0,0,495,0,0,38,4
Alaya Flint,USA,False,0,0,0,599,0,0,0,0
Alaina DuMond,USA,False,0,0,0,140,0,0,86,30
Ada Min,Philippines,False,0,0,0,141,1,0,132,6
btc比特币 千城财富资讯站,China,False,0,0,0,277,0,0,1669,1451
Dolly Cheung (J&Y Freight Forwarding),China,False,0,0,0,87,0,0,15,4
C.yu 妤,China,False,0,0,0,29,2,0,10,0
Discover Chu,China,False,0,0,0,235,2,0,11,22
Discover Beijing,China,False,0,1,1,228,2,0,2020,23206
Discover Beautiful China,China,False,0,0,0,429,1,0,161,37972
Dan Garrett,China,False,0,0,0,358,3,0,4958,5590
Dahua Crusher,China,False,0,0,0,41,1,0,6,68
Cosplayerslegends_hot,Brazil,False,0,0,0,1374,0,0,1067,411
CosHub_chn,China,True,0,0,0,5192,4,0,4,766
CONSINEO @consineo@mastodon.world,China,False,0,0,0,195,4,0,912,232
ComixPandora |Singapore Original Doujinshi Group,Singapore,False,0,0,0,552,3,0,12,100
Chinese style dance,USA,False,0,0,0,169,2,0,5,0
Chinese Master,China,False,0,0,0,468,0,0,669,1055
Chinese Bridge Club in São Paulo,Brazil,False,0,0,0,88,3,0,178,135
ChinAfrica magazine,China,True,0,0,0,253,1,0,1191,15286
China Mobile Guangxi,China,False,0,0,0,54,1,0,92,24
China Daily Hong Kong,China,False,0,0,0,53,1,0,209,3766
Chenmuzhao,China,False,0,0,0,7,0,0,1680,566
chenglixianren,China,True,0,0,0,377,0,0,33,30
Cheesesheep,China,False,0,0,0,221,1,0,657,309
Changsha,China,True,0,0,0,135,4,0,303,47665
Celeste Fabrie,Germany,False,0,0,0,22,1,0,41,8
Pepsi-Cola,China,False,0,0,0,1721,3,0,187,190
Pluviophile,China,True,1,0,0,244,3,0,100,20
Quotidien du Peuple,China,True,0,2,1,190,1,0,85,82255
摄影师,China,True,0,0,0,254,0,0,15,5
上官婉儿,China,False,0,0,0,865,3,0,127,319
山城冰汤圆,China,False,0,0,0,464,2,0,68,34
热爱生活的柚子（互fo100%）,China,False,0,0,0,114,1,0,787,964
奇奇怪怪,China,False,0,0,0,96,0,0,350,191
七月 in July,China,False,0,1,0,462,2,0,183,163
努瓦克肖特大学孔子学院Confucius Institute Mauritania,Mauritania,False,0,0,0,99,2,0,6,29
南门心远,USA,False,0,0,0,66,0,0,17,10
明太祖朱叭叭,China,False,0,0,0,172,1,0,142,31
洛晨曦,China,False,0,0,0,1034,0,0,57,30
罗婧瑶,China,False,0,0,0,89,1,0,943,1322
龍之魂,China,False,0,0,0,259,2,0,24347,22133
柳小青 Hitomi,China,False,0,0,0,2543,3,0,23,206
李苍雪,China,True,0,0,0,278,0,0,4,0
骊龙吐明月,Australia,False,1,0,0,501,1,0,41,50
堎侬沃44,China,False,0,0,1,59,2,0,2379,2061
揽镜文化,UK,False,0,0,0,369,1,0,7,21
来点果酱盒,China,True,0,0,0,1936,1,0,82,389
瑾年碎影,China,False,2,0,0,453,1,0,3,1
火锅洋芋.eth,USA,False,0,0,0,792,1,0,397,77
摄影师_五道花坊,China,True,0,0,0,6885,0,0,543,5663
十二平均律,China,False,0,2,0,454,2,0,10,42
云舞长空,China,False,0,0,0,64,2,0,3,0
云起樱花落,Canada,False,0,0,0,136,1,0,11,4
鱼幼薇,USA,False,0,0,0,413,0,0,30,3
幼桉,Japan,False,0,0,0,306,2,0,55,77
有熊国的自由社会主义球 【这个中立无政府主义者已经被共产党员中的左自马克思主义者同化】（泛亚主义化）,China,False,0,0,1,580,2,0,773,244
樱野六六,China,True,0,0,0,563,0,0,263,20
葉雅惠,China,False,0,0,0,293,2,0,76,35
瑶心,China,True,0,0,0,1830,3,0,53,370
杨华,China,False,0,0,0,74,1,0,103,52
信子 Nobuko,China,False,0,1,0,186,2,0,170,133
歇山放鹤,UK,False,0,0,0,145,0,0,109,19
夏之风(互fo）,China,False,0,0,0,201,4,0,3477,5247
我可是强哥,China,True,0,0,0,1497,3,0,8,150
聞（异地版）,China,True,0,0,0,1130,2,0,33,381
文具的养娃日常,China,False,0,0,0,171,1,0,9,1
文创客,China,True,0,0,0,1061,3,0,190,973
洧川,China,True,0,0,0,252,1,0,13,39
王者归来,China,False,0,0,0,203,1,0,6124,10438
婷美,China,True,0,0,0,822,0,0,25,11
水水,China,False,0,0,0,405,1,0,49,4
