Unnamed: 0,content,综合评分,type,情感type,主题概率,主题类型
1.0,款车 外观 设计师 用心 真的 好看 开上 新能源 一刻起 仿佛 找到 那种 感觉 忠实 小伙伴 上班 灵敏 响应 轻松 转向 手感 繁忙 交通 游刃有余 综合 表现 更是 惊喜 要说 新车  不可避免 打开 车窗 通通风 几天 瑕疵 影响 整体 好感  车内  宽敞  利用率 不错  算是 够用 坐在 驾驶 头部 腿部  充裕 后排 三个 成年人 超大  周末 郊游 搬家 派上用场 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.6691311), (1, 0.33086893)]",0
2.0,车子 脸面 认同 一点 新能源 颜值 体面 一点 车身 尺寸 紧凑型  舒服 家用 一点 非要 上天 时间 发现 内饰  有没有 感受 紧凑型 轮胎 奢侈  需求  越做越 新能源 轴距 超过 平时 车上 坐满  后备  深得我心 平时 钓鱼 工具 轻松 确实 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.57,1.0,pos,"[(0, 0.9858805), (1, 0.014119505)]",0
3.0,这车 质量 过关 车上 设计 人性化 一上 敦实 感觉 油耗 市区 油耗 理解  车内 乘坐  不错 宽敞 车身 近乎 方正 设计 车内 横有 宽度 深度 后排 胖子 没什么 反正 一家 四口 出行  足够 尾箱 容积 很大 装太 大件 东西 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.86,1.0,pos,"[(0, 0.79641587), (1, 0.20358406)]",0
4.0,动力 表现出色 超车 轻松自如 响应 踩油门 即有 推背 高速行驶 顺畅 充满 力量感 充满 自信 减震 效果 优秀 坑洼 路段 舒适度 令人 欣喜 外观设计 时尚 动感 线条 流畅 充满 张力 采用 比亚迪 家族式 设计 语言 锐利 车灯 造型 车辆 霸气 车身 侧面 采用 流线型 设计 一种 稳重 总体而言 款车 造型 极具 吸引力 符合 年轻人 审美 需求 唯一 车内 音响 音质 喜欢 听歌 音响 欠缺 希望 厂家 提升 音响 品质 进一步 提升 听歌 享受 程度   很大 后排 宽敞 身高 坐在 驾驶 压抑 局促 后排 腿部 活动 自如 座位 舒适 车内储 物格 设计 零碎 物品 找到 合适 存放处  尺寸 适中 携带 行李 轻松 解决 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.11466889), (1, 0.8853311)]",1
5.0,  这条 造型 朋友 造型 拉风 真的 整辆 车子 熠熠生辉 车子 内部 设计 乘坐  储物  感觉 车子 舒适性 很好 科技 舒服  出色 车身 长度 宽度 保证 足够 腿部 伸展  车内 储物箱  反正 感觉 紧凑 内部 确实 舒服 伸开 车子 内部 设计 实用 感觉 腿脚 伸不开 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.12878628), (1, 0.8712137)]",1
6.0,无论是 城市 拥堵 街道 开阔 高速公路 轻松 应对 搭载 发动机 提供 源源不断 动力 输出 燃油 经济性 出色 表现 展现出 不俗 驾驶 性能 买车 目的 出行 舒心 地方 地方 少之又少  多处 设置 便捷 储物  中控台 下方 储物 车门 内侧 口袋 中央 扶手箱 日常 提供 便利  宽敞 设计 充满 人性化 考量 后排 座椅 支持 分割 装载 件物品 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.13780078), (1, 0.86219925)]",1
7.0, 很好 储物   挺大 日常 用车 东西 坐满  舒服 放心 安心 价位 买到 性能 出色 如果说 地方 内饰  开窗 散气 几天 影响 希望 改善   说真的 很大 高度 小轿车 感觉 宽敞 开阔 车子 驾驶 位置 挺不错 自我调节 东西 行李箱 几个 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.74018335), (1, 0.25981665)]",0
8.0,这车 续航 能力 日常 通勤 小菜一碟 周末 郊游 轻松 应对 一位 永不 疲倦 伙伴 总能 提供 力量 城市 电动 模式 带来 静谧 仿佛 宁静 海洋 远离 喧嚣 要说 高速 电量 发动机 介入 小小的 顿挫 瑕疵 享受 带来 众多 便利 面前 不值一提  可谓 大方 得体  宽敞 无论是 前排 后排 找到 舒适 坐姿  容积 相当可观 日常 购物 长途旅行 行李 轻松 平常 购物 要装 孩子 东西 真的  够用 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.9879088), (1, 0.01209122)]",0
9.0,自我感觉  适合 家庭 状况 缝线 细腻 颜值 颜值 时尚 时尚 性价比 车身 线条 搭配 算是 无可挑剔 颜值 造型 储物  细节 精致 确实 城市 感到 地方 优秀 外观设计 带给 实践 体会 不错 经典 车身 外观设计 不知 从何说起  一家人 身材 不高不矮 二郎腿 宝宝 感觉 换车 看得出来 精心设计   真的 设计 舒适 角度 中央 扶手箱 小东小西 好找 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.86,1.0,pos,"[(0, 0.21675101), (1, 0.783249)]",1
10.0,极具 辨识 外观 造型 满满的 看点 审美 富有 个性 方正 车头 圆润 强大 气场 注入 几分 优雅 气质 海洋 风格 元素 融入 年轻 时尚 大灯 精致 立体 犀利 富有 气势 整体 妥妥 视觉 盛宴 新车 多久 车内  打开 车门 坐进 闻到 想要  干净 估计 时间 吸附  起到 效果   肯定 是够 我用 当初 试车 重点 体验  前后排 有试  宽大 高度 宽度 充足 布局 分配 前后排 保证 宽松 舒适度 头顶 压抑 腿部 受约束 一家人 坐得 车上 储物格 日常 放置 物品 拿取 顺手 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.86,1.0,pos,"[(0, 0.0100924065), (1, 0.98990756)]",1
11.0,地方 综合性 没开 车子 驾校 捷达 朋友 轩逸 一下子 车子 说真的 差距 感受 真的 更爽 第二点 设计 关注 设计 算是 第一眼 眼缘 看中 细致 第三点 视野 害怕  车子 一上 发现 视野 真的 很快 熟悉 很快 尺寸 地方 音响 音响 听听 追求 高品质 得换 一套  身高 调整 座椅 后排 刚刚 大人 后排 座椅 一拳 距离 我家 后排 小孩子   很大 孩子 外出 玩具 很好 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.86,1.0,pos,"[(0, 0.9736564), (1, 0.026343541)]",0
12.0,外观设计 心动  拘束 压抑 感觉 款车 性价比 不错 新车 买来 不多 网上 评价 不错 价格 实惠 赠品 油耗 这辆 很大 优点 很大 突出点 很大 缺点 均衡 薄弱 悬挂 坐过 级别 好多 感觉  台车 优势  前排 不用 完美 后排 给力 后排 座椅 位置 不错 腿部  储物  不错 内部 储物格 零碎 物品 找到 位置 显得 特别 整洁 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.3700574), (1, 0.62994254)]",1
13.0,新能源 认准 品牌 价格便宜 不用 担心 售后 质量 品质 放心 一款 车型 特别 这款 续航 实用 经济 实用 一台 续航 官方 油耗 特别 区别 确实 省油 省心 配置 价格 配置 确实 性价比 车子 保值 体验 新能源 缺点 台车 内饰 感觉 隔音 效果 噪音 特别 行驶 过程 感觉 车内 噪音 内饰 缺点 缺点 外观 特别 豪华 感觉 车漆 稍微  新能源 款车  整体 乘多  舒服 头部 腿部  挺大 特别 台车 后排  表现 确实 三个 成年人 感觉  车型  表现 后排 乘坐 舒适性 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.86,1.0,pos,"[(0, 0.9842942), (1, 0.01570585)]",0
14.0,驾驶 感受 动力 实在 高速 特别 提速 能力 油门 到位 表达 输出 内饰 做工 材质 挑不出 毛病 视觉 喜欢 颜色 单调 喜欢 拼接 那种 色彩鲜明 设计 类型  内部 宽大 代步 平常 几个 朋友 开车 后排  足够 利用 三个 成年人 衣服 不用 紧贴着 缝隙 舒适 伸展 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.71,1.0,pos,"[(0, 0.83992517), (1, 0.16007482)]",0
15.0,这辆 大气 一种 想要 驾驶 感觉 反正 一见钟情 整体 高度 尺寸 适合 驾驶 体验 更好 感觉 更好 适合 初学者 方向盘 轻巧 要说 缺点 相对来说 第一 隔音 效果 水泥 路面 高速路 行驶 声音 特别 减震 独立 悬挂 偏硬 不算 特别 柔和  一辆车 价值 体现  表现 几天 老爸 一趟 水库 路途 不算 路况 钓鱼 东西 帐篷 做饭 东西 东西 放在  两个 轮班 开车 后排 休息 简单 一会儿 解乏 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.57,1.0,pos,"[(0, 0.97580343), (1, 0.02419657)]",0
16.0,操控 走过 一段 坏路 感觉 超级 特意 加速 一脚 油门 来回 方向盘 发现 车辆 一点 打滑 操控 得心应手 感觉 要说 车子 隔音 特别 理想   总体 够用 平时 上班 通勤 代步 大人 小孩 后排 三个 人会 稍微  一点 前排  充裕 平时 后排  自然   不错 足够 能装 东西 座椅 特地 皮质 座椅 配置 驾驶 前后排 空调 照顾 后排 乘客 感受 空间 宽敞 舒服 不错 座椅 设计 驾驶 真的 颜值 很大 喜欢 内饰 舒服 外观 动力 够用 储物 车内 新能源 油耗 舒适 配置 开车 车型  价格 实惠  性价比 停车 速度,4.86,1.0,pos,"[(0, 0.9838687), (1, 0.016131293)]",0
