所属主题,文章数量,特征词,主题强度
Topic0,23,特别、环境、房间、酒店、干净、真的、这家、服务、下次、卫生、喜欢、民宿、老板、江景、舒服、推荐、长沙、前台、入住、超级、窗外、位置、设施、漂亮、细节、咖啡、蜗牛、院子、电梯、泡澡、需求、湘江、服务态度、机会、地方、公寓、浴缸、阳台、周边、热情、第一次、小姐姐、法式、哥哥、不错、帅哥、五星、窗户、装修、异味、哈哈哈、咖啡店、很新、提供、赶上、布局、帮忙、对面、担心、中心地带、来往、屋内、沙发、精致、整洁、优惠期、落地窗、名副其实、水晶灯、拍照、接触、壁炉、冲冲、热情周到、长沙市、离店、十足、心动、好评、好吃、注定、高效、洛可可式、格调、贴心、饭店、风情、相遇、店家、惊喜、室内、舍不得、名宿、格局、住客、打扫、一种、走不开、船只、公寓式,0.11917
Topic1,8,不错、民宿、卫生条件、情况、墙上、灰尘、洗衣机、卫生间、老板、头发、分享、国金、有一、桌面、十五分钟、难受、黄兴、冰箱、攻略、顾客、晚上、过关、朋友、长沙、住宿、步行街、不符、走路、选择、沟通、小伙伴、真的、开张、出行、超级、随处、空空、第一、被子、到位、位置、值得、客厅、设施、旅游、网上、安静、姐姐、很久、遗留、东西、卫生、参考、还行、态度、上位、推荐、体验、房间、特别、尝试、热情、酒店、床单、水渍、第三、换房、最舒服、服务、干净、环境、满意、舒服、下次、旁边、入住、舒适、店家、前台、交通、地方、小姐姐、商家、好好、厕所、温馨、挺不错、超值、分离、齐全、很漂亮、贴心、客服、开心、整洁、江景、很大、地理位置、好吃、很棒,0.041451
Topic2,6,房间、环境、卫生、服务、楼下、小姐姐、适合、舒服、提供、姐妹、几分钟、下次、真的、设施、长沙、贴心、居住、旅游、出行、干净、老板、装修、舒适、前台、安静、喜欢、充足、出差、投影仪、打电话、公交车站、值班、升级、名宿、国金中心、印象、简约、小时、风格、回并、很漂亮、商务、二号线、市中心、美食节、地铁站、超级、开心、步行、电影、免费、情侣、情屋、姐姐、走路、帮忙、洗衣机、眼罩、漱口水、太漂亮、位置、热情、有问必答、管家、坡子街、影响、配备、冰箱、保安、很大、文和友、解决、门禁、非常适合、分离、客服、白色、干湿、厕所、周到、蒸汽、家具用品、地铁、感觉、完善、酒店、耳塞、院子、蜗牛、咖啡、咖啡店、哈哈哈、细节、表现、麻溜儿、喝杯、抱歉、隔壁、换回去、每一处,0.031088
Topic3,16,酒店、房间、干净、不错、民宿、舒服、入住、设施、阿姨、服务、环境、满意、卫生、客人、店家、态度、体验、特别、嚣张、简约、友好、图片、收拾、安静、窗户、冰箱、贴心、米粉、回复、五一广场、很棒、齐全、这家、好找、嘴巴、红枣、说教、恶劣、出行、单身、外面、优惠、一瓶、一只、遗留、宽敞、复式、坡子街、长点、青年、行李、装潢、寄存、总得来说、出门、无礼、规章、几点、充满、和小红、临走时、创意、社恐、赠送、老街区、帆布袋、落地、水温、不到、橘子洲、事业、物资、小猫咪、地铁口、老房子、放在、地方、一米、全屋、朋友、帅哥、不远、中部、黄兴路、环境优美、好吃、一句、前台、选择、异味、把酒、拍照、湘江、赔偿、看着、记性、回电、仓库、稳定、牛奶,0.082902
Topic4,15,干净、房间、民宿、老板、推荐、交通、朋友、距离、入住、环境、五一广场、不错、特别、温馨、位置、延时、简单、躲开、咖啡厅、庭院、解决、天宝兄弟、出行、潮宗街、位于、服务到位、下午、好找、退房、快捷、冬瓜山、养眼、一百分、性价比、吃饭、那条、布置、不用、喝咖啡、微雨、找到、灯光、空气清新、楼上、消食、冲冲、打麻将、网红、孩子、一家、还给、逛逛、整洁、看得出来、精致、贴心、打卡、湘江、手续、情调、聊天、主打、喜欢、一条街、车票、适合、睡觉、整体、卫生、楼下、哥哥、很好、一圈、精心设计、清晨、地方、感受、拍照、值得、柔和、舒服、小姐姐、长沙、情侣、前台、十分钟、成功、楼底下、地理位置、舒适、从众、商家、齐全、态度、客服、设施、满意、下次、服务、酒店,0.07772
Topic5,24,不错、真的、超级、舒服、民宿、地方、感觉、特别、卫生、服务、房间、环境、下次、长沙、出行、地理位置、值得、好吃、小姐姐、安静、推荐、老板、酒店、五一广场、干净、选择、衣服、阿姨、齐全、咖啡、设施、这家、星级、放松、热情、正好、江美、装修、体验、周边、太阳、一块、晚上、随便、很棒、夜景、温馨、图片、好看、路线、情况、楼下、电梯、床上、微风、来住、落地、一道、巨好、大厅、烟花、目的地、茶颜悦色、垃圾、心情、时分、介绍、订房、老板娘、太棒了、距离、性价比、床品、小时、说法、山景、热闹、拥有、夜宵、干干净净、傍晚、小红书、待遇、庭院、现磨、安逸、拍照、地铁站、城市、肯定、满意、河东、第三次、味道、景点、责任、服务态度、玻璃窗、来定、总体,0.12435
Topic6,21,满意、干净、房间、不错、长沙、舒服、民宿、整洁、地理位置、安静、下次、特别、环境、公寓、很大、酒店、推荐、庆幸、几个、尴尬、一点、几分钟、室内、马路边、地垫、外卖、两张、确实、热情、厕所、退房、照片、首选、拍照、楼道、空间、朋友、观景、双人床、卫生间、收拾、江景、复式、外面、不好、只能、走进、全房、坡子街、提前、小朋友、居住、预约、地段、安排、开心、投影仪、很好、选到、阿姨、烟花、榻榻米、忘记、隔音、排队、机会、开房、客服、超级、一家、内外、露台、脚感、真心、好久、海信广场、舒适、楼下、小姐姐、重点、洗衣服、还好、手续、洗衣机、一齐、态度、找到、上拍、选择、系统、聊天、办理、适合、入住、投屏、通风、绝佳、会员、号线、小巷,0.10881
Topic7,1,前台、沐浴露、洗发水、哥哥、舒服、好闻、免费、智能家居、香皂、绿茶、挺舒服、热情、哈哈哈、不错、房间、环境、干净、服务、满意、特别、卫生、老板、推荐、下次、民宿、设施、位置、入住、体验、旁边、长沙、值得、店家、舒适、真的、超级、感觉、小姐姐、贴心、超值、整洁、地段、非常感谢、酒店、地理位置、交通、五一广场、适合、好吃、房东、装修、好好、厕所、开心、楼下、地方、温馨、很棒、齐全、安静、很大、商家、江景、挺不错、朋友、阿姨、周边、喜欢、小吃、完美、精心设计、到位、一条街、厨房、真心、衣服、美食、内外、强力、看得出来、提供、服务到位、出行、安心、入睡、地铁站、提前、东西、攻略、好找、烟花、有家、耳塞、住宿、便利、哈哈哈哈、第二次、介绍、旅游、耐心,0.0051813
Topic8,6,长沙、商圈、距离、民宿、干净、房间、蜗牛、旅行、地理位置、小院、院子、酒店、很棒、交通、不错、下次、选择、很漂亮、一共、重工、推荐、第二次、溪湖、地铁站、优越、木质、床品、独自一人、颜值、绝佳、旅游、细节、美食、情趣、服务、四通八达、潮宗街、满分、茶颜、便利、生活、周边环境、这家、打扫、消防局、旁边、安静、步行、家具、位于、的的、五一广场、贴心、价格、亲民、房东、在线、即可、舒适度、攻略、店家、阿姨、卫生、惊喜、愉快、小姐姐、热情、客服、晚上、房型、亲切、整洁、朝宗、老板、环境、满意、特别、体验、位置、入住、舒服、设施、舒适、真的、超级、值得、地方、装修、喜欢、商家、住宿、温馨、齐全、朋友、前台、开心、楼下、周边、挺不错、好好,0.031088
Topic9,6,不错、房间、便利店、楼下、喜欢、齐全、老板、完善、国金、药店、小小的、水渍、安静、设备、门口、公交、公寓、地铁站、步行、服务到位、洗衣机、自助、景色、交通、稍远、冰箱、电动车、排气扇、很漂亮、广场、描述、退宿、美食、朋友、飘窗、挺不错、水果店、很大、共享、推荐、猫猫、舒服、介绍、厕所、可爱、地铁口、便利、环境、入职、小吃、打卡、住宿、出行、火车、地都、入住、干净、五一广场、卫生、蛮意、下楼、进门、提前、设施、感觉、满意、下次、特别、服务、位置、超级、酒店、舒适、体验、民宿、旁边、真的、商家、长沙、店家、地理位置、热情、值得、小姐姐、开心、地方、好好、拍照、好吃、整洁、非常感谢、晚上、很棒、房东、地段、贴心、前台、周边、温馨、这家,0.031088
