Unnamed: 0,Unnamed: 1,Unnamed: 2,评论内容,fenci,情感得分,情感类别
于2023年4月入住,朋友出游,5.0,房间卫生干净利落整洁 小哥哥服务态度特别好 下次来长沙还会来,房间 卫生 干净利落 整洁 哥哥 服务态度 特别 下次 长沙,0.8874535097173857,正面
于2023年4月入住,朋友出游,5.0,不错，交通挺方便。干静,不错 交通 干静,0.9671354435280914,正面
于2023年4月入住,朋友出游,5.0,位置绝佳，吃饭，逛街，打车，地铁都非常方便。非常适合带闺蜜来拍拍拍，房间很整洁干净，再来长沙还会选择。,位置 绝佳 吃饭 逛街 打车 地铁 非常适合 闺蜜 拍拍 房间 整洁 干净 长沙 选择,0.9997065816161832,正面
于2023年4月入住,2条点评,5.0,赞 房间采光、房间面积、住宿安全、蚊虫治理、地段、性价比令我满意；环境特别好，服务也很耐思,房间 采光 房间 面积 住宿 蚊虫 治理 地段 性价比 满意 环境 特别 服务 很耐思,0.8470027399915725,正面
于2023年4月入住,家庭亲子,4.2,就在潮宗街上，位置优越，五一、黄兴步行街、太平老街都在附近，楼下是咖啡厅，楼上是民宿，房间虽不大，但设备齐全，有免治马桶、吹风机，尤其洗发水和冲凉液特别香。由于未到入住时间，员工亚鹏让我存放行李，结果不到半小时就通知可以提前入住，帮忙提行李之余还介绍长沙很多好玩好吃的，亚鹏真的很热心、服务周全。 离民宿5分钟的万达广场里有一个不错的泰式按摩，去长沙四天就按了两天，环境和技师一流。,潮宗街 位置 优越 五一 黄兴 步行街 太平 老街 楼下 咖啡厅 楼上 民宿 房间 设备齐全 免治 马桶 吹风机 洗发水 冲凉 特别 入住 时间 员工 亚鹏 存放 行李 不到 半小时 通知 提前 入住 帮忙 行李 之余 介绍 长沙 好玩 好吃 亚鹏 真的 热心 服务 周全 民宿 分钟 万达 广场 不错 泰式 按摩 长沙 四天 按了 两天 环境 技师 一流,0.027586841382051697,正面
于2023年4月入住,情侣出游,5.0,房间装修风格真的超级喜欢，设施也很新！洗衣服做饭什么的很方便，很适合情侣出游。地理位置优越，交通方便，靠近地铁站，距离市中心也不远。旁边就有购物中心，茶颜悦色和一些餐馆。总之非常愉悦的入住体验！,房间 装修 风格 真的 超级 喜欢 设施 洗衣服 做饭 适合 情侣 出游 地理位置 优越 交通 靠近 地铁站 距离 市中心 不远 旁边 购物中心 茶颜悦色 餐馆 愉悦 入住 体验,0.9999533610298672,正面
于2023年4月入住,情侣出游,5.0,住了三个房型，第一天摩卡第二天琉白，第三四天 晨汐，这里的每个房型名字都好好。房间基本跟照片一致，都很好看，床很舒服！！！民宿离地铁站很近，出行比较方便，楼下润和广场那里就有一个小夜市，好像会营业到晚上十一点多十二点这样，那里有一个卖啤酒的摊档，荔枝海盐味和百香果味很好喝哈哈哈哈哈！去四方坪夜市也很近，还是比较方便的！小姐姐服务态度都很好，很贴心！下次去长沙还是选择这里哦！,三个 房型 第一天 摩卡 第二天 琉白 三四天 晨汐 房型 名字 好好 房间 照片 好看 舒服 民宿 地铁站 出行 楼下 广场 夜市 好像 营业 晚上 十一点多 十二点 啤酒 摊档 荔枝 海盐 百香果 好喝 哈哈哈 四方 夜市 小姐姐 服务态度 贴心 下次 长沙 选择,0.9872131895021257,正面
于2023年4月入住,朋友出游,5.0,来到长沙住过的最舒服的民宿，体验感真的是绝绝子 棒 很适合拍照，很温馨，还有个超大的投影，可以说是体验感拉满了，观影效果也是拉满了,来到 长沙 最舒服 民宿 体验 真的 是绝 绝子 适合 拍照 温馨 超大 投影 体验 拉满 观影 效果 拉满,0.9924988886476842,正面
于2023年4月入住,朋友出游,5.0,房间干净、漂亮。适合拍照呀、落地窗好有感觉。距离地铁站五分钟路程、超方便。楼下有夜市、茶颜悦色、各种小吃。,房间 干净 漂亮 适合 拍照 落地窗 感觉 距离 地铁站 五分钟 路程 楼下 夜市 茶颜悦色 小吃,0.992503891288822,正面
于2023年4月入住,其他,5.0,挺好的，没住很久不做评论.,没住 很久 评论,-0.48151413059289694,负面
