Unnamed: 0,Unnamed: 1,Unnamed: 2,评论内容,fenci,情感得分,情感类别
于2023年5月入住,朋友出游,5.0,找到一家非常有情调的民宿，交通方便，距离五一广场很近，民宿位于潮宗街里面，想喝咖啡不用到处找了，民宿就是咖啡厅，每天很多网红小姐姐过来打卡拍照，十分养眼！！,找到 一家 情调 民宿 交通 距离 五一广场 民宿 位于 潮宗街 喝咖啡 不用 民宿 咖啡厅 网红 小姐姐 打卡 拍照 养眼,0.9998941897400753,正面
于2023年5月入住,朋友出游,5.0,推荐推荐这家民宿，喜欢拍照的小姐姐这在这里，处处出片，隔壁的店铺很多潮牌店，最喜欢民宿门口的玩偶，好特别！房间的大浴缸，智能马桶，戴森吹风机，高级感满满。,推荐 推荐 这家 民宿 喜欢 拍照 小姐姐 出片 隔壁 店铺 潮牌 喜欢 民宿 门口 玩偶 特别 房间 浴缸 智能 马桶 戴森 吹风机 高级 满满,0.6963483559455084,正面
于2023年5月入住,独自旅行,5.0,位置好逛吃都方便、装修好是网红打卡地、服务卫生也都不错。 小插曲阳台锁有点问题，反映了一下，态度挺好给解决了。 还会再次入住。,位置 装修 打卡 服务 卫生 不错 插曲 阳台 态度 解决 入住,-0.012762808813130189,负面
于2023年5月入住,朋友出游,5.0,旁边就有茶颜悦色，酒店不错，性价比高，挺好,旁边 茶颜悦色 酒店 不错 性价比,0.9375430950213091,正面
于2023年5月入住,商务出差,4.2,卫生条件非常差、卫生间墙上遗留上位顾客的头发很多在墙上、特别是那个洗衣机里面是真的脏啊！其他的都还行,卫生条件 卫生间 墙上 遗留 上位 顾客 头发 墙上 特别 洗衣机 真的 还行,-0.9945573628217508,负面
于2023年5月入住,其他,5.0,设施：好好好好好好,设施 好好 好好 好好,0.18983439343864505,正面
于2023年5月入住,情侣出游,5.0,超级超级好的装修,超级 超级 装修,-0.281198788405183,负面
于2023年5月入住,独自旅行,5.0,非常值得推荐,值得 推荐,0.6504926608582424,正面
于2023年5月入住,商务出差,5.0,很舒适，干净,舒适 干净,0.7446437759677749,正面
于2023年5月入住,情侣出游,5.0,房间跟图片上一样，收拾得很干净，冰箱洗衣机都有，全自助入住社恐友好，高层还安静，附近就是米粉街，离五一广场也不远，很棒的入住体验！,房间 图片 收拾 干净 冰箱 洗衣机 自助 入住 社恐 友好 高层 安静 米粉 五一广场 不远 很棒 入住 体验,0.19816825199371513,正面
于2023年5月入住,家庭亲子,5.0,第一次住民宿，体验感很不错的民宿。室内格局非常喜欢，窗外视野非常好。老板人很好，无接触入住，但是服务很赞。总之，非常推荐哦。下次来长沙还入住大梦。,第一次 民宿 体验 不错 民宿 室内 格局 喜欢 窗外 视野 老板 接触 入住 服务 推荐 下次 长沙 入住,0.9511573298067031,正面
于2023年5月入住,家庭亲子,5.0,房间布局合理温馨，有回家的感觉 卫生：清洁卫生，如果有一次性马桶垫就更好了 设施：房间虽小，设施齐全 环境：生活方便，楼下有便利店烧烤 服务：周到，及时，有问题及时解决,房间 布局合理 温馨 回家 感觉 卫生 清洁卫生 一次性 马桶 更好 设施 房间 设施 齐全 环境 生活 楼下 便利店 烧烤 服务 周到 解决,0.9865859869650164,正面
于2023年5月入住,商务出差,5.0,房间在市中心的位置，去五一广场 橘子洲头都很近很方便，全自助入住，环境不错，楼层高，可以看到长沙夜晚的样子,房间 市中心 位置 五一广场 橘子洲 自助 入住 环境 不错 楼层 长沙 夜晚 样子,0.9971407145029074,正面
于2023年5月入住,朋友出游,5.0,酒店在五一广场附近，去周边都好方便～房间超级漂亮，有我最爱的榻榻米和飘窗～房间干净舒服 下次来还住这个！,酒店 五一广场 周边 房间 超级 漂亮 最爱 榻榻米 房间 干净 舒服 下次,0.9704234626226764,正面
于2023年5月入住,朋友出游,5.0,房间很漂亮而且很大 离二号线很近 客服姐姐超级好 有问题都会及时回并帮忙解决 住得很开心 下次来长沙还会选这里的^^,房间 很漂亮 很大 二号线 客服 姐姐 超级 回并 帮忙 解决 开心 下次 长沙,-0.6475872406991425,负面
于2023年5月入住,朋友出游,5.0,提前跟房东预约开房，凭密码进入，房间非常干净，两张双人床还有大飘窗和投影，非常舒服干净！,提前 房东 预约 开房 密码 房间 干净 两张 双人床 投影 舒服 干净,-0.9889064043581393,负面
于2023年5月入住,朋友出游,5.0,真的很舒服，干干净净，啥都齐全（使用者原因有点乱）,真的 舒服 干干净净 齐全 使用者 原因,0.8710077397432776,正面
于2023年5月入住,朋友出游,5.0,环境不错，很方便,环境 不错,0.8144126909042833,正面
于2023年5月入住,朋友出游,5.0,民宿的位置超棒的，地铁二号线5号口出来走几百米就能看到一个特别高的楼写着“阳光檀悦”，进去之后里面很气派很多电梯根本不用挤电梯!周围的交通无论是公交还是打车都很便利，而且下楼往外走还停着很多共享电动车!出行尊的很方便就是说因!然后楼下就是便利店，出门还有早餐店啊 水果店，进去之后感觉特别温馨，很干净很好看 随便拍拍都巨好看!里面有洗衣机冰箱投影仪各种应有尽有，就是说真的很棒!!楼上的床超级舒服，楼下的沙发和窗台那 都超级软，晚上在二楼一楼看窗外的夜景也是别有一番风味!早上窗帘一拉太阳直接晒进来真的很有感觉!然后住的地方离五一广场也超近的可以选择坐地铁过去但是完全没必要走走路就可以到五一广场坡子街长沙美食城太平街…(这些打卡的地方都在一块)在这里要特别感谢房东，他真的超级超级好!很细节，也很有耐心的回答你问的问题，会为你解决你的问题，作为游客对地理情况完全不了解的情况下，他会提前发给你各种交通工具来住宿地方的路线，还有图片指引!会在你问去五一广场怎么逛之后给你画路线告诉你怎么样可以一次性全部逛完这些地方。下次来还要住这里~,民宿 位置 超棒 地铁 二号线 号口 几百米 特别 阳光 檀悦 气派 电梯 不用 电梯 交通 无论是 公交 打车 便利 下楼 共享 电动车 出行 楼下 便利店 出门 早餐 水果店 感觉 特别 温馨 干净 好看 随便 拍拍 好看 洗衣机 冰箱 投影仪 应有尽有 真的 很棒 楼上 超级 舒服 楼下 沙发 窗台 超级 晚上 二楼 一楼 窗外 夜景 风味 早上 窗帘 太阳 真的 感觉 地方 五一广场 超近 选择 坐地铁 走路 五一广场 坡子街 长沙 美食城 太平街 打卡 地方 一块 特别感谢 房东 真的 超级 超级 细节 耐心 回答 解决 游客 地理 情况 情况 提前 发给你 交通工具 住宿 地方 路线 图片 指引 五一广场 路线 告诉 一次性 地方 下次,0.9999999999816085,正面
于2023年5月入住,朋友出游,5.0,这次的长沙之行很满意，住的很满意，房间设施很新，卫生干净整洁，房间是跃层式，所以空间比较大，不拥挤。服务员态度很好，我们原先住的房间无线网有问题，服务员很快帮我换了一间房，离开长沙的当天我们买的下午车票，中午退房，服务员又帮我们解决了行李存放问题。让我们晃着两膀子去太平老街吃吃喝喝，到了离开时间再去提着行李走人。,长沙 之行 满意 满意 房间 设施 卫生 干净 整洁 房间 跃层 空间 拥挤 服务员 态度 原先 房间 无线网 服务员 很快 一间 离开 长沙 当天 下午 车票 中午 退房 服务员 解决 行李 存放 膀子 太平 老街 吃吃喝喝 离开 时间 提着 行李,-0.9916133847132274,负面
于2023年5月入住,家庭亲子,5.0,非常蛮意的一次住宿，卫生非常干净，设施也非常的齐全，一进门就有家的感觉，老板也非常好，火车到得比较早，房间空出来了还让我们提前入住了，下楼出行也非常的方便，到五一广场等各个打卡地都非常近,蛮意 住宿 卫生 干净 设施 齐全 进门 感觉 老板 火车 房间 提前 入住 下楼 出行 五一广场 打卡 地都,0.5290173022426155,正面
于2023年5月入住,家庭亲子,5.0,地理位置:方便，地铁站附近 设施：齐全 卫生：良好 环境：装修较新 服务：挺贴心的 一家人第一次感觉住复式公寓的舒适,地理位置 地铁站 设施 齐全 卫生 环境 装修 服务 贴心 一家人 第一次 感觉 复式 公寓 舒适,0.9956957467318366,正面
于2023年5月入住,朋友出游,5.0,自助入职、退宿都很方便，房间跟描述一致，交通便利，离地铁站、步行路、国金广场都很近，楼下就有便利店、水果店、药店等,自助 入职 退宿 房间 描述 交通 便利 地铁站 步行 国金 广场 楼下 便利店 水果店 药店,0.9973411131224068,正面
