Pre-Theme,Theme,Sim
Jan Topic 0,Feb Topic 4,0.50
Jan Topic 0,Feb Topic 6,0.51
Jan Topic 0,Feb Topic 10,0.55
Jan Topic 1,Feb Topic 0,0.51
Jan Topic 1,Feb Topic 1,0.58
Jan Topic 1,Feb Topic 4,0.52
Jan Topic 1,Feb Topic 5,0.52
Jan Topic 1,Feb Topic 6,0.53
Jan Topic 1,Feb Topic 8,0.61
Jan Topic 1,Feb Topic 9,0.55
Jan Topic 1,Feb Topic 10,0.50
Jan Topic 1,Feb Topic 11,0.55
Jan Topic 1,Feb Topic 13,0.57
Jan Topic 1,Feb Topic 14,0.51
Jan Topic 1,Feb Topic 15,0.57
Jan Topic 1,Feb Topic 16,0.56
Jan Topic 1,Feb Topic 17,0.52
Jan Topic 2,Feb Topic 11,0.51
Jan Topic 2,Feb Topic 15,0.53
Jan Topic 2,Feb Topic 16,0.57
Jan Topic 2,Feb Topic 17,0.51
Jan Topic 4,Feb Topic 4,0.53
Jan Topic 4,Feb Topic 15,0.53
Jan Topic 5,Feb Topic 0,0.52
Jan Topic 5,Feb Topic 2,0.57
Jan Topic 5,Feb Topic 4,0.52
Jan Topic 5,Feb Topic 5,0.61
Jan Topic 5,Feb Topic 8,0.54
Jan Topic 5,Feb Topic 9,0.51
Jan Topic 5,Feb Topic 11,0.56
Jan Topic 5,Feb Topic 12,0.50
Jan Topic 5,Feb Topic 13,0.53
Jan Topic 5,Feb Topic 15,0.53
Jan Topic 5,Feb Topic 16,0.62
Jan Topic 5,Feb Topic 17,0.57
Jan Topic 6,Feb Topic 0,0.50
Jan Topic 6,Feb Topic 2,0.56
Jan Topic 6,Feb Topic 5,0.56
Jan Topic 6,Feb Topic 6,0.60
Jan Topic 6,Feb Topic 8,0.61
Jan Topic 6,Feb Topic 10,0.60
Jan Topic 6,Feb Topic 11,0.53
Jan Topic 6,Feb Topic 13,0.57
Jan Topic 6,Feb Topic 14,0.51
Jan Topic 6,Feb Topic 15,0.63
Jan Topic 6,Feb Topic 16,0.55
Jan Topic 7,Feb Topic 2,0.52
Jan Topic 7,Feb Topic 4,0.51
Jan Topic 7,Feb Topic 6,0.54
Jan Topic 7,Feb Topic 7,0.53
Jan Topic 7,Feb Topic 8,0.54
Jan Topic 7,Feb Topic 12,0.53
Jan Topic 7,Feb Topic 13,0.57
Jan Topic 7,Feb Topic 14,0.52
Jan Topic 7,Feb Topic 15,0.55
Jan Topic 7,Feb Topic 16,0.52
Jan Topic 8,Feb Topic 0,0.52
Jan Topic 8,Feb Topic 5,0.58
Jan Topic 8,Feb Topic 6,0.50
Jan Topic 8,Feb Topic 8,0.61
Jan Topic 8,Feb Topic 10,0.56
Jan Topic 8,Feb Topic 11,0.52
Jan Topic 8,Feb Topic 13,0.54
Jan Topic 8,Feb Topic 14,0.54
Jan Topic 8,Feb Topic 15,0.55
Jan Topic 9,Feb Topic 0,0.63
Jan Topic 9,Feb Topic 2,0.58
Jan Topic 9,Feb Topic 4,0.53
Jan Topic 9,Feb Topic 5,0.61
Jan Topic 9,Feb Topic 6,0.53
Jan Topic 9,Feb Topic 8,0.58
Jan Topic 9,Feb Topic 9,0.53
Jan Topic 9,Feb Topic 10,0.55
Jan Topic 9,Feb Topic 11,0.58
Jan Topic 9,Feb Topic 12,0.55
Jan Topic 9,Feb Topic 13,0.58
Jan Topic 9,Feb Topic 14,0.52
Jan Topic 9,Feb Topic 15,0.55
Jan Topic 9,Feb Topic 16,0.63
Jan Topic 9,Feb Topic 17,0.55
Jan Topic 10,Feb Topic 0,0.54
Jan Topic 10,Feb Topic 2,0.58
Jan Topic 10,Feb Topic 5,0.60
Jan Topic 10,Feb Topic 6,0.54
Jan Topic 10,Feb Topic 8,0.61
Jan Topic 10,Feb Topic 10,0.61
Jan Topic 10,Feb Topic 11,0.58
Jan Topic 10,Feb Topic 13,0.57
Jan Topic 10,Feb Topic 14,0.57
Jan Topic 10,Feb Topic 15,0.68
Jan Topic 10,Feb Topic 16,0.53
Jan Topic 10,Feb Topic 17,0.58
Jan Topic 11,Feb Topic 0,0.55
Jan Topic 11,Feb Topic 2,0.52
Jan Topic 11,Feb Topic 5,0.61
Jan Topic 11,Feb Topic 6,0.53
Jan Topic 11,Feb Topic 8,0.64
Jan Topic 11,Feb Topic 10,0.57
Jan Topic 11,Feb Topic 11,0.60
Jan Topic 11,Feb Topic 15,0.60
Jan Topic 11,Feb Topic 16,0.56
Jan Topic 11,Feb Topic 17,0.54
Jan Topic 12,Feb Topic 4,0.52
Jan Topic 12,Feb Topic 5,0.51
Jan Topic 12,Feb Topic 10,0.53
Jan Topic 13,Feb Topic 5,0.53
Jan Topic 13,Feb Topic 13,0.55
Jan Topic 13,Feb Topic 14,0.52
Jan Topic 13,Feb Topic 15,0.55
Jan Topic 13,Feb Topic 16,0.55
Jan Topic 13,Feb Topic 17,0.54
Jan Topic 14,Feb Topic 0,0.50
Jan Topic 14,Feb Topic 5,0.52
Jan Topic 14,Feb Topic 8,0.58
Jan Topic 14,Feb Topic 11,0.51
Jan Topic 14,Feb Topic 14,0.50
Jan Topic 14,Feb Topic 15,0.55
Jan Topic 15,Feb Topic 0,0.56
Jan Topic 15,Feb Topic 1,0.55
Jan Topic 15,Feb Topic 2,0.52
Jan Topic 15,Feb Topic 4,0.50
Jan Topic 15,Feb Topic 5,0.57
Jan Topic 15,Feb Topic 6,0.57
Jan Topic 15,Feb Topic 7,0.53
Jan Topic 15,Feb Topic 8,0.64
Jan Topic 15,Feb Topic 10,0.57
Jan Topic 15,Feb Topic 11,0.58
Jan Topic 15,Feb Topic 12,0.51
Jan Topic 15,Feb Topic 13,0.61
Jan Topic 15,Feb Topic 14,0.53
Jan Topic 15,Feb Topic 15,0.67
Jan Topic 15,Feb Topic 16,0.55
Jan Topic 15,Feb Topic 17,0.53
Feb Topic 0,Mar Topic 0,0.60
Feb Topic 0,Mar Topic 1,0.58
Feb Topic 0,Mar Topic 2,0.62
Feb Topic 0,Mar Topic 5,0.59
Feb Topic 0,Mar Topic 6,0.59
Feb Topic 0,Mar Topic 7,0.54
Feb Topic 0,Mar Topic 8,0.62
Feb Topic 0,Mar Topic 9,0.51
Feb Topic 0,Mar Topic 10,0.52
Feb Topic 0,Mar Topic 11,0.58
Feb Topic 0,Mar Topic 12,0.60
Feb Topic 1,Mar Topic 1,0.63
Feb Topic 1,Mar Topic 2,0.55
Feb Topic 1,Mar Topic 8,0.50
Feb Topic 2,Mar Topic 1,0.55
Feb Topic 2,Mar Topic 2,0.64
Feb Topic 2,Mar Topic 5,0.52
Feb Topic 2,Mar Topic 6,0.59
Feb Topic 2,Mar Topic 7,0.56
Feb Topic 2,Mar Topic 8,0.58
Feb Topic 2,Mar Topic 10,0.58
Feb Topic 2,Mar Topic 11,0.61
Feb Topic 2,Mar Topic 12,0.56
Feb Topic 2,Mar Topic 13,0.54
Feb Topic 4,Mar Topic 1,0.54
Feb Topic 4,Mar Topic 2,0.53
Feb Topic 4,Mar Topic 9,0.50
Feb Topic 4,Mar Topic 12,0.55
Feb Topic 4,Mar Topic 13,0.53
Feb Topic 5,Mar Topic 0,0.54
Feb Topic 5,Mar Topic 1,0.65
Feb Topic 5,Mar Topic 2,0.70
Feb Topic 5,Mar Topic 3,0.51
Feb Topic 5,Mar Topic 4,0.51
Feb Topic 5,Mar Topic 5,0.66
Feb Topic 5,Mar Topic 6,0.64
Feb Topic 5,Mar Topic 7,0.55
Feb Topic 5,Mar Topic 8,0.71
Feb Topic 5,Mar Topic 10,0.66
Feb Topic 5,Mar Topic 11,0.64
Feb Topic 5,Mar Topic 12,0.67
Feb Topic 5,Mar Topic 13,0.53
Feb Topic 6,Mar Topic 0,0.52
Feb Topic 6,Mar Topic 1,0.56
Feb Topic 6,Mar Topic 2,0.55
Feb Topic 6,Mar Topic 3,0.53
Feb Topic 6,Mar Topic 5,0.53
Feb Topic 6,Mar Topic 6,0.61
Feb Topic 6,Mar Topic 7,0.57
Feb Topic 6,Mar Topic 8,0.53
Feb Topic 6,Mar Topic 9,0.52
Feb Topic 6,Mar Topic 10,0.54
Feb Topic 6,Mar Topic 13,0.58
Feb Topic 7,Mar Topic 7,0.56
Feb Topic 8,Mar Topic 0,0.53
Feb Topic 8,Mar Topic 1,0.63
Feb Topic 8,Mar Topic 2,0.62
Feb Topic 8,Mar Topic 3,0.50
Feb Topic 8,Mar Topic 4,0.51
Feb Topic 8,Mar Topic 5,0.66
Feb Topic 8,Mar Topic 6,0.64
Feb Topic 8,Mar Topic 7,0.59
Feb Topic 8,Mar Topic 8,0.73
Feb Topic 8,Mar Topic 10,0.61
Feb Topic 8,Mar Topic 11,0.59
Feb Topic 8,Mar Topic 12,0.57
Feb Topic 8,Mar Topic 13,0.54
Feb Topic 9,Mar Topic 2,0.55
Feb Topic 9,Mar Topic 5,0.51
Feb Topic 9,Mar Topic 7,0.52
Feb Topic 9,Mar Topic 12,0.54
Feb Topic 10,Mar Topic 1,0.55
Feb Topic 10,Mar Topic 2,0.57
Feb Topic 10,Mar Topic 4,0.51
Feb Topic 10,Mar Topic 5,0.58
Feb Topic 10,Mar Topic 6,0.61
Feb Topic 10,Mar Topic 7,0.53
Feb Topic 10,Mar Topic 8,0.63
Feb Topic 10,Mar Topic 10,0.65
Feb Topic 10,Mar Topic 11,0.58
Feb Topic 10,Mar Topic 13,0.57
Feb Topic 11,Mar Topic 0,0.57
Feb Topic 11,Mar Topic 1,0.59
Feb Topic 11,Mar Topic 2,0.61
Feb Topic 11,Mar Topic 4,0.51
Feb Topic 11,Mar Topic 5,0.59
Feb Topic 11,Mar Topic 6,0.60
Feb Topic 11,Mar Topic 7,0.51
Feb Topic 11,Mar Topic 8,0.63
Feb Topic 11,Mar Topic 9,0.50
Feb Topic 11,Mar Topic 10,0.59
Feb Topic 11,Mar Topic 11,0.62
Feb Topic 11,Mar Topic 12,0.55
Feb Topic 11,Mar Topic 13,0.60
Feb Topic 12,Mar Topic 0,0.52
Feb Topic 12,Mar Topic 1,0.52
Feb Topic 12,Mar Topic 2,0.59
Feb Topic 12,Mar Topic 3,0.51
Feb Topic 12,Mar Topic 5,0.55
Feb Topic 12,Mar Topic 6,0.52
Feb Topic 12,Mar Topic 8,0.51
Feb Topic 12,Mar Topic 11,0.54
Feb Topic 12,Mar Topic 12,0.61
Feb Topic 13,Mar Topic 1,0.61
Feb Topic 13,Mar Topic 2,0.59
Feb Topic 13,Mar Topic 3,0.57
Feb Topic 13,Mar Topic 5,0.59
Feb Topic 13,Mar Topic 6,0.60
Feb Topic 13,Mar Topic 7,0.58
Feb Topic 13,Mar Topic 8,0.61
Feb Topic 13,Mar Topic 9,0.53
Feb Topic 13,Mar Topic 10,0.56
Feb Topic 13,Mar Topic 11,0.58
Feb Topic 13,Mar Topic 12,0.59
Feb Topic 13,Mar Topic 13,0.62
Feb Topic 14,Mar Topic 2,0.55
Feb Topic 14,Mar Topic 3,0.57
Feb Topic 14,Mar Topic 5,0.54
Feb Topic 14,Mar Topic 6,0.56
Feb Topic 14,Mar Topic 7,0.54
Feb Topic 14,Mar Topic 8,0.53
Feb Topic 14,Mar Topic 11,0.51
Feb Topic 14,Mar Topic 12,0.52
