Unnamed: 0,Unnamed: 1,Unnamed: 2,评论内容,fenci,情感得分,情感类别,主题概率,主题类型
于2023年8月入住,朋友出游,5.0,已经是第二次入住啦，感觉每个房型都很有特色，并且每个房间的味道都不一样，放了不同味道的香薰。感觉唐顿特别的法式，而且床也挺软的，很适合我，躺下就不想起来了哈哈哈哈哈,第二次 入住 感觉 房型 特色 房间 味道 味道 香薰 感觉 唐顿 特别 法式 挺软 适合 不想 哈哈哈,0.6152890601666392,正面,"[(16, 0.94736594)]",16
于2023年8月入住,情侣出游,5.0,非常干净，很有感觉呢，被套毛巾啥的都有刺绣标志，很戳细节，而且枕头很舒服，很久没睡过那么香的觉了，下次来长沙玩还来这家民宿！,干净 感觉 被套 毛巾 刺绣 标志 细节 枕头 舒服 很久没 下次 长沙 这家 民宿,-0.2309087635141804,负面,"[(2, 0.93683857)]",2
于2023年8月入住,其他,5.0,房间干净卫生，罗马风格，环境舒服，二楼小露台适合打卡，小哥哥小姐姐服务很周到，一楼是一很有格调的咖啡厅，而且咖啡好好喝，图一是一楼咖啡厅，图二三是小露台,房间 干净 卫生 罗马 风格 环境 舒服 二楼 露台 适合 打卡 哥哥 小姐姐 服务 周到 一楼 格调 咖啡厅 咖啡 好喝 一是 一楼 咖啡厅 二三 露台,0.9997846291762368,正面,"[(10, 0.96356136)]",10
于2023年8月入住,情侣出游,5.0,房间干净安静，一楼是一间咖啡馆，民宿有赠送我们咖啡~~喜欢这种静谧感，但是也希望房间多放两张椅子一个桌子~,房间 干净 安静 一楼 一间 咖啡馆 民宿 赠送 咖啡 喜欢 静谧 希望 房间 两张 椅子 桌子,0.3899921433665059,正面,"[(5, 0.9442693)]",5
于2023年8月入住,家庭亲子,5.0,一开始有点小乌龙，但是很好的解决了，酒店住起来很舒服,乌龙 很好 解决 酒店 舒服,0.8437655479671042,正面,"[(13, 0.8421001)]",13
于2023年8月入住,家庭亲子,5.0,服务态度好，环境优美，很开心，下次来长沙玩，还来！,服务态度 环境优美 开心 下次 长沙,0.6899423047805151,正面,"[(8, 0.84210056)]",8
于2023年8月入住,朋友出游,5.0,民宿的小哥哥小姐姐很热情，装修风格复古有格调，也非常适合拍照！！我们住的是爱丽丝，绿色的房间很特别，推荐入住～,民宿 哥哥 小姐姐 热情 装修 风格 复古 格调 非常适合 拍照 爱丽丝 绿色 房间 特别 推荐 入住,0.9999885474149126,正面,"[(15, 0.9442703)]",15
于2023年8月入住,情侣出游,5.0,很棒，民宿很有风格，环境卫生都很好，服务也好！,很棒 民宿 风格 环境卫生 服务,0.7901719821667259,正面,"[(0, 0.84210235)]",0
于2023年8月入住,情侣出游,5.0,环境非常好，位置也不错，值得入住。,环境 位置 不错 值得 入住,0.9293350986233232,正面,"[(13, 0.842103)]",13
于2023年8月入住,家庭亲子,5.0,智能马桶和吹风机真的不擦,智能 马桶 吹风机 真的,-0.5122101439077691,负面,"[(0, 0.0105269), (1, 0.010526899), (2, 0.81051576), (3, 0.0105269), (4, 0.010526899), (5, 0.010526899), (6, 0.010526899), (7, 0.0105269), (8, 0.0105269), (9, 0.010526899), (10, 0.010526899), (11, 0.0105269), (12, 0.010526899), (13, 0.010526899), (14, 0.010526899), (15, 0.010526899), (16, 0.0105269), (17, 0.0105269), (18, 0.010526899)]",2
