id,score,content,creationTime,class
19086118246,1,日期不新鲜，保质期已经过半,2023-05-06 07:21:28,生鲜
19085513183,1,说实话不太理想，23天保质期4月20日产的5月5日到的，8天吃完2桶，没谁了,2023-05-05 21:05:38,生鲜
19081358813,1,日期不新鲜了，两桶剩十天又不是当饭吃?,2023-05-04 14:45:48,生鲜
19080463663,1,二号买的三号到  九号过期,2023-05-04 10:01:08,生鲜
19079828435,1,之前非常喜欢天润的酸奶。但是现在让我很失望。没有酸奶味，搅拌后，竟然拉丝的感觉。这是老酸奶吗？很无语。问客服到底什么情况。客服直接让打售后。售后什么？把酸奶做成这样了。完全侮辱了天润的牌子。太让人失望了。,2023-05-03 23:16:08,生鲜
19079712350,1,体验感非常差，再也不会来买了，送到家的酸奶还有7天就要过期了，明明21天的保质期，等于发半个月前的酸奶给我们，很过分,2023-05-03 22:17:56,生鲜
19079003590,1,收到的保质期太短，买了两罐，保质期就剩10天，不会回购。还不如pdd,2023-05-03 18:16:40,生鲜
19078921538,1,吃起来好恶心，酸臭的,2023-05-03 17:49:41,生鲜
19076386251,1,收到货是挺快的，早上下单，下午就收到了，可是保质期一共28天，生产日期4.20号，这就差不多过去一半了，,2023-05-02 19:36:52,生鲜
19076277339,1,"4月16日生产的，现在是5月2号，保质期28天，已经过了一大半，临期食品。
京东生鲜越来约不鲜了怎么回事",2023-05-02 18:55:52,生鲜
19076163003,1,包装居然就是气垫袋加薄膜袋,2023-05-02 18:11:38,生鲜
19075667547,1,打开的时候发现桶破了，整桶奶坏了,2023-05-02 15:17:33,生鲜
19056458427,1,此用户未填写评价内容,2023-04-25 22:30:42,生鲜
19056156498,1,大桶的跟小桶的质量不太一样。大桶的卖相跟形状太拉跨了,2023-04-25 20:46:06,生鲜
19054629522,1,第一次买的一公斤的，吃起来口感非常厚重厚实，第二次买了两公斤的，收货后放冰箱里冷藏一天，吃起来还是特别稀，太让人失望了，绝对不会再回购了,2023-04-25 12:13:00,生鲜
19053975309,1,早上下单，晚上送的。京东物流还是很赞的。但是生产日期已经过了大半，是怎么回事儿？像我这种喜欢自助购，我不喜欢麻烦客服的，一次性买了四罐，这是吃到哭啊。临期食品最好在标题标注一下。,2023-04-25 08:41:45,生鲜
19026157869,1,此用户未填写评价内容,2023-04-16 09:37:43,生鲜
19025695959,1,拉丝，还分层&hellip;扔了,2023-04-15 23:40:07,生鲜
19024784470,1,马上过期了,2023-04-15 17:46:43,生鲜
19024080632,1,现在生鲜连个箱子都没有了吗？,2023-04-15 13:32:35,生鲜
19023281014,1,刚买完就降价,2023-04-15 08:40:21,生鲜
