id,score,content,creationTime,class
19031336967,1,买过很多次了！性价比高！比较粘稠！也不是很甜！比超市那些酸奶要好！桶的话保险也比较好！不错啦！价位也便宜！以后喝完了再买,2023-04-17 22:13:43,生鲜
19067773674,1,新彊天润的酸奶一直在喝，日期新鲜，这酸奶口感偏酸，但是无添加，配料表很干净，酸奶的选择很多，总的来讲就是喜欢它的无添加，附配料表图片，供大家参考！,2023-04-29 17:17:06,生鲜
19002760680,1,真的很好吃，买酸奶还送质量很好的桶饭盒，可以拿来收纳，当然酸奶的品质也非常高，绝绝子，以前不敢买是因为吃过一次同事的无糖酸奶，外观长得太像了包装，这个是有糖分的很好吃，可以拿来当早餐充饥，快递包装京东很用心，里面的冰袋用的是塑料包装的很舍得下本，京东真的yyds，很专业还有提货码，会继续回购的,2023-04-08 19:43:48,生鲜
19030894619,1,回来手快就把上面的成分表什么的都撕掉了，盒子现在改进过了，变成往下打开的搭扣了的，没有买到十几块钱一盒的，二十几块钱也可以的，天润的酸奶还是做的一流的，同价位能跟他掰手腕的几乎没有。,2023-04-17 19:52:52,生鲜
19049296331,1,真好，是块状固体的，日期鲜，以后就买这家了,2023-04-23 16:47:07,生鲜
19097497782,1,长期回购的一款酸奶，不是特别甜，老人孩子吃的放心！,2023-05-09 23:05:52,生鲜
19091289126,1,"天润酸奶一一醇厚低糖的好酸奶！
全脂风味发酸乳，口感绵密丝滑，醇厚低糖，加工干果麦片极佳，可以替代沙酱拉，一口一口停不下。
京东物流配送，第一天下单，第二天到，点赞！",2023-05-07 21:12:43,生鲜
19078462728,1,买了多次了，之前都在本地商超买，这次京东买的外包装贴纸和以往不同，但是相信是正品。大桶的价格很划算，酸奶是凝固的豆腐状没有融化特别好，勺子舀起来特别解压，很喜欢这款酸奶，无限回购。（盒子装各种杂粮密封性很好，小桶的密封盖更紧密，但是没有大桶的盖好开）,2023-05-03 15:18:25,生鲜
19039867545,1,"很满意的一次购物质量很好, 希望更多的朋友信赖京东. 
客服态度特好, 我会再次光顾的，发货迅速，态度很好，很满意！
很好很好！下次有机会再找你，客服人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心。",2023-04-20 20:14:28,生鲜
19061107420,1,酸奶口感很好，孩子很喜欢一直买这个品牌，物流很快，很满意信赖京东自营的东西！,2023-04-27 15:56:56,生鲜
19096761897,1,非常好的酸奶，这个链接和视频拍的太好了，推荐的真不错，非常好的酸奶,2023-05-09 18:48:13,生鲜
19085359656,1,挺好的，一款酸奶已经买了好多回了，然后趁着活动的时候买下来性价比还是非常高的，然后他的口感也挺不错的，这个酸奶喝完之后盒子还可以重复使用,2023-05-05 20:16:42,生鲜
19042516072,1,买过好几次了是挺好吃的，但是质量的问题就不太清楚了，也不知道是质量好那么浓呢，还是什么不是搞这个的不太懂，但是我是隔一段时间就馋他，隔几天就要买一次送货，很快发货也很快，谢谢店家，谢谢店家，谢谢店家，谢谢店家，谢谢店家，希望以后生意兴隆，谢谢快递小哥,2023-04-21 18:42:24,生鲜
19031694905,1,"第一次买他家酸奶..实惠口感很好..孩子很爱吃..两公斤的量几天就吃的差不多了.已经再次下单了&hellip;还有配料表比较干净.
推荐..",2023-04-18 06:18:32,生鲜
19061809765,1,佳丽益的这款固体酸奶我已经是无限回购了。口感是没的说的，酸甜口的，我们家都很爱吃。容量也大，盒子洗干净了还可以储物，两全其美。,2023-04-27 19:58:07,生鲜
19079012609,1,无敌好吃，真的超爱天润酸奶，不喜欢的点就是买一桶需要两张运费券，这样就有点心疼啦。早上11点下单，晚上就到了，拿到手还是冰的，非常不错。,2023-05-03 18:17:06,生鲜
19095232138,1,一着购买天润浓缩风味发酵乳原味几年了，口味独特。,2023-05-09 10:20:59,生鲜
19033795477,1,质量不错，下班继续加油,2023-04-18 19:34:00,生鲜
19069381207,1,第二次买天润酸奶。快递很给力酸奶很快收到了，给京东快递五星好评，买的是天润TERUN新疆特产低温生鲜酸奶家庭分享桶装佳丽益家方桶2KGx1桶。快递是冷链送货到手是还是很粘稠，立马放置冰箱冷藏。酸奶是乳白色豆腐脑状态!一勺勺起感觉到特别浓稠。酸酸甜甜凉凉的奶香味道，目前天气热时吃起来感觉倍儿爽。奶香味比较浓郁悠长!食后留香满嘴奶味儿!,2023-04-29 23:21:54,生鲜
19092017306,1,天潤酸奶已經多次回購，做燕麥杯或是搭配早餐都很棒，快手簡單。酸奶吃完的酸奶桶清晰乾淨還能做食品收納，看看家裡的空桶就知道我們有多愛天潤酸奶。還往公婆家送了不少桶給他們做收納桶使用。,2023-05-08 08:52:28,生鲜
19098397069,1,可可爱爱正品，买的放心，价钱也公道，满意！酸奶也很不错?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算很满意?，做工很好，物流快，客服很棒，点赞宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??从没想过这么实惠的价格能买到这么好的宝贝，下次还来你家,2023-05-10 11:10:16,生鲜
19029658123,1,"以前就听说这款酸奶，突然看见京东有百亿补贴活动就买了一盒试试，日期挺新鲜的，包装也很好，两个冰袋加泡沫箱，酸奶很厚，酸甜度刚刚好，盒子也很ice,整体很棒很实惠好吃",2023-04-17 12:46:32,生鲜
19089569965,1,天润酸奶神一般的存在，天花板级别的存在。口感一流，实体店一般买不到，都是在网上买的，两大桶很实在，可以喝半个月了。京东物流效率很高，隔日达辛苦小哥了。,2023-05-07 11:34:08,生鲜
19071967672,1,买这个酸奶真的不能用喝来形容而是要用勺子瓦着吃才过瘾，五一放假了哪儿都没去，抱着个酸奶坐在沙发上一勺一勺挖着吃刷着剧真的yyds，加燕麦加玉米圈加坚果各种吃法，早上的面包夹上酸奶真的绝绝子，早餐必备，刷剧必备，吃完盒子还能收纳用，完美,2023-05-01 01:20:16,生鲜
19044016005,1,一直被推荐这个酸奶，趁下雨天气冷赶紧买一桶尝尝。到手是豆腐块样的，尝了尝，然后就一口气炫了大半桶?等天冷再买几桶,2023-04-22 10:58:10,生鲜
