评论,fenci,情感分类,主题概率,主题类型
刚买的这款电脑，在自提点打开的，就发现键盘已经坏了，有个按键都快掉了，自提点不管，让去联系退换货部门，退换货部门说键盘坏了不管退换，让去惠普自己更换新键盘。,这款 电脑 自提点 打开 发现 键盘 有个 按键 提点 退换货 部门 退换货 部门 键盘 退换 惠普 更换 键盘,pos,"[(8, 0.9511018)]",8
是系统 相当及其恶心 不知道这狗 日 的是什么想法 要强行逼我们使用啊 买了两台电脑 一个事系统  一个 是   就没见一个的  网上销售这东西 最重要的是打架尽量不要涉及到售后服务这块 尽量是都搞好了相安无事 其实网上的售后服务比没有售后服务还差劲 我的 400就是因为换货期间以为是键盘小问题就懒得换了,系统 恶心 想法 强行 两台 电脑 系统 没见 网上 销售 东西 打架 涉及 售后服务 这块 搞好 相安无事 网上 售后服务 售后服务 差劲 换货 期间 键盘 懒得,pos,"[(10, 0.93257356), (13, 0.03443052)]",10
整体上感觉还行吧，性价比较高，毕竟这个价位买到这样的机器还可以了。刚刚买，正在熟悉中,整体 感觉 还行 性价比 价位 机器 刚刚 熟悉,pos,"[(8, 0.8967972)]",8
性能配置完全满足自己需要，的显示器比较省电，增强了待机时间。,性能 配置 显示器 增强 待机时间,pos,"[(0, 0.011912105), (1, 0.011912125), (2, 0.011912082), (3, 0.8451427), (4, 0.011912111), (5, 0.01191209), (6, 0.011912075), (7, 0.011912105), (8, 0.011912133), (9, 0.011912078), (10, 0.011912122), (11, 0.011912107), (12, 0.011912078), (13, 0.011912074)]",3
性能不错，屏幕不错，比原来公司的 610要轻，所以有人说400比较重我就不觉得了，办公与普通娱乐够用了。,性能 不错 屏幕 不错 公司 有人 办公 娱乐 够用,pos,"[(3, 0.9071278)]",3
今天凌晨2点下的订单，下午3点就收到了 真是速度啊 本来想先验验货载载刷卡 呵呵 送货员不让 但是可以理解 回家打开一看 都说分区表态 现在果然是见识了 给客服打了2个电话 咨询了一下备份和安装驱动的问题 客户很好 把邮件发到我邮箱里了 还有各种的驱动信息和注意事项 不错不错,凌晨 订单 下午 收到 速度 本来 先验 验货 载载 刷卡 送货员 不让 理解 回家 打开 分区 表态 见识 客服 电话 咨询 备份 安装 驱动 客户 邮件 发到 邮箱 驱动 信息 注意事项 不错 不错,pos,"[(5, 0.7876746), (10, 0.14424962), (12, 0.044946272)]",5
一贯的散热优秀性能。还没有用多久，公司前面已经买了两台，觉得一是散热，二是一键恢复，三是皮实耐用稳定，这几条促使我又买了这一台。,一贯 散热 优秀 性能 多久 公司 两台 散热 一键 恢复 皮实 耐用 稳定 几条 促使 一台,pos,"[(1, 0.20672092), (3, 0.7428004)]",3
5699入手的。买回来马上装了系统。官方网站上都有驱动下载。不错，服务很好。,入手 买回来 系统 官方网站 驱动 下载 不错 服务,pos,"[(10, 0.44838655), (12, 0.45634192)]",12
设计漂亮，质量很好，配置很牛，电池显示设计很正点，不像别的厂家到15%就自动关机了。,设计 漂亮 质量 配置 电池 显示 设计 正点 厂家 自动关机,pos,"[(13, 0.9155445)]",13
外观做得挺好，250的硬盘够用，速度还行，原配的操作系统很难上手，还是改成方便一些，在安装的时候发现口供电比较差，如果是大功率的设备还是外接电源比较稳定。,外观 硬盘 够用 速度 原配 操作系统 很难 上手 改成 安装 发现 供电 大功率 设备 接电源 比较稳定,pos,"[(6, 0.81233287), (11, 0.13719387)]",6
1、字体并没有那么小，10寸只是页面上显示的东西少了，字体没变小,字体 页面 显示 东西 字体 变小,pos,"[(0, 0.010216134), (1, 0.010216139), (2, 0.010216167), (3, 0.010216164), (4, 0.010216234), (5, 0.010216135), (6, 0.867189), (7, 0.010216453), (8, 0.010216345), (9, 0.010216209), (10, 0.010216294), (11, 0.010216134), (12, 0.010216248), (13, 0.010216334)]",6
"定位是网本, 系统是绝对够用了. 特别是的这个发布版本, 简直就是为这种只用来上网冲浪量身订造的. 界面设计, 还有功能键都十分方便贴心.",定位 网本 系统 够用 特别 发布 版本 上网冲浪 量身 订造 界面设计 功能键 贴心,pos,"[(2, 0.9336206)]",2
的牌子，值这个价格。这款本本在国内的出货比美国慢，造型紧凑，适合女生使用。,牌子 价格 本本 国内 出货 美国 造型 紧凑 适合 女生,pos,"[(11, 0.9155334)]",11
做工好，中部滚轴的呼吸灯和悬浮式键盘是亮点。45的性价比在本本中没的说。,做工 中部 滚轴 呼吸 悬浮式 键盘 亮点 性价比 本本 的说,pos,"[(8, 0.21705876), (13, 0.70492315)]",13
小巧啊！做工真的很，键盘也不错，敲击的感觉也挺好，我喜欢，明天找同学去重装系统，争取双系统，嘿嘿：）,小巧 做工 真的 键盘 不错 敲击 感觉 喜欢 明天 同学 重装系统 双系统,pos,"[(8, 0.92852736)]",8
优秀的外观，轻薄的分量，完美的性能。,优秀 外观 轻薄 分量 完美 性能,pos,"[(0, 0.010207923), (1, 0.010207916), (2, 0.010207889), (3, 0.010207902), (4, 0.010207941), (5, 0.010207894), (6, 0.010207891), (7, 0.010207897), (8, 0.01020792), (9, 0.010207898), (10, 0.010207904), (11, 0.5282862), (12, 0.3492189), (13, 0.010207907)]",11
做工相当好，手感出众。用外置光驱装相当方便，买一键就行了。,做工 手感 出众 外置 光驱 一键 就行了,pos,"[(1, 0.8838816)]",1
很漂亮哦，黑黑样子，我喜欢,很漂亮 黑黑 样子 喜欢,pos,"[(0, 0.014292475), (1, 0.8141972), (2, 0.014292484), (3, 0.014292481), (4, 0.014292545), (5, 0.014292509), (6, 0.014292469), (7, 0.014292539), (8, 0.01429278), (9, 0.014292465), (10, 0.014292455), (11, 0.014292505), (12, 0.014292601), (13, 0.014292485)]",1
这款本本是2140的体形，披的是1000系列的黑色的外衣。就配置和国内行货的价格而言，这款本本达到我的理想价位。有3个接口，一个视频转接，一个多功能读卡槽，一个有线网络插孔，麦克风和耳机共用一个插孔。,本本 体形 系列 黑色 外衣 配置 国内 行货 价格 本本 理想 价位 接口 视频 转接 多功能 读卡 有线 网络 插孔 麦克风 耳机 共用 插孔,pos,"[(3, 0.8705132), (12, 0.095157266)]",3
外观漂亮，性能还不错，首次下单时4555，晚上再看时候返还100，马上重新下单，不错,外观 漂亮 性能 不错 首次 下单 晚上 返还 下单 不错,pos,"[(8, 0.59917146), (12, 0.32286143)]",8
笔记本不错，京东不够厚道，钻石抢的和现在促销价没差几分，这不是忽悠我们钻石一族吗？？？,笔记本 不错 京东 厚道 钻石 促销价 没差 几分 忽悠 钻石 一族,pos,"[(4, 0.9224317)]",4
原装正货，提货时，封贴什么都还没开的。因为第一次在京东购物，上门提货，看到货后，总算不担心品质问题。绝对是正品行货。,原装 正货 提货 封贴 都还没 第一次 京东 购物 上门 提货 货后 总算 担心 品质 正品 行货,pos,"[(12, 0.9453261)]",12
完美屏，第一次买，手神还不错嘛,完美 第一次 手神 不错,pos,"[(0, 0.014293635), (1, 0.014293621), (2, 0.5084816), (3, 0.014293665), (4, 0.01429372), (5, 0.014293658), (6, 0.014293669), (7, 0.014293593), (8, 0.0142936185), (9, 0.014293611), (10, 0.014293628), (11, 0.014293594), (12, 0.3199947), (13, 0.0142936725)]",2
