评论用户id,评论内容,分词,分词-英文
MS4wLjABAAAArEmwdV7rMDwF_6ewi8OPw87R_Q8aTTmdqobqd8ScxBw,夏季男士飞织百搭休闲鞋运动透气厚底舒适潮鞋跑步都可以,男士 飞织 透气 厚底 舒适 潮鞋 跑步,Men's flying weaving breathable thick bottom comfortable tide shoes running
MS4wLjABAAAAA0DQID_xg-_NI7Cgjr2v4yoS03q5boBiK9D3Yjv2s4U,视频同款在左下角小黄车！！！更多精选好物点击主页橱窗,视频 同款 黄车 主页 橱窗,Video same yellow car homepage window
MS4wLjABAAAAE6B-R9IxNRLwQ-HYUWuvhLj3Dt5eVx5ABVDWCpMnKdFoAG66EWrwtgXwzyIa319P,便宜货，收到货没广告的好！不信就买，那样的价位公道,便宜货 广告 价位 公道,Cheap goods advertising price fairness
MS4wLjABAAAAvJgE6a2l9xvM4CnHxz56NtBxQfWrO3QStWzPvsh9-iA,鞋底不赖穿,鞋底,Sole
MS4wLjABAAAAqhkiIYNkKeYFqhVOocADcCgjNF51-Vaqbzr5ZUxrNtegcuAad7or4VoRjQeOUz9l,我买了，质量太差,质量,quality
MS4wLjABAAAAKT0FkC3HgQhQ5sHnjc-Twy9v5boeurTDHCMlb67h3Fkn34E2lXvFcz6G22uhOLBr,我买了，穿上很舒服，就是有味，不知道对脚会不会有伤害,舒服 脚会 伤害,Comfortable feet will hurt
MS4wLjABAAAA5ANtWY3LOaogAZxDuBeExMoCy-vyZg1s5qzeJjwos2oguw4mtsVvJ1U1d7UH1ky3,传谣会判刑的,传谣,Rumor
MS4wLjABAAAAyaIVMo5IGccCFY0pFYyVHfMnG9z9xv8MdvS-J84huZo,不信，我老妈那应该有一两百张,老妈,Mother
MS4wLjABAAAAE9VRh7K6I-Qi9n-sOtpC62jFYogy9IAQZ_18dreDQh8,这泼天的富贵我想让给你，半价出售，望你是抬举,富贵 半价,Rich half -price
MS4wLjABAAAA8OJF54_axfeKfKDteOoYcMi2uwL5ZGuGWzecCFwYm1kW7eDG8zliGWhFcCDUsfV9,这种玩意我有好几斤,玩意,Gesture
MS4wLjABAAAAD8aCvtiG3mdOpagJtDAs-ZgZmTtPVkrfk6TyYOzCTuI,你收吗？我半价买给你,半价,Half price
MS4wLjABAAAAhqkCkoomnjJ76J6VW-zWtVxloRNEfR0pn0VVNt46v4E,那你现在是否已经是亿万富翁了,亿万富翁,Billionaire
MS4wLjABAAAAwgc9jRk8Xj4rEQW8Gbg7vEP3N9G69rSygi5fHF8dMktN2NiyJ_vfK-99n4TZZ3rm,关键是你收吗？ 你报的价格 我可以拿一半费用给你  ,关键 价格 费用,Key price cost
MS4wLjABAAAAZCtnJ6dBL4JBWTCfUq-ThnzwAXdtebqkDYKAWsurBBY,收到货了 确实回力正品 和我店里买的一样,确实 回力 正品 店里,"Indeed, back to the genuine shop"
MS4wLjABAAAAU5aDtNWybJdJfoAjB2bu3LvTXpPVOLhP49ebM-JeRqan0_vsojmI-G2nj0bvSr_0,温州你就别说出来,温州,Wenzhou
MS4wLjABAAAA-KhdXzd7-aRoRFSXi9eeR1tgZSzWdu9n7ygfik5eLMM,价格合适,价格 合适,fair price
MS4wLjABAAAAhdJBdCrmYX2JgxinHFH3iQUckrITsbpyBmUkcWabKTQW2sfQUQiCEGn_qn8T6O5t,已经下单了，希望不会失望吧,下单,Order
MS4wLjABAAAAs7yIOoCqlxnpjPVJFcLAhWoLH1ypCvHwHulzFgfqosg,就是不太牢固，，我跑了两早上，，低面黄色磨掉一大半,牢固 低面 黄色,Finding low -faced yellow
MS4wLjABAAAANn4U2RPjJ6KYNx_yNEc4yKurGSdyUEU2qZW-HiP88Ms,在好也没用  没鞋码41缺货,缺货,out of stock
MS4wLjABAAAAf_hhxu2luDeFEqpWsOc37uRASd7rFwDIJWwdhtEHv3s,发货太慢,发货 太慢,Delivery is too slow
MS4wLjABAAAAMoJ9sVWQGROul4egQFNCb1PdyM_4DbZbw63hf_WDjMg,垃圾,垃圾,Rubbish
MS4wLjABAAAAiZDonLfwbgzp-ZAKt23eEnk0rmMxizQev5LmNhstR0M,老乡大哥，咱不先说鞋了，能给我们科普一下.战神3吗？为什么官方旗舰店卖3299，而好多直播间却只卖2599呢？如果2599是假的，官方能容忍他们这样搞吗？都说是全新国行，都说全国联保，能有这么大的差距吗求大神科普,老乡 大哥 战神 官方 直播间 官方 容忍 全国 差距 大神,The official live broadcast room of the elder brother War God tolerates the gap in the country
MS4wLjABAAAAJ9IFa5bjYwuhSA-7g4UTxWR1vs5uk0bSanu0GEmJAGHO6JYRU9OO5od--uhFWrgY,这双鞋太差了，你在桌上摔这两下我就听出来了，低音轰头，高音刺耳，鞋底打在脸上还特别疼！对吧大哥,双鞋 低音 轰头 高音 刺耳 鞋底 大哥,Double -shoe bull head and treble tight ear piercing sole big brother
MS4wLjABAAAAbayFN4mAEvCjAfZhdbs_MtyfDcrWqWG1dNT0IbXv3yU,给大家科普下 1-  50元以下的基本是射出底    臭 不防滑      99-79元这个价格段       基本是发泡底   在有水的地板上很滑      买鞋子最好买复合鞋底的   就是中底是发泡的   鞋底接触地面的是橡胶的       这种基本上129元以上     品牌鞋不在以上范围,价格 地板 鞋子 鞋底 鞋底 地面 橡胶 品牌鞋,Price floor shoes soles of the soles of the soles of the ground rubber brand shoes
MS4wLjABAAAAnMMucyNR9rDiB9g-aWdHdC3qIWQ2Duq5gA3Qqnri4mY,给长辈买亚瑟士感觉不错,长辈 感觉 不错,The elders feel good
MS4wLjABAAAASqWjYo94K-o8qhXo5xvfFlS5RJqG1pbfUKZJFBmsEwA,这品牌真的比较立及，李宁安踏鸿星尔克等等都比这好得多,品牌 李宁 鸿星,Brand Li Ninghong
MS4wLjABAAAAX8RoPcqxSTdxgQKPCyIdXe4Gf3OMdh98P10PKyOIoVn7-iVuU4wL9pK-Dpigx8YN,我从来不买在名人，大网红哪里消费、我支持民间艺人、草根,名人 大网 民间艺人 草根,Celebrit
MS4wLjABAAAAiqMyQRwyIsafC1keD0gp0Wm_C_NWPeD3JTEjU4QCjCw,我对谁直播带货无感，只相信自己的眼光,无感 眼光,Indifferent vision
MS4wLjABAAAAXC_QCp8gYkuJfdeEMY2UJkApFicEJJYlkyrGCrNvDPo,非常赞同 他们家鞋我今年二月份买了一个 两个问题，底子和鞋垫非常滑 牛皮材质走路几天之后印记明显 推荐换的鞋子,二月份 底子 鞋垫 牛皮 材质 走路 印记 鞋子,"In February, the base insole, leather material walking marks, shoes"
MS4wLjABAAAASGusKlq7sIBgJ8ma041aGO1wWezWxprH6MwJCXzUc1E,同款，罗永浩那边买的,同款 罗永浩,The same model Luo Yonghao
MS4wLjABAAAAVF2fobHtbTSE4Hy4xLgKj2d4rOal87sNQb2sFuVrZt8,买鞋子还是要买正经八百做鞋的牌子，例如爱步的鞋子，乐图的播放器，华为的手机，张小泉指甲剪，福莱希的狗狗牵引绳，五常的大米,鞋子 正经八百 牌子 爱步 鞋子 乐图 播放器 华为 手机 张小泉 指甲剪 狗狗 牵引绳,"Shoes serious 800 brands, love steps, shoes Lotu player Huawei mobile phone Zhang Xiaoquan nail cutting dog traction rope"
MS4wLjABAAAAvj0UOtoyPYWMIScolWhzRO3j7MV3BPt8TaGuRXQ8qH4,相当于买回力,回力,Return force
MS4wLjABAAAAOHyg-kdKWZY1rS_zZhvXC5SrWYpnh-s2aiiy-WNWhNY,的鞋？    这跟买了一个南极人的耳机有啥区别,南极 耳机 区别,Antarctic headset difference
MS4wLjABAAAAoKs-T_rfg-CXNn8aISESsWa-sOYi38cQvj3mMXVIJGPFYep8gcWese6R4sJgB05C,自己买鞋多注意鞋底材质，还有这种贴牌的东西，没什么买的理由啊,买鞋 鞋底 材质 东西 理由,Reasons for buying shoes soles and materials
MS4wLjABAAAAloQNY2mkh3igG6h7iCvLmKge2F1iIukDnigVbePU8lU,罗勇浩是谁,罗勇浩,Luo Yonghao
MS4wLjABAAAAlvKWq8D07PCo0UOqNG7SMh_M7MrG-tE9YOy-gU9Y3oVzy7DwIm3luIHm6tYS1DOw,讨，陈皮也难喝,陈皮,Chenpi
MS4wLjABAAAAhWDjxpWz-Wr0MqeXQufoIojzQO-ArGEqY7gRTc4Rjg3WwMtsACpXWLituLdzsIKr,售后你来做吗？,售后,After -sales
MS4wLjABAAAAs0thL4Pu6aoFsdPxd5JxPumtXG47BQQI7P96SXGtnwmpG-R3hzaTiTTlq24vi7lq,估计是鞋底硬不抓地，用的材料不适应南方。不过也不是运动鞋啊。主播可能不太穿运动鞋，我觉得索康尼可以呢,鞋底 材料 运动鞋 运动鞋 索康尼,Shoe soles material sports shoes sports shoes Sooni
MS4wLjABAAAAbkLdbKYjyJrAintQQar-zh2xtXZZi-hgGZOmi2W2_oQ,的衣服质量很好,衣服 质量,Quality
MS4wLjABAAAA2vl693oVoxulhJ_UtNK1QEeABOyXge1wgAUoU_rIkfk,我在他直播间买了双必迈，穿了没几次脱胶,直播间 脱胶,Live room dehydration
MS4wLjABAAAAu3iFrva-GBFueBMfdS8Wussu_Ri5zfSnKAnjDGzk8DY,老董 你也是  你一直穿解放鞋不就完了，非要走潮流路线，90多岁了 不能摔啊！！！！,解放鞋 潮流 路线,Liberation shoes trend route
MS4wLjABAAAAr7uIe4GMaSYyO8q-Bz1x57FHO6v3p_JIOVYjBRU535yZVUta-rIdr0RsSIti5LZU,多在耐克专卖店去买。,耐克 专卖店,Nike Store
MS4wLjABAAAAZyVpXNZXSTc79xY96Mioe7ucBQvVH06oyrW-0mCnYqE,便宜没好货,便宜,Cheap
MS4wLjABAAAAr7uIe4GMaSYyO8q-Bz1x57FHO6v3p_JIOVYjBRU535yZVUta-rIdr0RsSIti5LZU,全是假货,假货,Fake
MS4wLjABAAAAqB96OO_YZUND5BRk509-yqJlNmteH6tsOPpAFwm4QIEctIrx3dNl--XLNdYPKljP,买你家鞋子？,鞋子,shoe
MS4wLjABAAAAVipBQ7wczZCkg_M751a3BbLI1a0P8FpltplEVssIYu3TUFq5BaFqci6Nc_gtoor_,小白鞋找那里,白鞋,White shoes
MS4wLjABAAAAFLuHSoUahMGGhhestbw7hH5IXQvF3Yu3LjsaFCxD9CK1MbTIbolvkgAbeEwlS0Gq,还有广东佛山,广东 佛山,"Foshan, Guangdong"
MS4wLjABAAAArNVm0V8CJn9TQ8W5BRPjQYuq7gNMxbetnIXYuGfCYrI,棉被车衣怎么搜,棉被 车衣,Quilt car
MS4wLjABAAAAThBOitV7LAkXJLP8V-JUvZBlbCyqp_tKf5rIQvDhjj4,去哪里买鞋子前面带钢板那种啊。,鞋子 钢板,Shoe steel plate
MS4wLjABAAAAm0BcGfPLz5dTF4YDeWHucmXTIuznfGyVEKOiRSCsXwU,买布鞋怎么搜,布鞋,cloth shoes
MS4wLjABAAAAX8G9ZcKJ40bLUq5cQ8qXqWKHtzIvNAVSkS1Y-RSPJYpqhkffOgPxrqwysC0CN-Jh,为嘛不能保存视频,视频,video
MS4wLjABAAAAzZVTFqovDVJyTfyAdl1ArYinvvsdC5WPFxwuhTdQ0n0,背包，包包那里的好,背包,Backpack
MS4wLjABAAAAdVGl_GkzAvklMBoPj90tt-LP2-reVghdzmgAFvp9NqU0bEdso2NOL4sXwKp4Bt7m,凉鞋呢,凉鞋,sandals
MS4wLjABAAAAYx5WFJcbXa75PIUpt58ZqaTGqwvSrWptT9fecOKK0s4,外行装内行,行装 内行,Internal and inside
MS4wLjABAAAAQXk9e_r2LWlhxQAbHXfK2e7DFxMrEyTZT1W9KNCe00Vw56ekgsfwGZA4w2i7q6jY,反正千万不要在寺库买、收钱不发货,寺库 发货,Temu Shipping
MS4wLjABAAAAI34i-dH16_byexCGjBCgQfYtpi6G5SnqzHfzn1HcsI0TrDd3LdHd5gQZzwJozvjF,小飞棍来喽,小飞,Small flying
MS4wLjABAAAAfNiKIqyHqPGnDY6uZIbEyLDKN_XLwofQjND2WgvVIBRF5sZxe50wUc7T3WIlSQa8,买勃肯鞋可以看我主页,买勃肯 主页,Buy Berken Homepage
MS4wLjABAAAAwap3GQu7R3a4BJRtbkMtxYwYA5y0jGj7LCjmeStWG28,如果不合适可以退吗？有运费险吗,合适,suitable
MS4wLjABAAAAbP8Dy134Qs9FXqbkOC1oThFGlwF5Q4f9yCINgipooVQ,统一回复家人们，感谢家人们的厚爱，感谢兄弟姐妹们的支持和鼓励，感谢默默点赞给作品完播浏览收藏与转发的每一位家人们，祝每一位家人们在抖音路上一路长虹，感谢辛勤付出的您，我会铭记于心的，谢谢啦,厚爱 兄弟姐妹 作品 长虹 辛勤 我会 铭记 谢谢,"I love brother and sister's work Changhong, I will remember it. Thank you"
MS4wLjABAAAAbP8Dy134Qs9FXqbkOC1oThFGlwF5Q4f9yCINgipooVQ,宝宝们的世界，烟花怒放，茁壮成长，健康快乐，幸福的生活，,宝宝 世界 烟花 健康 快乐 幸福,Baby World Fireworks Healthy Happy and Happiness
MS4wLjABAAAAErorJPFQIjF3VxatNPxamZCuRP6vMR7vqs2pV20fhww,快去，好东西太多了，啥都有，便宜的很，都是正品,东西 便宜 正品,East and elite genuine
MS4wLjABAAAAvzl6BK3ab_Wfi6EsewvrXWai6eEpjMdxlbaaL3OfvPU,有酒水吗,酒水,Alcohol
MS4wLjABAAAA8g5grpE9AIrvwl1_GUeKOkF1ubjmOWxTTB9Dp6CsmoQ,有儿童自行车吗,儿童 自行车,Children's bicycle
MS4wLjABAAAAjPff6D-JDPviv8bayQzRD7opgLj6c8dPTTKAtP7FJNU,全是垃圾一点不便宜,垃圾 便宜,Cheap garbage
MS4wLjABAAAAAVpl91UpGlziS48jeakD1xPsMrmT_zFvQjyDY3VfgYMExLIFDa_-rxSFy0PNpAd3,关键是在哪里搜,关键,The essential
MS4wLjABAAAA6GF1dnUOdfE7HL2mkqNLVYYVy5vBxDZlB9K4LbLQ7Xw,蒲田的鞋千万不能买  次货,蒲田 次货,Putian Times
MS4wLjABAAAA5PPr7p0eO4YLZEboHm6BhLC5l-Jvy9o4x4F3ZkfoTbg,关键是假货太多了,关键 假货,Critical fake
MS4wLjABAAAAzUBhiasj2ydOCYCG0qTNvg-TmG3m21DIuR7my5LoV1A,买什么鞋，还是到实体店，网上不管便宜还是贵，不敢买,实体店 便宜,Body store is cheap
MS4wLjABAAAAszf0WEJDC_emHa2IsehDtK-xKXcjmLZaGBKMlRA7d44,我在网上买的鞋子说里边是小羊毛，买来一看里边是人造毛太坑了,鞋子 羊毛 人造毛 太坑,Shoes wool artificial hair too pit
MS4wLjABAAAAK8DJuA_Wr4Mvvd1Tg39rj5L0gGYUQJ7L1Tq7R4tepIU,买的回力板鞋，88，假的退了。,回力 板鞋,Backpower sneakers
MS4wLjABAAAARh9C0nzdfU7iOC38WwPV2IXdNeIdkVPqbBwON9oAqo0,运动鞋在晋江，真皮时装鞋在永嘉,运动鞋 晋江 真皮 时装鞋 永嘉,Sports shoes Jinjiang leather fashion shoes Yongjia
MS4wLjABAAAAErss-b2OgsNcZFG2ddmFF9dzt26joaIBKFOBADHcIC4jAGObAeZ63a35HwfcmErj,与谁长的特象,特象,Essence
MS4wLjABAAAAX2Qnfe3wdp7uu6KCnewuPejBYzIP4OjBGyPV5CdoClM,首先看款式，然后看材质(比如鞋底，鞋面，鞋垫等)，属于真皮的或者是超纤皮的可以考虑，看不到这些的，绝对不能入手，之后价位也不能不考虑哦。,款式 材质 鞋底 鞋面 鞋垫 真皮 纤皮 价位,"Style material shoe soles, upper, insoles, leather skin prices"
MS4wLjABAAAAN-W39eFVhiTnEt465XpZbDurmlMc02y1AyTLo5C_Uu8URnBrRcN-WDEGdAndklaQ,我从网上买几对女装高跟鞋都很好！,女装 高跟鞋,Women's high heels
MS4wLjABAAAAWzmp9ZNAKDTfYk6YrqlO1nqpOK7BamkTQfdpNraP3LKRNmyn-QSdBgeGQmpYwyhy,看产地,产地,Place of origin
MS4wLjABAAAAnpJHXSyK6fjL-VPnZlu2NzlW4Ua7UjaeNUjNOftHnq0,网上买鞋都不好穿，一两百的都穿不得，上过几次当,买鞋,Buy shoes
