评论用户id,评论内容,分词,分词-英文
1268083194,愿意为革命出钱交党费的人才算党员。——列宁,党费 人才 党员 列宁,Party Feed Talent Party Member Lenin
1268116131,因为要赚钱。站着，把钱赚了，不寒颤。,寒颤,Tremor
417010526,你好，北京顶象技术公司在成都有分部吗？,北京 顶象 技术 公司 成都 分部,Beijing Dingxiang Technology Company Chengdu Branch
729784932,合理规划,规划,planning
734127193,兄弟，你怎么回事？不清醒吗？斐纳看起来花了很多钱在知乎啊。斐纳就是靠硬广和软文欺骗消费者的。还号称是欧洲品牌？还是德国品牌？我就是被欺骗的，去年八月买了一个，没用多久就坏了，然后寄到河南新乡市修理。寄回来没多久又坏了，现在都还不能用。希望大家擦亮眼睛，不要再上当受骗了。,兄弟 清醒 斐纳 斐纳 软文 消费者 欧洲 品牌 德国 品牌 河南 新乡市,Brother Sober Funfenfena Soft Text Consumer European Brand German Brand Henan Xinxiang City
452021770,  金属工艺带来的科技感与时尚感灰色与黑色的搭配，汽车内饰的点睛之笔随用随拿，无线绳设计无惧空间的限制精致小巧，车内任意位置都可以摆放,金属工艺 科技 时尚 灰色 黑色 汽车 内饰 线绳 空间 精致 小巧,Metal technology technology Fashion gray black car interior line rope space is exquisite and small
561279724,太值得我学习了，真是榜样啊，希望两年后我们七喜可以达到一定阅读水平,榜样 七喜 水平,Examples Seven Hi level
1042443609,自考需要很大的勇气啊,很大 勇气,Great courage
1040797880,保持良好心态,保持良好 心态,Maintain a good mentality
1040567896,很优秀的,优秀,excellent
1040552345,继续努力,努力,effort
415975893,所有古代外科手术有拿乌头当麻醉药的,外科手术 乌头 麻醉药,Surgery Wutou Anesthesia
2167336146,夏姨，管理经济学（英语班）值得读吗？还收到银行与金融专业，应该怎么选？,夏姨 经济学 英语班 银行 金融 专业,Aunt Xia Economics English Class Bank Finance Major
348397397,那个天赋扎心了,天赋,talent
9969208444,历年六级真题电子版在这里://...//5160,历年 真题 电子版,Electronic version of the real title over the years
366684565,看了你的这些，才知道为什么说民族主义是挑动民粹主义的最好方法,民族主义 民粹主义 方法,Nationalist populism method
812370318,看了您的轮回说融合唯物主义的想法，感到十分震惊！个人认为，不能为达目的不择手段，要不然容易落入极端主义的范畴。同样的，不能带着目的地去说谎，去讲一些谬误。这些都是道德准则。,唯物主义 目的 极端主义 范畴 目的地 谬误 道德 准则,"Meridity Poor Doctrine, destination fallacy and moral guidelines"
874110111,不是说传统文化不需要弘扬！但是你的说法和做法值得思考！靠辩论彰显传统文化的优势，这种说法就跟太极拳和散打同台对垒一样，赢了狂呼，输了赖账，估计这才是大部分所谓传统文化人的做法吧！“天下为公”的说法提了两千年，但是大部分时间还是一家之天下吧！还是先反思传统文化可以传承并可以延续下去的真正核心，再去谈其他吧！,传统 文化 弘扬 辩论 传统 文化 优势 太极拳 同台 对垒 传统 文化 时间 传统 文化 核心,Traditional Culture Promoting Debate Traditional Culture Advantages Taijiquan Same and Ferry Traditional Culture Time Traditional Core Core
1035137424,先生：文化有无阶级性？中华文化是中性的吗？是放之四海放之上下皆准皆好的吗？,文化 阶级性 中华文化 中性 四海,Cultural class Chinese culture neutral four seas
796680088,“在中国文化战略的实践性上如何创新思维？最重要的工作就是：要为道德找到科学性、逻辑性的依据。要树立道德的“科学发展观”根基，若道德的根基不牢固，道德见到利益就会屈服。唯一的办法就是深化中国传统宗教里有助于道德建立和社会安定的教义、学理，辩证的佛学理论不能被肤浅的科学借口绑架，不能让道德找不到牢固的地基，而唱高调、流于口号。西方的宗教文化大胆提出死后有上帝的审判，西方人民心存敬畏，多数科学家也支持认可。因此中国的文化决不能放弃因果报应和六道轮回的理念，否则只是鼓吹高尚的道德人品很难覆盖多数群众的思想言行，毕竟心存侥幸、容易冲动的人还是占人口基数中的大半。中华文化的“轮回观”可以建立成《唯物论》的升级版，就像“物质”的概念早已从“原子”扩大到“能量”，同样的“物质”的概念也可以扩充到“软件”、“四度空间”、“五度空间”等等，最终《执起唯物主义》作为《辩证唯物主义》的升级版指导人类。中国传统文化的“因果报应”可以到《模糊控制》、《概率论》、《平行宇宙》等尖端的科学理论里去找根据，这些中华文化的创新都需要打开思想束缚，不能用“唯心主义”自我设限、故步自封。传统的佛学理念“众生平等”、“人人可以成佛”更应该大力推广，因为在最高的层次里，大家是平等的，不仅利于共产党的领导，对社会的和谐、稳定也起到重要作用。”真知灼见,中国 文化 战略 实践性 思维 道德 科学性 逻辑性 道德 科学 根基 道德 根基 牢固 道德 利益 屈服 办法 中国 传统 宗教 道德 社会安定 教义 学理 佛学 理论 肤浅 科学 借口 道德 牢固 地基 唱高调 口号 宗教 文化 大胆 上帝 心存 敬畏 科学家 中国 文化 因果报应 理念 高尚 道德 人品 群众 思想 言行 人口基数 中华文化 唯物论 物质 概念 原子 能量 物质 概念 软件 四度空间 空间 唯物主义 辩证唯物主义 指导 人类 中国 传统 文化 因果报应 模糊控制 概率论 平行 宇宙 尖端 科学 理论 中华文化 思想束缚 唯心主义 设限 故步自封 传统 佛学 理念 众生 平等 大力推广 平等 共产党 领导 社会 和谐 稳定,"Chinese Cultural Strategy Practice Morality Scientific Logical Morality Roots Moral Genji Facilitarian Morality Interesting Method Sading Models Chinese Traditional Religious Moral Society Stability Doctrine Theory of Buddhism Theory Skills Science Studies Sitting Moral Singing high -profile high -profile slogan Religious Culture Bold God God Scientists Chinese Culture Chinese Culture Chinese CultureCause and effect concept of noble moral character, the masses of the masses, the population, the population base, the foundation of the Chinese culture materialism, the concept of the material concept of the energy material concept software, the four -degree space, the dialectical materialism of the materialism, the instruction of the traditional culture of human Chinese cultureCultural and ideological constraints Idealism to set up restrictions on the concept of traditional Buddhism."
1232606889,"要为道德找到科学性、逻辑性依据？试看""中华民族之瑰宝——论巜家规家训""://..//70286910",道德 科学性 逻辑性 中华民族 瑰宝 家规 家训,Moral science logic Chinese nation's treasure home rules and family training
849824459,八股文也好意思发,八股文,Eight essays
720468291,横看成岭侧成峰，远近高低各不同维度很高！,成峰 维度,Peak dimension
537214820,写得不错，我也对游戏开发和设计非常感兴趣。,不错 游戏 感兴趣,Good game interested
483061245,你好，我也想学习游戏开发,游戏,game
10747444220,你好，请问今年买青秀利海亚洲国际，25年读青秀三中稳不稳？,青秀利海 亚洲 国际 青秀 三中,Qingxiu Lihai Asia International Qingxiu No. 3 Middle School
609428833,想说祝福来着，突然想起开头说的没有结局。,祝福 结局,Blessing ending
1061700983,现在国产洗碗机的技术没有作者说的这么，进口有的功能国产也不部分有，进口售后分布少，服务跟不上，有一点小毛病都要花好多钱。国产售后好。,国产 洗碗机 技术 作者 功能 国产 售后 小毛病 国产 售后,Author of domestic dishwasher technology author function Domestic after -sales minor problems Domestic after -sales sales
800678165,洗碗机好贵啊，这种大家电还是买进口的好,洗碗机,dishwasher
10753551800,现在的国产家电正在价格战中不断的堕落，一分钱一分货，这是最基本的经济规律。你出去走走看看，现在国外的家电产品越来越丰富，我们与国外的差距在拉大。,国产 价格战 一分钱 一分货 经济 规律 家电产品 差距,"Domestic price war, one penny, one penny, the economic law of the economy law, the gap between the electrical product of the appliance product"
10618387993,同一型号的进口机的欧行和国行机型程序设计是不一样的，国行机器会通过增大洗涤和烘干功率来提升了清洁和干燥指数。买进口机可以，别海淘欧行机就行。,型号 国行 机型 程序设计 机器 功率 清洁 干燥 指数 别海 行机,Model Model Program Design Machine Power Clean Drying Index Beihai Drive
