景点名称,评星,评论文本,fenci,label,score
只有河南·戏剧幻城,5.0,跟家人一块去的，很是开心。带妈妈和弟弟第一次感受看剧的乐趣。感受河南值得推荐值得打卡,乐趣,positive,0.7816233038902283
只有河南·戏剧幻城,2.5,戏剧比较集中。光影声电以及舞台搭建是比较用心的，演员也非常敬业，演员阵容庞大，河南人民的朴实和河南的深厚历史让人印象深刻。但是内容有深度的剧不多，有些台词略尴尬，看完后总会不自觉地问一句: 没了？包括《火车站剧场》。希望继续打磨本子吧。,朴实 深厚 尴尬,positive,0.7052250504493713
只有河南·戏剧幻城,3.5,有消费券199含一个主剧进去的，天气还是不错的，看了大概3个小剧场+一个李家村。可能不是很能接受这类价值观，李家村和朋友全程出戏，但周边确实有看哭的，就不剧透了。曹操是最推荐的，另外还有一些装置艺术很值得拍照,不错 确实,positive,0.894419252872467
只有河南·戏剧幻城,4.5,很值得一看，选的幻城剧场，全程坐席观看，很不错。,不错,positive,0.973812997341156
只有河南·戏剧幻城,4.5,到了郑州玩，哪里有不来只有河南戏剧幻城玩，三大主剧必看，还有十几个小据，两天时间有点不够，小剧没刷完，小有遗憾，等有机会再来郑州打算二刷吧，三大主剧，沉寂式体验，体验感蛮不错的，红庙学校让我有一次回忆到小气候，重新走到校园教室，这次上的一堂地理课,遗憾 沉寂 不错,positive,0.9475551247596741
只有河南·戏剧幻城,5.0,去年中秋之前和女朋友去了一刷，过年带老妈来跨年二刷，团的三主剧的酒景套餐，就住在边上非常方便。整体质量也是无需多言，不然也不能二刷，除了通刷强度有点大外基本没啥缺点。有条件一定要在有烟花的时候来，绝对值票价，诚意满满。,诚意,positive,0.8604328632354736
只有河南·戏剧幻城,5.0,现场的布景很棒，环境做的也很好，卫生情况也不错，唯一让人有点意外的是遇见了好几波打架的。不明觉厉～早上10点多进去 看了4个 买了2个错峰出行吧,很棒 卫生 不错 意外,positive,0.9306999444961548
只有河南·戏剧幻城,4.5,过年和闺蜜一起自驾河南幻影剧场，两日联票预约三个大剧场，不用排队，提前10几分钟进场就行，其他小剧场比较难排队就是曹操的麦田和苏轼，建议提前一小时去排队检票进场，马上冲去红庙学校，否则就多排两个小时，整体氛围挺好，效果不错，就是有些剧本逻辑差点，而且放一天的主题曲有点上头。,不错,positive,0.973812997341156
只有河南·戏剧幻城,5.0,只有河南体验感很棒，景区非常的大，一进门就十分的震撼，巨大的土堆和刻字很吸引人。里面也有十分多的小展厅还可以看表演真的很不错9饮食区也很多的河南特色很好吃性价比也还大型表演也很好看，很新颖的表达方式。很不错,很棒 不错 新颖 不错,positive,0.9615079760551453
只有河南·戏剧幻城,5.0,去了这两年很火的“只有河南 戏剧幻城”，那是一次非常奇妙的体验。改变了我对河南的许多刻板印象。这是一座有三个大剧场，十八个小剧场的戏剧之城，所有剧加起来总共时长有700小时。城里格局非常奇特，56个正方型空间所组成棋盘式格局。大格子里装着小格子，小格子里装了更多小格子，56个方格，有56种独特的世界观。行走于不同方格，你永远不知道接下来将见到些什么。就好像拿到一个无限流的脚本，每穿过一个洞门，又不知会穿到何时何地的河南，又是一个新故事。你可能在民国时代火车站，听着行李寄存员讲每个寄存物的故事。又到了考古博物馆里，遇见穿越而来的周天子，忽然又在一间被改成 的车站老库房，与“鬼”对话。又遇见宋朝的苏轼，跟着他一贬二贬再三贬，越贬越远，最后却落叶河南那是比较神奇的体验，如同突破结界，从待拆迁的棚户区穿过，忽然到了考古遗址，那道颓圮城墙边，有一幅巨型涂鸦，旁边却是五十年代的老礼堂，再往前走一点，又是战乱时候的火车站，如同穿梭在时空裂缝的旅人。,很火 奇妙 独特 神奇,positive,0.9058959484100342
只有河南·戏剧幻城,4.5,刚入只有河南戏剧幻城景区入口的大广场还是很棒的景儿，视野很开阔，只有河南四个字很有感！土堆们进入也是左坤台，右乾台，四四方方的布置场景还是很规整的，走熟了其实景区不大，很好走。但是想要看完所有的剧至少2天。灯光音响舞台的搭建都还是很棒的，剧看的多了，发现导演手法有些雷同，录音剧跟现场说的还是没法比毕竟是景区，比想的戏剧内容及呈现要弱一点。,很棒 有感 很棒 剧看,positive,0.6780482530593872
只有河南·戏剧幻城,4.0,大年初一去的，人流量多。一共看了5个小剧场＋1个大剧场。带娃去的直接选的幻城。小朋友6岁表示看不懂。感觉至少要读3-4年纪以上的小朋友更合适。个人比较喜欢苏轼的河南。老库房的最后可以上台蹦迪一小会，小朋友很开心。日常工作日过来应该很适合拍照。,合适,positive,0.9202452898025513
只有河南·戏剧幻城,4.5,真的好好玩，每一个剧场都很好看，很感人很有意思，非常有带入感，演员们豆非常敬业努力推荐项目：火车头 还有杜甫 20多个小剧场每个都不错22排队：淡季去的，人不是特别多，很快就进入了，看完这个马上可以敢去下一个，没有想象的那么大，很容易搞清楚路线,努力 不错,positive,0.9352896213531494
只有河南·戏剧幻城,4.0,只有河南剧场的整体故事主线就是种麦子吃麦子好日子，内核是活着，导向是快乐的活着。只是一捏捏，一点点，一抠抠，一丢丢的快乐也要活着。对血脉传承和希望有新的理解是前辈们忍饥挨饿让后辈们吃上碳水才能快乐的活着，才有希望。。文创店还挺有意思的，尤其是地坑院的河南非遗体验店更像个博物馆，有文化的商品很多。可惜我只想看看。厚重的文化沉淀印在精神里，放在心里，不揣兜里，挥一挥衣袖我也就看一看。,快乐 快乐 快乐 厚重,positive,0.9441661238670349
只有河南·戏剧幻城,5.0,打卡拍照一天就够了，早点来留足够的时间拍照，一天推荐火车站剧场，小剧场根据喜好自己排队就行了，三大剧场个人体验，火车站最后有点烂尾的感觉，李家村还可以，但是不看火车站李家村容易看不懂，幻城个人感觉一般，故事有点多很散，舞台灯光舞美还是很不错的就是没啥意思。想都看完全部演出的话联系选择2天，只是想来打卡拍照一天就够了。带小孩的不太建议来，累，还有很多小孩不能看，大一点的孩子可以包含了历史的一些东西。,不错,positive,0.973812997341156
只有河南·戏剧幻城,5.0,去过王潮歌的红楼梦，一直种草只有河南，梦回千年河南！✨🎢首先映入眼帘的就是超级有特色的城墙🏯红墙绿瓦，古色古香，每一块砖都仿佛在诉说着历史的故事📜走过城门，就是一条繁华的街道🌇工作人员特别热情，第一次来找不到要去的剧院，他们会主动耐心的指路。欣赏了几个剧后，来到宋街，在这里，你可以尽情体验河南的历史文化，还可以品尝到各种美食🍜💫最后要说的是，河南幻城不仅是一个景点，更是一个文化地标🗼它以全新的方式诠释了河南的历史和文化，让人更加了解和热爱这片土地🌳下面是我做的攻略，基本是按这个流程的，但是得根据当日时间表微做调整只有河南2：30-11：03红庙学校11：20-11：55 曹操的麦田12：30-13：02 第七机车车辆厂礼堂 麦浪餐厅14：10-14：35 候车大厅15：00-16：20 火车站（主剧场）⭐16：30-16：52 天子驾六遗址坑17：30-18：05 老库房 宋街19：00-19：25 覆斗书场19：50-19：57 椅阵20：00-20：13 坤台20：30-20：56 文明之光,繁华 耐心 热爱,positive,0.9243636131286621
