content,fenci,聚类结果,二级-聚类结果
贵州旅游局真的，云南跟人家学学。马上七月份旅游旺季了，唐人杰在贵州整整待了六月一整个月，现在太继续推贵州，就是在推贵州的旅游业，政府魄力简直了，从这些可以看出贵州政府的决心和思路，咱不用创新，咱直接抄就行了都不会吗乡村振兴乡村振兴，这才是乡村振兴啊，贵州推我看到的就是发展相对落后的黔东南，凯里，榕江这些城市也基本是自治居多，一个发展思路清晰有作为的政府是真的让人羡慕。,贵州 旅游局 云南 学学 七月份 旺季 人杰 贵州 贵州 贵州 旅游业 政府 魄力 贵州 政府 思路 乡村 乡村 乡村 贵州 黔东南 榕江 城市 思路清晰 政府,0,1
我看到了津威，哈哈，这个酸奶还就贵州有卖就贵州人从小喝，但又不是贵州生产的，好奇怪,了津威 酸奶 贵州 贵州 贵州,0,1
总之，贵州会是我想再去一次的地方,贵州 地方,0,1
在贵州读了四年大学的人表示，贵州真的泰酷辣,贵州 大学 贵州,0,1
看哭了 喵的我在贵州这么多年第一次觉得生活的地方这么好,贵州 地方,0,1
作为一个在外地读大学的贵州人，看到自己家乡收获了这么多的好评，真的很开心，但视频里面确实太美好了，贵州还是有很多坑人的地方和东西，就是不知道太能不能找到这些店家了，另外贵州的东西真的好吃，我和我朋友们在外面都吃不惯，不好吃，还是家乡的味道好吃，强烈建议大家去吃，夏天去不热，我和朋友已经计划好回去要好好的吃一遍贵州的饭菜了（贵州的饭菜没有让人特别惊艳的味道，很淳朴，但是吃了一段时间后就感觉离不开它了，特别是折耳根蘸水）。,外地 大学 贵州 家乡 视频 贵州 坑人 地方 东西 太能 店家 贵州 东西 朋友 家乡 味道 朋友 计划 贵州 饭菜 贵州 饭菜 味道 感觉 耳根,0,1
欢迎大家来贵州玩，贵州其实没有什么绝对的景区景点，因为贵州的路上一直都很美，最近换手机了所以只有县里拍的有些照片，但是天空真的蓝的很清澈,贵州 贵州 景区 景点 贵州 手机 县里 照片 天空,0,1
真的希望国内能有更多的淄博烧烤和贵州村超出现,淄博 贵州,0,0
看哭了，父母在贵州做生意，从小在贵州长大，后来回老家了才感觉到风土人情可以差这么远，我真的好喜欢贵州的山水，贵州人的朴素热情，可惜这辈子只能留在湖南了,父母 贵州 贵州 长大 回老家 感觉 贵州 山水 贵州 朴素 热情 湖南,0,1
欢迎来到贵州啊贵州的酸汤也很棒啊也可以去古镇镇远看美景,贵州 贵州 古镇 美景,0,1
看来贵州也要火了，毕竟1万亿不好还,贵州,0,1
好家伙，在贵州不得天天酒驾,贵州,0,1
贵州?,贵州,0,1
看着贵州上大分是真的为家乡骄傲,贵州 家乡,0,1
我在贵州等你,贵州,0,1
虽然我是一个在江苏的贵州遵义人，但是贵州赶紧给我上分呀,江苏 贵州 贵州,0,1
作为山东来的贵州女婿 我表示  贵州我真的是太爱了,山东 贵州 女婿 贵州,0,1
其实贵州人都有好多都没见过牛瘪火锅,贵州 火锅,0,1
欢迎来贵州,贵州,0,1
本人土生土长贵州人  苗族侗族欢迎大家来贵州做客,土生土长 贵州 苗族 侗族 贵州 做客,0,1
澄清一下，我们贵州是这样的,贵州,0,1
只有我把标题看成了“来贵州帮我超超”吗,标题 贵州,0,1
醉美多彩贵州不是白叫的,贵州,0,1
感谢太可以来宣传贵州，贵州其实风景很好，最近几年也发展起来，气候也比较事宜休假，虽然我是一个喝不来酒的贵州人另外说一句，回梦游仙真的很戳人泪点，外加看到的是是我们贵州的样子，你让我怎么省下这个三连，这个币和赞你一定要收下,贵州 贵州 风景 气候 事宜 贵州 梦游 泪点 贵州 样子,0,1
啊，我刚刚从贵州回来,贵州,0,1
我去过一次贵州，真的热情,贵州 热情,0,1
贵州没有非常特殊的美景，但贵州每一处都是美景,贵州 美景 贵州 美景,0,1
很开心看到有这么多人喜欢贵州,贵州,0,1
贵州人很骄傲!欢迎大家来贵州玩,贵州 贵州,0,1
淄博热度过了 该去贵州了,淄博 贵州,0,0
我大贵州人民热情好客，,贵州,0,1
贵州人表示，从来就不相信喝醉，只有倒不倒，没倒就是没醉,贵州,0,1
给贵州朋友打,贵州 朋友,0,1
贵州真的，超美，去过一次就特喜欢,贵州,0,1
我以前每年都带小朋友去贵州避暑顺便到处逛逛，这两年实在是喝不动了，有点怕,小朋友 贵州,0,1
我是贵州的，我感觉还是我们贵州牛逼，我幺儿豁,贵州 感觉 贵州,0,1
作为一个贵州人真的很爱自己的家乡，不管是特色的风土人情，还是热情好客的贵州的精神。贵州始终持我们的初心，我们山好水好风景也好，欢迎各位游客来到贵州。我真的很感动，从小养我到大的这一片水土，终于获得了人民的认可。非常感谢欢迎来到贵州,贵州 家乡 特色 贵州 精神 贵州 初心 风景 游客 贵州 水土 贵州,0,1
贵州物价贵的东西就属贵阳，贵州自然景观是最值得看的，所以建议想要到贵州逛逛的朋友们避开贵阳其他市也有不错的风景哒,贵州 物价 东西 贵阳 贵州 建议 贵州 朋友 贵阳 风景,0,1
哈哈，我们山东人确实很多能喝酒的。贵州现在给我印象最深刻的是贵州百灵鸟周深，今年暑假去贵州玩玩,山东人 贵州 印象 贵州 百灵鸟 贵州 玩玩,0,1
作为一个从大山走出来的孩子，对于贵州的情感真的难以言表。贵州在国家的大力帮扶下，渐渐脱离了贫困了，乡村逐渐振兴。真的非常欢迎大家来贵州旅行，顺便带动一下贵州的经济，我家毕节金沙那块儿，要是没地方歇脚，欢迎大家到我家做客。有说错的还望包含。,大山 孩子 贵州 情感 贵州 国家 乡村 贵州 贵州 经济 毕节 金沙 块儿 地方 做客,0,1
贵州那边我去了，顶我顶我，有什么问题可以来问,贵州,0,1
