商品id,评论内容,评论者,评分,评论时间,评价距离购买天数,用户ip属地,评论商品,评论回复数,用户点赞数,形容词,text_rank,text_rank_value
100018978646,已经使用差不多三周，监测心率很方便，不需要跑医院就可以长时间监控心率，数据导出和Ai智能分析也很方便，但是使用胸带容易出现抖动导致记录的心电图比较乱，还是需要使用电极片比较稳定一些。,A***I,5,2023-11-12 22:04:27,20,广东,ER1亲情版,0,0,方便 方便 容易,,[]
100018978646,收到的实物与商品界面描述一致，物流速度快，快递小哥送货上门，服务态度很好。买的专家版，里面附赠2张10次人工复核心电图的服务，说明书详细家人佩戴后觉得不舒服已经不用了，询问医生说不是机器的原因，习惯给好评吧,j***5,4,2023-08-22 19:13:49,61,北京,ER1专家版,1,1,快 好 详细 舒服,,[]
100018978646,给家里老人买了一个，用了一段时间，感觉还是非常不错的。方便小巧，适合持续佩戴，操作也算简便，老人用了两三次，就会自己导出数据了。App也可以分享数据。客服的咨询回复也很到位。,h***e,5,2023-09-20 09:16:43,14,江苏,ER1亲情版,1,0,不错 方便 简便,,[]
100018978646,还是挺方便的，持续检测。胸带功能挺好，电极片贴着皮肤拉扯感不舒服。一指长的小巧玲珑。就是检测报告人工读一次收费98怪离谱的价格。,D***拉,5,2023-09-09 12:04:02,20,陕西,ER1亲情版,1,0,方便 好 舒服,,[]
100018978646,订单收到送货很快，包装完好，配件齐全。今天用了，充电，联接，测心电，观察都很方便。原打算给一位安有起搏器的老人用的，见说明书标示，不适宜有起搏器的人用。曾有过退货的念头。后来试了一上，确实是好东西，其他人也可以用的，不退了，给满分，好评。,b***8,5,2023-06-30 20:04:23,4,甘肃,ER1专家版,1,0,完好 方便 适宜 确实 好,,[]
100018978646,东西挺好用的，是买来送朋友的，快递很给力，第二天就送到了，东西很小，用起来很方便，数据目前还是挺可靠的，就是一点不好，明明写着送20次免费咨询，实际只有10次，很无语。,农***4,5,2023-08-04 22:13:15,25,上海,ER1专家版,1,0,挺好用 很小 方便,,[]
100018978646,一直买的乐普的产品，说实话真的不错，这个电极片质量不粗，这个心电监测仪也是非常不错的，很小巧，准确率据医生说可以达到百分之九十五的准确率，方便使用。,小***1,5,2023-07-23 09:25:03,58,辽宁,通用电极片10片装,1,0,不错 粗 不错 很,,[]
100018978646,用过一段时间才来评价，确实很好用，家人用了都觉得很好，无论是老人还是年轻人，京东的东西确实值得信赖，售后服务也很好。,辽***程,5,2023-07-08 09:17:11,18,辽宁,ER1亲情版,1,0,确实 好 确实 好,,[]
100018978646,很好用，挺方便的，给个好评。后续使用的再看看。关键是准确度，待使用后验证。客服很好，谢谢！！！！！！！,j***q,5,2023-06-23 14:30:19,5,上海,ER1亲情版,0,0,方便 好,,[]
100018978646,这款动态心电图一准确度挺高，在京东购买价格也很便宜，物流速度很快，尤其是客服的服务，售后服务售前服务都非常的好，而且和我的手机也般配，没有冲突，下载数据和蓝牙下载数据都很快,蔑***视,5,2023-06-15 06:08:24,7,北京,ER1亲情版,0,0,高 便宜 好 般配,,[]
100018978646,京东你永远可以信赖，太棒了，官方查了查，全新正品。贵重物品京东自营没有错。very good。乐普看着就比其他品牌电极片好，趁活动囤一波。,本***1,5,2023-06-05 22:36:20,5,北京,通用电极片10片装,0,0,好,,[]
100018978646,很好用，随时了解自己心脏的状况。现在心脑血管疾病都比较麻烦，如果不能及时治疗，就会导致严重后果，有个随时可以监控的设备放心点。,u***i,5,2023-08-11 17:40:17,54,四川,ER1亲情版,1,0,麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]"
100018978646,给妈妈买的 618 礼物，6 月初下单，价格远超预期，数据测试也很准，非常推荐,q***7,5,2023-06-30 21:03:37,17,上海,ER1亲情版,0,0,远,,[]
100018978646,东西简单方便，只需要充满电就能用了，灵敏度高，贴上电极，放在身上自动识别开机，很好用。,j***2,5,2023-05-25 16:48:12,2,广西,ER1亲情版,1,0,简单 方便 充满,,[]
100018978646,很满意自带10张电极片还给了备用充电线操作方便,R***T,5,2023-11-13 20:46:20,3,江苏,ER1亲情版,0,0,方便,,[]
100018978646,好用，数据准确，分析到位，自己监测很方便，自己能随时看数据，好好好。,j***a,5,2023-11-10 15:11:51,10,北京,ER1亲情版,0,0,好 准确 方便 好,,[]
