商品id,评论内容,评论者,评分,评论时间,评价距离购买天数,用户ip属地,评论商品,评论回复数,用户点赞数,形容词,text_rank,text_rank_value,聚类结果
100018978646,很好用，随时了解自己心脏的状况。现在心脑血管疾病都比较麻烦，如果不能及时治疗，就会导致严重后果，有个随时可以监控的设备放心点。,u***i,5,2023-08-11 17:40:17,54,四川,ER1亲情版,1,0,麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100018978646,给别人买的，服务必须通过我的账号才能用起来，挺麻烦的!,x***0,3,2022-04-08 15:54:43,16,,ER1专家版,1,0,麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100018978646,终于收到我需要的宝贝了，东西很好，谢谢掌柜的!说实在，这是我京东购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好!不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦!,l***7,5,2022-11-27 08:12:15,12,,ER1亲情版,0,0,好 认真 好 完整 惊喜 好 麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100018978646,非常的轻便，省去了去医院的麻烦，还可以在身体不舒服的时候第一时间监测，及时的抓到有问题的心电图，为日后看病提供了数据。客服也特别特别的有耐心，有问必答。,t***g,5,2022-01-11 17:31:47,2,,ER1亲情版,0,1,轻便 麻烦 舒服 耐心,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100018978646,家人最近心脏不太好，去医院约holter比较麻烦，价格也不便宜。在京东找了找，对比了一下，这款还是相对比较方便的，虽然也有手表款，但是那个最多只能连续监测5分钟，有点不够用，所以综合选择了这款。试戴了一次，还可以，如果用蓝牙，传输速度会比较慢，配件比较齐全，价格不算便宜，大家可以根据自己的需求选择吧,R***a,5,2022-09-21 08:28:57,3,,ER1亲情版,1,1,麻烦 便宜 方便 连续 便宜,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100018978646,好歹也是上千块钱的东西，就拿张塑料布裹了几圈，连个包装都没有实在是说不过去，那么薄的塑料布有什么作用？拆的时候还巨麻烦，太敷衍了事,j***x,5,2023-01-19 08:27:15,2,,ER1专家版,0,0,薄 巨 麻烦,麻烦,"[{'word': '巨', 'weight': 0.5}, {'word': '麻烦', 'weight': 0.5}]",0
100018978646,买了一段时间了，用了两次，还是不错的，省去去医院的麻烦，很方便，精准度和医院差不多，拿去医院看了结果差不多，用处很大，就是小贵一点,d***1,5,2023-10-29 18:50:17,57,陕西,ER1亲情版,0,0,不错 麻烦 方便 很大,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100018978646,这个监测仪很方便 小巧 跟着视频还有咨询客服安装好。虽然刚开始用时废了两对芯片 但还是比医院的监测仪方便太多了 省去了去医院的麻烦,j***v,5,2021-10-05 16:23:14,31,,ER1亲情版,0,0,方便 好 方便 麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100017338426,没想到还有这种产品，第一次购买，拆盒做工很精致，做工细节很到位，包装很紧凑安全，先充电，等使用后再追评从目前的技术器件角度说，传感器来实现功能应该是没问题的,古***J,5,2021-08-11 12:02:57,4,,24小时智能动态心电仪,0,1,精致 紧凑 安全,安全,"[{'word': '安全', 'weight': 1.0}]",4
100017338426,已经用过了，很小巧，使用很便捷。粘的很牢固，贴上去比较容易，揭下来的时候有点痛苦。误报比较多，花60块钱找医生解读比较准。,潇***儿,5,2021-03-08 19:22:32,6,,24小时智能动态心电仪,1,0,便捷 很 牢固 容易 痛苦,痛苦,"[{'word': '痛苦', 'weight': 1.0}]",2
