所属主题,文章数量,特征词,主题强度
Topic0,78,房间、干净、位置、入住、卫生、舒适、推荐、朋友、民宿、老板、适合、环境、喜欢、满意、对面、整洁、地理位置、风格、很大、酒店、感觉、冰箱、老板娘、好吃、冬瓜、洗衣机、管家、地铁站、不错、阳台、放松、走路、舒服、体验、设施、下楼、宽敞、很美、兄弟、到位、出差、出门、小吃街、优越、味道、孩子、停车、度假、店家、细节、环境卫生、降价、攻略、大热天、闺蜜、公交、距离、休闲、好看、广场、下午茶、选择、地铁、用心、打卡、风景、早餐、老街、小吃、热情、接到、空调、名宿、热闹、前台、交通、吃饭、装修、预定、隔音、好喝、住在一起、晾衣服、舒适度、地铁口、箱子、周记、客栈、一楼、写字楼、坐在、好评、大床、脑袋、忘记、天气、提早、装饰物、宾馆、热门,0.064463
Topic1,105,干净、环境、房间、卫生、设施、民宿、喜欢、风格、热情、舒服、舒适、入住、地理位置、装修、值得、服务态度、惬意、投影、交通、很棒、江景、管家、夜景、关键、枕头、早餐、风景、拍照、选择、很漂亮、机会、便利、露台、打车、环境卫生、好看、老板、满意、不错、适合、步行、看着、照片、丰盛、味道、距离、景点、文和友、吃饭、开心、步行街、周到、希望、优越、独特、配套、孩子、广场、下楼、舒心、贴心、老板娘、总体、地铁站、客服、打卡、耐心、浴缸、家庭、床上、餐厅、推荐、很大、整洁、很好、茶室、饮品、烧烤、温柔、焦虑、订到、和用、喝茶、宽敞、外出、优异、忙碌、漂亮妹妹、大楼、走路、奶油、不用、自带、男朋友、心善、公寓、超近、来接、看不出来、巷子,0.086777
Topic2,80,房间、民宿、干净、环境、设施、推荐、卫生、酒店、管家、不错、前台、热情、老板、感觉、喜欢、装修、适合、入住、好吃、拍照、下午茶、早餐、风格、地理位置、满意、距离、很漂亮、好看、到位、小吃、体验、江景、很好、整体、服务态度、住宿、公寓、空调、退房、解决、舒适、攻略、地铁站、位置、过程、朋友、提前、夜市、值得、交通、舒服、步行、价格、马桶、缺点、氛围、正街、还好、电影、客厅、房东、对面、停车、冬瓜、完善、隔音、天气、巷子、水果、时间、选择、环境优美、工作人员、酒吧、性价比、网红、出门、景点、友好、评价、地段、洗衣、遇见、想着、用心、咖啡、提供、二楼、小哥、特色、小池、原木、洗衣机、集画、客人、居住、游客、大厅、宗街、好喝,0.066116
Topic3,119,干净、老板、房间、不错、整洁、环境、民宿、入住、酒店、卫生、推荐、舒服、热情、选择、值得、地理位置、设施、朋友、地方、出行、满意、体验、贴心、行李、位置、管家、装修、江景、舒适、喜欢、打车、孩子、提前、夜景、好吃、美食、老板娘、洗衣机、解决、住宿、服务态度、退房、开心、前台、美好、帮忙、投影、还给、房子、小朋友、智能、风格、走路、感觉、小时、对面、露台、楼梯、打开、周到、很棒、好看、客房、很好、机会、总体、好玩、不到、宽敞、小孩、用心、预定、耐心、只能、宠物、介绍、很漂亮、烟霞、冬瓜、整体、广场、拍照、放心、坡子、老街、预订、风景、打卡、家具、提供、步行街、兄弟、担心、超好、惊喜、景色、氛围、排队、自助、特色,0.098347
Topic4,72,房间、干净、满意、舒服、入住、贴心、民宿、拍照、推荐、环境、感觉、卫生、提前、管家、下午茶、姐姐、热情、喜欢、开心、早餐、整体、舒适、老板、设施、便利、小朋友、很大、走路、交通、好吃、朋友、整洁、地方、投影、空调、手机、市中心、环境优美、房东、退房、好玩、水果、停车、惬意、马桶、不到、地铁站、装修、风格、酒店、孩子、步行、密码、押金、绿色、风景、小孩子、国金、宾馆、办理、电器、回来、套餐、商圈、对面、宽敞、时间、首选、工作人员、体验、出门、好看、地理位置、老板娘、注意事项、家庭、照片、出行、不错、细心、服务态度、完美、泳池、图片、出去玩、性价比、广场、开启、布帘、再来、敞亮、烧烤、露台、吊椅、介绍、洗澡、宫格、划算、老婆、闹市,0.059504
Topic5,39,入住、环境、民宿、酒店、房间、老板、性价比、干净、不错、提前、管家、贴心、体验、舒服、感觉、空调、喜欢、卫生、细节、热情、商圈、好评、早餐、江景、位置、设施、推荐、愉快、拖鞋、信息、很大、超高、隔音、安稳、停车、地方、拍照、商业街、出片、好吃、态度、关键、友好、交通、耐心、很好、视野、质量、味道、行李、风格、地铁站、整洁、装修、前台、值得、舒适、出行、条状、拖地、消息、滚筒、洗头水、周到、缺点、点儿、释放、退房、凉爽、自助、的士、开好、玩住、地理位置、卷发、容味、莲子、好用、小巷、地毯、自驾、撸到、小吃街、感到、果汁、地铁、枕头、送到、到达、步行、找到、咖啡厅、餐厅、睡眠、沟通、马厂、双床、告诉、牙膏、地带,0.032231
Topic6,42,房间、出行、不错、入住、适合、热情、位置、民宿、环境、酒店、干净、好吃、体验、打卡、舒服、外卖、整体、管家、性价比、设施、空调、价格、地铁站、贴心、很大、下午茶、地理位置、首选、名宿、地方、放松、硬件、房东、可爱、步行、整洁、卫生间、行李、提供、睡眠、精致、院子、早餐、冬瓜、老板、距离、便利、泳池、经济、装修、拍照、很棒、喜欢、配套、散场、够用、新颖、便捷、布局、简单、期待、只能、不让、投影、太辣、落俗、楼上楼下、房主、特色、接受、果树、居住、卫生设施、回来、全部都是、再选、出片、不到、慎选、图片、声音、隔音、大气、欠佳、麻烦、不冰、下楼、网红店、创意、体育场、简陋、关键、工作人员、杀猪、楼道、地库、档次、完善、影院、中心,0.034711
Topic7,83,房间、民宿、干净、不错、舒服、酒店、管家、环境、热情、体验、推荐、卫生、入住、前台、喜欢、出行、位置、地理位置、装修、好吃、拍照、设施、风格、床品、感觉、图片、惊喜、泳池、机会、整洁、宽敞、店家、放松、解决、回复、很漂亮、服务态度、舒适、院子、适合、朋友、满意、帮忙、缺点、江景、地铁站、还给、美食、打卡、选择、注重、漏水、住宿、老板娘、很棒、值得、房东、靠近、路线、提供、露台、押金、程序、隔音、提示、便捷、用心、操作、品味、广场、客房、密码、卫生间、整体、担心、提前、小时、确实、工作人员、退房、攻略、行李、下午茶、回来、周到、名宿、住店、好看、市中心、早餐、交通、贴心、原本、高铁、身份证、公寓、环境优美、线路、格调、照顾,0.068595
Topic8,72,房间、干净、推荐、环境、不错、卫生、民宿、喜欢、适合、体验、整体、出行、入住、设施、漂亮、行李、住宿、贴心、装修、整洁、值得、空调、风格、满意、地理位置、服务态度、隔音、夜景、好看、提前、感觉、老板娘、舒服、美食、酒店、舒适、景点、投影、位置、选择、排队、钓鱼、干湿、对面、分离、孩子、客服、周到、老板、热情、朋友、打车、交通、空间、好吃、度假、房东、态度、泡澡、出去玩、大哥、酒吧、电视、氛围、接待、地铁口、吃饭、洗衣机、散步、宗街、视野、优雅、凉爽、不想、布置、早餐、出门、地铁站、卫生间、耐心、外卖、兄弟、送到、一号线、烟霞、一家人、情侣、小店、很棒、店长、睡眠、好用、放松、帮忙、宽敞、图片、很大、家人、退房、准确,0.059504
Topic9,57,干净、民宿、房间、环境、入住、不错、体验、位置、卫生、管家、推荐、整洁、早餐、朋友、老板、很棒、设施、热情、很大、好吃、舒服、游玩、值得、出行、提前、泳池、地理位置、前台、适合、出门、帮忙、打卡、兄弟、店家、性价比、贴心、广场、时间、特色、投影、下午茶、阳台、超出、洗衣机、选择、交通、空调、马桶、态度、烧烤、细节、全程、询问、提供、解决、停车场、打开、小朋友、橘子、攻略、优越、夜市、聚会、客服、冰箱、文和友、景点、介绍、坡子、宽敞、声音、环境优美、地方、逛街、建议、智能、告诉、放松、宗街、密码、打车、一楼、酒店、地点、可爱、院子、好看、距离、地铁站、装修、服务态度、耐心、美食、超高、满意、路线、配套、地铁、大堂、搞掂,0.047107
