所属主题,文章数量,特征词,主题强度
Topic0,36,卫生、不错、舒服、环境、民宿、房间、位置、设施、老板、干净、走路、酒店、烟霞、强迫症、房东、地方、热情、推荐、喜欢、闺蜜、店家、姐姐、交通、机会、步行街、好看、味道、很大、餐厅、暖和、智能、想象、好吃、窗户、投影、体验、打扫、浴缸、态度、早餐、距离、差点、朋友、布置、惊喜、小店、理想、文艺、风格、想念、咖啡店、气息、柜子、同学、拍照、在意、窗帘、烧烤、不适、冷暖、棒棒、居住、麻烦、音响、开心、接受、漏水、卫生间、原因、配合、贴心、小酒馆、还好、好用、原地、多虑、榻榻米、玩耍、柔软、食饭、心情、牙膏、分享、确实、感谢、卧室、收藏、不行、选择、装修、行李箱、原木、习惯性、周到、步行、打开、看中、供暖、民俗、天气,0.065336
Topic1,12,出行、店家、介绍、不错、干净、贴心、夜景、泳池、步行街、中心、管家、超赞、餐厅、路线、柚子、清新、繁华、柚子茶、区域、美女、回来、氛围、设施、睡觉、姐姐、热心、名宿、惬意、格调、服务态度、露营、私汤、风格、广场、距离、舒服、朋友、位置、体验、住宿、喜欢、到位、坡子、很漂亮、地理位置、出片、前台、同价位、周到、地铁口、小哥、电梯、萝卜、国金、结伴、卫生、进出、情调、环境、房间、老板、民宿、热情、满意、性价比、酒店、推荐、感觉、很棒、入住、值得、交通、舒适、整体、整洁、市中心、阳台、出门、很好、投影、环境优美、拍照、行李、好吃、总体、机会、很大、装修、适合、完美、便利、好看、总体设计、浴室、居住、挺好、宠物、帮忙、环境卫生、地铁,0.021779
Topic2,16,房间、干净、卫生、隔音、环境、民宿、感觉、智能、不错、入住、机会、朋友、地铁、名宿、院子、味道、找到、整体、早餐、舒适度、热情、优越、小度、贴心、行李、老板、体验、满意、地理位置、氛围、位置、出门、开灯、帮忙、出差、穿衣服、可惜、露营、拖鞋、管家、收费、兔年、投影、带上、蓄水、相隔、楼梯、面积、咖啡、提早、号线、脚印、便利性、听到、缘故、回到、市中心、认准、停车、价格、零食、拍照、床品、游戏机、摆设、建议、软硬、电梯、蚊虫、提醒、视野、适中、配备、加热、灰尘、小时候、公司、好看、芙蓉、声音、左手边、大厅、小巷、酒店、群里、下车、轮流、游玩、中订、床单、太棒、图片、睡觉、便利、投影仪、直路、坐在、热水器、湖景、蜗牛,0.029038
Topic3,15,老板、房间、干净、入住、民宿、满意、适合、不错、推荐、拍照、打车、整洁、很棒、小朋友、位置、地方、阳台、朋友、出去玩、疲惫、住宿、咖啡馆、行李、房子、马桶、开阔、归属、下楼、艺术、两张床、相比、床品、治理、停不下来、喧闹、完善、气味、日料、大厦、威士忌酒、智能、格调、舒服、出行、放心、出片、面积、味道、隔断、好吃、幸福、隔音、值班、情侣、解决、居住、闺蜜、艺术馆、喜欢、热心、视野、体验、很漂亮、一楼、蚊虫、女朋友、西餐、情调、贴心、冲凉、酒店设计、走进、画作、舒适度、温暖、希望、感觉、独立、院子、蜗牛、客人、灯光、咖啡、小时、看书、衣服、衣架、外地、变得、停车场、提供、想起、照片、私密、洗脸、屋子、商圈、走过、光芒、惊喜,0.027223
Topic4,48,不错、房间、老板、环境、干净、民宿、地理位置、卫生、喜欢、位置、满意、舒服、设施、坡子、拍照、体验、适合、风格、推荐、服务态度、感觉、酒店、入住、房东、卫生间、管家、整洁、步行、惬意、住宿、需求、超近、很好、整体、晒太阳、阳台、时光、好找、到位、投影、打麻将、闺蜜、干湿、老板娘、很棒、姐妹、聚会、惊喜、氛围、很大、行李、空间、煮茶、好评、分离、对面、安排、热情、店家、帮忙、解放、打卡、便利、院子、装修、舒适、朋友、超好、感受、楼层、全程、沟通、全景、问路、铁盒、本地人、新房、私密、吊灯、沐浴、早起、日落、亲测、文化、精致、距离、统统、挺赞、水龙头、撸猫、老房子、客房、顺利、攻略、电影、森林、绿化、公社、水果、冬瓜,0.087114
Topic5,91,房间、干净、不错、民宿、推荐、酒店、设施、值得、热情、环境、入住、位置、舒服、卫生、管家、喜欢、老板、感觉、整洁、很大、出行、拍照、市中心、交通、露台、朋友、步行、地铁、地铁站、号线、适合、出门、坡子、友好、贴心、体验、环境优美、前台、很棒、热水、冰箱、早餐、机会、居住、住宿、空调、便利、地理位置、洗漱、舒适、靠山、小度、广场、选择、晒太阳、愉快、距离、洗衣机、超大、客服、隔音、公寓、照片、老板娘、景点、声音、用品、退房、智能、服务态度、价格、开心、风格、很漂亮、美食、地方、房东、电梯、走路、妥妥、采光、花园、厕所、很足、只能、很好、密码、床品、噪音、感谢、行李、位于、小酒馆、安排、外出、名宿、小区、院子、阳台、卫生间,0.16515
Topic6,54,老板、房间、民宿、热情、环境、不错、喜欢、舒服、位置、酒店、卫生、满意、干净、舒适、行李、装修、值得、阳台、照片、提供、住宿、女朋友、泳池、出行、地方、房子、空调、疲惫、院子、希望、帮忙、亲切、好玩、周到、智能、性价比、风格、同学、适合、设施、感觉、小时、外卖、安排、打开、拖鞋、推荐、咖啡、温暖、坐在、耐心、水面、景点、前台、文和友、传统、步行街、放松、公寓、洗澡、洗头、一楼、客房、管家、休息、露台、态度、用心、交通、吃饭、店家、图片、地理位置、特色、挺好、细致、再来、被子、确实、拍照、小吃、椅子、看书、巷子、想象、体会、时间、打扰、绿色、蜗牛、独立、头发、光芒、停车场、私密、屋子、走过、惊喜、衣架、情绪,0.098004
Topic7,26,民宿、房间、环境、干净、不错、好看、管家、贴心、喜欢、老板、泳池、好吃、整体、早餐、店长、适合、地理位置、卫生、性价比、推荐、院子、拍照、酒店、坡子、靠近、卫生间、位于、落地窗、步行、挺大、很漂亮、无敌、漂亮、咖啡、美景、很大、价格、夜市、距离、温暖、热情、店家、设施、装修、出行、可爱、满意、感觉、整洁、停车场、日记、位置、解决、超好、宗街、大床、图书馆、主题、失落、夜景、店里、情人节、回家、床上、烤火、亮堂、防滑垫、走心、家用、做饭、姐姐、浴室、森林、热水器、视野、游玩、房子、没法、惊喜、湘菜馆、愉快、市中心、漱口水、美食、优越、绿化、广场、专属、小朋友、续住、懒人、选择、大方、热水、超近、水果、潮宗、网红、对住、芙蓉,0.047187
Topic8,28,环境、民宿、干净、好吃、推荐、不错、酒店、位置、总体、热情、卫生、舒适、行李、房间、服务员、贴心、管家、拍照、地方、提前、前台、满意、选择、粉店、优雅、浴室、惬意、很棒、闺蜜、打扫、朋友、绝美、态度、女朋友、值得、寄存、商圈、风景、床品、舒服、市中心、人员、高铁、店里、开阔、很大、酒吧、大厦、飞出去、意外、挂钩、听到、拉开、工作人员、小夜灯、享受、眼罩、酒水、窗帘、装修、还给、散步、电视、不愧、龙头、地铁、客服、人性化、味道、烧烤、小吃、看着、泡澡、落地窗、等位、水龙头、拼盘、问烦、旅店、挺好、滴滴、粉面、配备、感觉、牛奶、负责、阳台、隔离、投影、小酒、送到、设计师、距离、空间、出片、吃饭、出去玩、便利、街道、公园,0.050817
Topic9,36,房间、干净、卫生、民宿、舒服、推荐、朋友、入住、老板、管家、步行、地方、露台、地理位置、很大、感觉、江景、环境、位置、热心、坡子、好吃、帮忙、便利、可爱、满意、好看、酒店、不错、体验、贴心、牙膏、图片、套装、宗街、行李、店家、明亮、广场、装修、投影、预定、打卡、阳台、好评、宠物、拍照、吹风机、浴缸、密码锁、文和友、喜欢、风格、超好、距离、会订、效果、温暖、摄影、回复、舒心、音响、放松、特色美食、音乐、两间房、围炉、行李箱、舒适、看电视、关键、条件、烟雨、惊喜、轻松、悬浮、带有、很漂亮、小巷、国金、幽雅、很棒、全屋、空空、包圆、阴雨、冬瓜、打扫、店铺、观景、纯白、半岛、房东、铁盒、居住、巷子、市中心、潮宗、回来、提前,0.065336
