评论内容,fenci
国庆来玩，服务很好，很贴心，也特别干净，而且楼下就是咖啡店，而且附近有很多潮流的店，楼下门口拍照的人特别多，真的很热闹，不过晚上还是很安静的没有感觉很吵，昨天晚上回来这边就人少一些，都在解放西那边玩了,贴心 干净 咖啡店 潮流 拍照 热闹 感觉 回来 解放
已经是第二次入住啦，感觉每个房型都很有特色，并且每个房间的味道都不一样，放了不同味道的香薰。感觉唐顿特别的法式，而且床也挺软的，很适合我，躺下就不想起来了哈哈哈哈哈,入住 感觉 房型 特色 房间 味道 味道 感觉 法式 挺软 适合 不想
名宿太漂亮了吧！！！忍不住感叹！朋友推荐的地方！整体房间的体验感也特别好，服务也很及时，卫生也打扫的很干净，绝对是近期最舒适的一次入住了！,名宿 忍不住 感叹 朋友 推荐 地方 整体 房间 体验 卫生 打扫 干净 舒适 入住
非常非常非常非常漂亮的民宿！长沙第一一点也不过分 咖啡小哥贼帅！做的咖啡巨好喝！房间设施齐全干净舒服！下次还来,漂亮 民宿 咖啡 小哥 贼帅 咖啡 好喝 房间 设施 干净 舒服
非常干净，很有感觉呢，被套毛巾啥的都有刺绣，很戳细节，而且枕头很舒服，很久没睡过那么香的觉了，下次来长沙玩还来这家民宿！,干净 感觉 被套 刺绣 细节 枕头 舒服 民宿
房间干净卫生，罗马风格，环境舒服，二楼小露台适合打卡，小哥哥小姐姐服务很周到，一楼是一很有格调的咖啡厅，而且咖啡好好喝，图一是一楼咖啡厅，图二三是小露台,房间 干净 卫生 风格 环境 舒服 二楼 露台 适合 打卡 周到 一楼 格调 咖啡厅 咖啡 好喝 一楼 咖啡厅 露台
这个房间早上8:00那个阳光太可了，超级无敌容易出片，有手就行，沐浴露也是棒棒的！服务也超级无敌好！地点也方便！期待嘉尔明天回来，哈哈哈！,房间 无敌 出片 棒棒 无敌 地点 期待 回来
环境很好，入住特别特别舒服，下楼就可以喝到一杯冰咖啡，开启美美的一天。,环境 入住 舒服 下楼 咖啡 开启
房间干净安静，一楼是一间咖啡馆，民宿有赠送我们咖啡~~喜欢这种静谧感，但是也希望房间多放两张椅子一个桌子~,房间 干净 一楼 咖啡馆 民宿 赠送 咖啡 喜欢 希望 房间 椅子 桌子
民宿一楼是个咖啡馆，特别适合拍照，而且住店客人还会免费赠送饮品超级棒（拿铁很好喝哟）。就在潮宗街离五一广场也很近，感觉去哪都方便。晚上蛮安静的，不像住在五一广场那么吵闹。不管是老板、管家小哥哥还是打扫卫生的姐姐人都特别好。推荐！,民宿 一楼 咖啡馆 适合 拍照 住店 客人 赠送 饮品 好喝 宗街 感觉 吵闹 老板 管家 姐姐 推荐
一开始有点小乌龙，但是很好的解决了，酒店住起来很舒服,很好 解决 酒店 舒服
服务态度好，环境优美，很开心，下次来长沙玩，还来！,服务态度 环境优美 开心
非常满意！,满意
酒店很干净 氛围也很好,酒店 干净 氛围
服务到位，干净整洁，还有饮品赠送。,服务到位 干净 整洁 饮品 赠送
民宿的小哥哥小姐姐很热情，装修风格复古有格调，也非常适合拍照！！我们住的是爱丽丝，绿色的房间很特别，推荐入住～,民宿 热情 装修 风格 格调 拍照 绿色 房间 推荐 入住
很棒，民宿很有风格，环境卫生都很好，服务也好！,很棒 民宿 风格 环境卫生
位置很好。所有玩的地方基本上走路都能到。,位置 地方 走路
环境非常好，位置也不错，值得入住。,环境 位置 不错 值得 入住
智能马桶和吹风机真的不擦,智能 马桶 吹风机
房间很漂亮 名宿很漂亮,房间 很漂亮 名宿 很漂亮
这次去住了四天，换了三个房型，每次都体验不同房型的感觉，房东服务很好，每次换的时候都帮我们搬行李，最满意的房型是忘江南，然后是常乐，其次是南风憩，卫生也很干净，而且三个房型都有两个卫生间，入住和退房也很方便，省了不少时间，虽然有点偏，但是离地铁口很近，长沙的地铁比较方便，楼下还有商场和夜市，总体来说性价比高，值得入住,房型 体验 房型 感觉 房东 行李 满意 房型 常乐 卫生 干净 房型 卫生间 入住 退房 时间 地铁口 地铁 商场 夜市 总体 性价比 值得 入住
离地铁一号线马厂站只需走路几分钟，一号线有五一广场，坐五站就到，打车也方便，楼下就是商圈，茶颜悦色臭豆腐小龙虾都有，房间很干净，有一边的床还延伸了进去，感觉带孩子的话可以让娃进去睡，哈哈！洗澡干湿分离，空调凉爽，三台电梯也很快，很方便，总的来说很满意，就是房间没照几张，光留下了长沙美食的照片了！,地铁 一号线 马厂 走路 一号线 打车 商圈 臭豆腐 房间 干净 延伸 感觉 孩子 洗澡 干湿 分离 空调 凉爽 电梯 满意 房间 没照 留下 美食 照片
公寓挺舒服，入住时候挺干净的，有大投影，投屏很快，管家很耐心，会提前联系，开门用的密码锁，全程自己搞掂就好了，非常方便，下次来长沙还住这里，五星好评,公寓 入住 干净 有大 投影 投屏 管家 耐心 提前 开门 密码锁 全程 搞掂 好评
房间干净整洁，有家的感觉.服务非常到位.对于出游路线都提供了具体图片和标志牌.非常的热情,房间 干净 整洁 感觉 到位 路线 提供 图片 标志牌 热情
酒店很新，设施也很人性化，很多摆设都很有格调，很多硬件软件看得出房东是很有品味！而且管家也很快回复！不枉费我是看了两个小时民宿精挑细选才选出来的哈哈，家里人都赞不绝口 性价比非常高地理位置十分安全，不像是五一那边的旧城区 我首先就排除掉了！真心推荐 ！！感觉自己的宝藏被发现了,酒店 设施 人性化 摆设 格调 硬件 软件 看得出 房东 品味 管家 回复 枉费 小时 民宿 精挑细选 选出 性价比 地理位置 像是 排除 推荐 感觉 发现
卫生很不错，进来第一眼就很喜欢，老板人也很好，在这里住了三天，好评！,卫生 不错 喜欢 老板 好评
房间很大，整体的设计非常有年轻人的风元素入住很舒服，一进去就有超级的感觉，非常推荐入住，小姐姐也人很好。时间很晚，还在帮忙回复入住的细节信息。入住很满意，期待下一次来长沙，可以体验他们家其他风格的房间。,房间 很大 整体 年轻人 元素 入住 舒服 感觉 推荐 入住 时间 帮忙 回复 入住 细节 信息 入住 满意 期待 体验 风格 房间
地处不是非常热闹的地方，不过附近有广场，沃尔玛，盒马鲜生。 房间小朋友非常喜欢，因为有滑梯跟海洋球，楼下一张床，楼上两张床，楼上的两个房间是用一个窗帘隔开的，楼上还有麻将桌。 缺点就是两个卫生间的窗没有窗帘，虽然窗不大，房间又在9楼，但是光着身子对着大马路，总觉得不自在，建议店里装一下。,热闹 地方 广场 盒马 鲜生 房间 小朋友 喜欢 滑梯 两张床 房间 窗帘 隔开 麻将桌 缺点 卫生间 窗帘 房间 身子 建议 店里
挺好，宽敞，适合出游,宽敞 适合
位置很好找，客服也有问必答，房间空间挺大的，一家三口住相当够，对比了同样房型的民宿，这家性价比非常高，采光也很好，楼下是商业街，吃喝玩乐都很方便,位置 好找 客服 房间 空间 挺大 房型 民宿 性价比 采光 商业街
房间很中式，很有特点，住进来很有古风的感觉。屋里很大，楼下就是商场美食街，离马厂地铁也很近，楼下就有停车场可以直通楼上很方便！,房间 中式 古风 感觉 很大 商场 马厂 地铁 停车场 直通
房间很舒服，装修风格很喜欢，设施设备齐全，服务态度很好，布草和卫生都很干净，价格合理，强烈推荐大家入住，唯一小缺点就是退房不能延迟到两点,房间 舒服 装修 风格 喜欢 设施 服务态度 卫生 干净 价格合理 入住 缺点 退房 延迟
设施：很新很齐全 卫生：整洁干净，很有家的感觉 服务：管家贴心到位，很不错！ 总体评价：值得入住，冲冲冲！,设施 卫生 整洁 干净 感觉 管家 贴心 到位 不错 总体 评价 值得 入住
挺好的，房间干净整洁，管家服务热情周到。下次来长沙玩的话，一定还会再来,房间 干净 整洁 管家
新的房间，干净整洁，楼下就有盒马，离地铁口也挺近，几分钟就到了,房间 干净 整洁 地铁口
设施：非常好 卫生：非常好 环境：非常好 服务：非常好,设施 卫生 环境
房间干净，4口入住的，很喜欢，下次还会光顾的,房间 干净 入住 喜欢 光顾
环境好，住得舒服！卫生：做的很干净,环境 舒服 卫生 干净
房间不错，在长沙订到的最满意的民宿了,房间 不错 订到 满意 民宿
房间非常好，我很满意,房间 满意
服务好 住得舒服,舒服
和图片一样，很好,图片
很喜欢她们的院子,喜欢 院子
非常满意啦！,满意
住的很舒服！,舒服
一家令人愉快的酒店，靠近购物广场和地铁站，购物和交通都很方便。这套阁楼公寓装修精美，不失精致，而且非常舒适。太棒了！,愉快 酒店 靠近 购物广场 地铁站 购物 交通 阁楼 公寓 装修 精美 不失 精致 舒适
地点离市中心很近，走路10分钟就到地铁站，交通方便。定的这个户型，房间楼下也有床，方便老人起夜。提前加微信沟通入住时间，发房间密码，自行入住即可。,地点 市中心 走路 地铁站 交通 户型 房间 老人 起夜 提前 沟通 入住 时间 房间 密码 入住
适合拍照，随便拍都很出片，本来心情很压抑才出来的 打开房门，很温馨，总的来说，还是很不错了，实惠，是一家自助民宿，老板很好，服务很周到，长沙挺好玩的，玩得地方狠多，,适合 拍照 心情 压抑 打开 房门 不错 自助 民宿 老板 周到 挺好玩 地方
酒店位置比较便利，周边交通以及用餐都很方便。但这种并不成熟，内部设施除了洗衣机和投影方便，其他都不如酒店。卫生间简直太小了，淋浴间没门，二楼除了床没有任何设施，内侧容易撞头。卫生状况也不太好，马桶不干净。,酒店 位置 便利 交通 用餐 成熟 设施 洗衣机 投影 酒店 卫生间 太小 淋浴间 没门 二楼 设施 撞头 卫生状况 不太好 马桶 干净
去湖南旅游住了4家民宿，这家最受孩子们喜欢。因为他家有投影，有吊椅。坐标：出地铁2号线芙蓉广场站，步行10分钟设施：坐落在公寓楼内，到位后微信联系，入住小程序押金100元后，发送开门密码。密码不会变化。开启盲盒房——进屋非常满意，一应俱全。1楼：投影，沙发，吊椅，4人餐桌，洗衣机（自备洗衣液），橱柜（无电磁炉或锅具），卫生间2楼：2个隔间分别有1米大床，有布帘可以隔开，但是拉上布帘后有一件房无空调会略热，有电扇可用。有入住须知写的每天20度电，超过从押金中扣，住了2天押金全额退，所以不用担心用电量热水器用电的，但是夏天每人洗澡很快，基本等个10分钟就继续洗澡，水温都是够的。：淋浴房没有门，洗完澡浴室里有些脏，介意的就自己用旁边的拖把擦一下吧,民宿 孩子 喜欢 投影 吊椅 坐标 地铁 号线 芙蓉 广场 步行 设施 坐落 公寓楼 到位 入住 程序 押金 发送 开门 密码 密码 开启 盲盒 进屋 满意 投影 吊椅 餐桌 洗衣机 自备 洗衣 橱柜 电磁炉 锅具 卫生间 隔间 大床 布帘 隔开 布帘 空调 会略 电扇 可用 入住 超过 押金 中扣 押金 全额 不用 担心 用电量 热水器 用电 洗澡 洗澡 水温 是够 淋浴房 洗完 浴室 介意
1.开盲盒的床型，进去是这个钢铁架的床。光坐上去就会咯吱响，晚上翻身都是声音。2.位置和长沙最热闹主要的黄兴/五一步行街不近。走过去要二十分钟多，酒店本身周边没有热闹的逛街的地方。3.卫生不合格，进去浴室地上一搓头发，真的有点恶心……浴帘底部发霉，洗衣机脏，洗衣液是水一样的那种用不了的。4.开关位置不合理。床头开关离床远很不方便。要下床关了灯再重新上床。以上，希望可以改进。,盲盒 床型 钢铁 坐上去 翻身 声音 位置 热闹 步行街 酒店 热闹 逛街 地方 卫生 合格 浴室 头发 恶心 浴帘 发霉 洗衣机 洗衣 液是 开关 位置 不合理 床头 开关 离床 下床 上床 希望 改进
干净舒适，高楼层，夜景漂亮，去地铁站方便，晚上安静，不像五一广场那么吵。住这里打车到各景点都好近，11到15就可以了，方便，好评，推荐。,干净 舒适 楼层 夜景 漂亮 地铁站 打车 景点 好评 推荐
房间新装修的，很干净，尤其床睡着很舒服！出行逛街步行大概10分钟左右就到商圈了，地铁口也不远，很方便，店主服务也很热情，住了4天，非常满意,房间 干净 睡着 舒服 出行 逛街 步行 商圈 地铁口 店主 热情 满意
房间很好，干净整齐，还有雨伞洗衣机冰箱，房价也不高很值得，离各个景点都很近，客服耐心温柔，值得推荐,房间 干净 雨伞 洗衣机 冰箱 房价 值得 景点 客服 耐心 温柔 值得 推荐
长沙之行，入住两晚，非常满意，准备去长沙玩的小伙伴们，可以首选之一，环境好，夜晚很安静，睡的香才能玩的好,入住 满意 小伙伴 首选 环境
非常方便，自助服务，干净整洁，下次还来，客服回复及时，好评,自助 干净 整洁 客服 回复 好评
在步行街附近，去周边都很方便，干净卫生，全自助密码入住，也很方便，就是纸巾等消耗品，下次可以多放一些备用,步行街 干净 卫生 自助 密码 入住 纸巾 消耗品 备用
没有什么可圈可点的地方，就是普普通通，床是软床，但不好睡。停车费有点贵，45元一小时。要去20楼找另一家店的客服前台，才可以减免20。,地方 软床 停车费 小时 客服 前台 减免
还可以，住宿条件也不错，复式的酒店，房东老板很，房价也很可以,住宿 条件 不错 复式 酒店 房东 老板 房价
卫生没问题 楼上有存放行李空间 整体美观 居住舒适～下次来长沙 会推荐这家～,卫生 存放 行李 空间 整体 居住 舒适 推荐
房型温馨舒适，离市区近，房东也非常热情，就房间阿姨打扫需要再仔细些就更好啦,房型 舒适 市区 房东 热情 房间 打扫 仔细
